weekday;day;month;year;time;EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Mon;1;1;2018;00:00;10,9;12,3;9,65;37,02;2,6;2,55;2,2;20,27;1,98;4,57;8,65;1,34;1,91;0,8;8,52;3,81
Mon;1;1;2018;00:15;8,6;11,6;9,42;35,54;2,06;1,97;2,37;19,63;1,98;1,7;8,65;1,35;1,51;0,8;8,53;3,03
Mon;1;1;2018;00:30;11,2;11,5;9,21;35,03;1,94;2,33;2,15;20,2;1,98;4,51;9,77;1,33;1,55;0,9;8,53;4,32
Mon;1;1;2018;00:45;6,9;13,4;9,87;37,33;2,49;2,45;2,31;21,0;1,98;4,51;8,57;1,34;1,31;0,8;8,55;3,03
Mon;1;1;2018;01:00;10,4;11,2;9,15;36,44;2,74;1,88;2,23;21,59;1,97;1,36;8,54;1,32;1,91;0,8;8,56;3,23
Mon;1;1;2018;01:15;7,0;11,4;8,9;38,76;1,93;2,37;2,07;21,62;1,97;3,79;9,48;1,32;1,2;0,7;8,58;3,13
Mon;1;1;2018;01:30;11,7;11,0;9,69;37,17;2,33;2,22;2,27;20,81;1,98;3,79;8,76;1,33;1,6;0,9;8,6;3,13
Mon;1;1;2018;01:45;6,4;13,6;9,11;37,0;3,34;1,72;2,08;21,15;1,98;3,79;8,19;1,32;1,48;0,8;8,59;3,14
Mon;1;1;2018;02:00;11,3;10,6;9,58;36,59;1,41;2,31;2,21;20,36;1,97;3,79;8,56;1,32;1,28;0,8;8,55;3,13
Mon;1;1;2018;02:15;8,9;11,7;9,01;37,08;2,67;1,93;2,05;20,81;1,97;3,79;9,41;1,32;1,36;0,8;8,58;2,43
Mon;1;1;2018;02:30;12,7;12,0;9,94;36,09;3,09;1,81;2,17;20,14;1,97;3,79;8,07;1,32;1,7;0,9;8,58;3,13
Mon;1;1;2018;02:45;9,2;12,3;9,3;35,99;0,99;2,37;2,03;19,09;1,97;3,79;8,12;1,34;1,41;0,7;8,61;3,03
Mon;1;1;2018;03:00;11,0;11,5;9,24;21,19;3,33;1,84;2,18;18,66;1,98;3,33;8,15;1,33;1,36;0,8;8,61;2,33
Mon;1;1;2018;03:15;7,9;12,1;9,68;41,85;2,09;1,89;2,03;22,8;1,98;3,33;9,06;1,33;1,18;0,8;8,62;3,03
Mon;1;1;2018;03:30;11,4;12,0;9,59;45,11;1,93;2,27;2,2;20,34;1,98;3,33;8,24;1,33;1,32;0,8;8,62;2,73
Mon;1;1;2018;03:45;9,0;11,8;8,88;42,11;3,33;1,59;2,11;21,35;1,98;3,33;8,07;1,32;1,36;0,7;8,6;2,33
Mon;1;1;2018;04:00;8,5;11,9;9,26;39,17;0,76;2,17;2,09;20,57;1,98;3,33;8,53;1,32;1,5;0,8;8,59;3,03
Mon;1;1;2018;04:15;9,3;10,6;9,6;37,11;3,16;1,94;2,39;21,11;1,98;3,33;9,4;1,32;1,3;0,8;8,6;2,23
Mon;1;1;2018;04:30;8,4;12,4;9,35;35,02;3,33;1,77;2,05;21,07;1,98;3,33;8,26;1,33;1,11;0,7;8,62;2,73
Mon;1;1;2018;04:45;10,3;13,3;9,34;36,75;0,84;2,26;2,37;21,23;1,98;3,33;8,09;1,32;1,38;0,8;8,59;2,83
Mon;1;1;2018;05:00;10,0;10,5;9,53;38,45;2,77;1,57;2,03;20,76;1,97;2,2;8,1;1,31;1,24;0,8;8,55;2,23
Mon;1;1;2018;05:15;9,6;11,6;9,7;37,32;2,44;2,09;2,08;21,1;1,98;4,47;8,03;1,31;1,39;0,7;8,54;2,93
Mon;1;1;2018;05:30;7,3;12,5;9,31;35,43;1,52;1,86;2,24;20,91;2,5;4,47;8,97;1,3;0,97;0,8;8,53;2,03
Mon;1;1;2018;05:45;12,4;12,2;9,19;36,7;3,32;1,74;2,39;20,91;2,82;1,34;9,24;1,3;1,17;0,8;8,55;2,93
Mon;1;1;2018;06:00;7,6;11,4;9,41;35,27;2,37;2,16;2,19;20,09;1,98;3,84;7,2;1,3;1,08;0,9;8,56;2,73
Mon;1;1;2018;06:15;11,0;11,3;9,32;35,85;1,32;1,57;2,27;20,53;1,98;3,24;8,84;1,31;1,29;0,8;8,57;2,33
Mon;1;1;2018;06:30;6,5;11,8;9,18;36,52;3,32;2,18;2,26;20,33;1,98;3,35;7,32;1,29;1,3;0,9;8,59;3,13
Mon;1;1;2018;06:45;10,9;12,4;9,55;36,67;2,03;1,79;2,1;20,57;1,98;3,76;8,9;1,3;0,73;0,8;8,56;2,73
Mon;1;1;2018;07:00;6,4;11,6;9,58;34,79;1,82;1,79;2,15;20,52;1,98;3,55;6,89;1,31;1,49;0,9;8,58;2,43
Mon;1;1;2018;07:15;10,5;10,9;9,38;35,77;3,32;2,16;2,2;20,37;1,98;3,55;7,49;3,48;0,73;0,9;8,61;3,13
Mon;1;1;2018;07:30;8,8;13,5;9,05;36,54;1,12;1,58;2,2;20,3;1,98;3,55;8,03;3,72;1,28;1,0;8,62;2,63
Mon;1;1;2018;07:45;10,6;11,2;9,44;36,4;2,86;2,16;2,36;20,82;1,98;3,55;6,66;3,02;0,84;1,0;8,59;2,43
Mon;1;1;2018;08:00;7,4;11,1;8,76;37,02;3,02;1,79;2,18;20,37;1,99;3,55;7,63;1,32;1,22;0,9;8,61;3,03
Mon;1;1;2018;08:15;10,1;12,2;9,28;34,34;0,83;1,79;2,23;20,96;1,98;3,39;8,11;2,52;0,73;1,2;8,63;2,83
Mon;1;1;2018;08:30;10,3;11,2;9,51;35,47;3,33;2,21;2,23;20,96;2,5;4,32;6,95;2,29;1,14;1,0;8,61;2,44
Mon;1;1;2018;08:45;9,6;13,0;9,6;35,67;2,28;1,59;2,32;20,82;3,05;4,32;8,17;1,99;1,17;1,1;8,6;3,03
Mon;1;1;2018;09:00;8,9;11,5;9,46;37,69;1,69;2,1;2,33;20,48;2,09;1,68;8,47;2,73;0,73;1,2;8,59;3,04
Mon;1;1;2018;09:15;8,1;11,0;9,72;36,62;3,32;1,85;2,19;20,84;2,09;3,25;9,1;1,48;1,17;1,1;8,55;2,13
Mon;1;1;2018;09:30;9,8;11,5;10,15;36,43;2,02;1,72;2,32;20,43;2,08;3,25;8,81;1,33;0,87;1,3;8,54;3,03
Mon;1;1;2018;09:45;7,5;13,5;9,66;37,86;1,8;2,29;2,35;20,05;2,08;3,84;10,15;1,34;0,72;1,3;8,54;3,03
Mon;1;1;2018;10:00;10,8;11,1;9,74;36,39;3,35;1,63;2,45;19,62;2,08;3,27;10,37;1,33;1,22;1,2;8,52;3,13
Mon;1;1;2018;10:15;7,2;11,1;10,45;36,04;1,94;2,07;2,58;19,92;2,08;3,27;11,28;1,33;0,72;1,3;8,54;2,93
Mon;1;1;2018;10:30;12,3;12,0;10,94;36,37;1,99;2,31;2,63;19,89;2,08;3,92;10,43;1,41;0,1;1,4;8,51;3,13
Mon;1;1;2018;10:45;9,2;11,2;10,16;37,56;3,32;1,98;2,81;19,71;2,07;3,27;10,64;1,91;0,0;1,5;8,51;3,33
Mon;1;1;2018;11:00;11,2;13,1;9,51;37,84;2,16;2,09;2,95;20,55;2,88;3,9;11,92;2,05;0,0;1,4;8,5;3,33
Mon;1;1;2018;11:15;6,7;11,7;10,19;37,6;1,36;2,75;3,16;21,2;2,76;3,3;10,53;2,03;0,0;1,5;8,48;3,53
Mon;1;1;2018;11:30;12,9;11,1;10,37;37,0;3,33;2,21;3,28;21,18;2,08;4,89;11,8;2,05;0,0;1,6;8,48;3,43
