weekday;day;month;year;time;CONSUMO_TOTAL ALF1P-1;AVAC ALF1P-1;IT ALF1P-1
Fri;1;1;2016;00:00;83.0;29.71;49.97
Fri;1;1;2016;00:15;82.0;29.34;48.95
Fri;1;1;2016;00:30;82.0;29.82;48.92
Fri;1;1;2016;00:45;82.0;29.91;48.89
Fri;1;1;2016;01:00;84.0;30.36;48.89
Fri;1;1;2016;01:15;83.0;30.04;48.92
Fri;1;1;2016;01:30;81.0;29.44;48.77
Fri;1;1;2016;01:45;83.0;30.66;48.95
Fri;1;1;2016;02:00;83.0;28.76;48.87
Fri;1;1;2016;02:15;82.0;29.37;49.78
Fri;1;1;2016;02:30;83.0;30.22;48.86
Fri;1;1;2016;02:45;81.0;29.48;48.76
Fri;1;1;2016;03:00;82.0;29.01;48.87
Fri;1;1;2016;03:15;81.0;29.58;48.78
Fri;1;1;2016;03:30;83.0;29.63;48.83
Fri;1;1;2016;03:45;82.0;29.51;48.81
Fri;1;1;2016;04:00;83.0;29.91;48.8
Fri;1;1;2016;04:15;81.0;29.38;48.8
Fri;1;1;2016;04:30;83.0;29.84;48.71
Fri;1;1;2016;04:45;82.0;30.25;48.82
Fri;1;1;2016;05:00;82.0;29.46;48.75
Fri;1;1;2016;05:15;82.0;29.97;48.78
Fri;1;1;2016;05:30;81.0;29.25;48.74
Fri;1;1;2016;05:45;84.0;30.26;48.81
Fri;1;1;2016;06:00;81.0;29.83;48.76
Fri;1;1;2016;06:15;83.0;30.23;49.11
Fri;1;1;2016;06:30;83.0;30.26;49.11
Fri;1;1;2016;06:45;83.0;30.26;49.11
Fri;1;1;2016;07:00;82.34;30.26;48.73
Fri;1;1;2016;07:15;82.34;30.27;48.72
Fri;1;1;2016;07:30;82.34;30.27;48.72
Fri;1;1;2016;07:45;81.0;29.28;48.71
Fri;1;1;2016;08:00;84.0;31.24;48.74
Fri;1;1;2016;08:15;83.0;30.48;48.82
Fri;1;1;2016;08:30;81.0;30.16;48.72
Fri;1;1;2016;08:45;83.0;30.01;48.77
Fri;1;1;2016;09:00;81.0;28.94;48.75
Fri;1;1;2016;09:15;83.0;30.32;48.81
Fri;1;1;2016;09:30;82.0;29.99;48.75
Fri;1;1;2016;09:45;80.0;28.62;48.92
Fri;1;1;2016;10:00;83.0;30.0;48.78
Fri;1;1;2016;10:15;82.0;30.41;48.87
Fri;1;1;2016;10:30;83.0;30.63;48.82
Fri;1;1;2016;10:45;86.0;32.67;49.81
Fri;1;1;2016;11:00;85.0;32.6;48.9
Fri;1;1;2016;11:15;85.0;32.25;48.9
Fri;1;1;2016;11:30;83.0;30.83;48.87
Fri;1;1;2016;11:45;83.0;30.9;48.8
Fri;1;1;2016;12:00;84.0;31.75;48.93
Fri;1;1;2016;12:15;84.0;31.61;48.85
Fri;1;1;2016;12:30;83.67;31.37;48.88
Fri;1;1;2016;12:45;83.67;31.37;48.88
Fri;1;1;2016;13:00;83.67;31.37;48.88
Fri;1;1;2016;13:15;81.0;29.06;48.84
Fri;1;1;2016;13:30;84.0;30.33;49.9
Fri;1;1;2016;13:45;84.0;31.72;48.9
Fri;1;1;2016;14:00;83.0;30.61;48.9
Fri;1;1;2016;14:15;83.0;31.1;48.91
Fri;1;1;2016;14:30;83.0;30.42;48.85
Fri;1;1;2016;14:45;84.0;31.43;48.89
Fri;1;1;2016;15:00;82.0;29.75;48.95
Fri;1;1;2016;15:15;83.0;30.14;48.93
Fri;1;1;2016;15:30;82.0;30.13;48.98
Fri;1;1;2016;15:45;83.0;30.4;49.94
Fri;1;1;2016;16:00;82.0;29.98;48.9
Fri;1;1;2016;16:15;83.0;30.75;48.89
Fri;1;1;2016;16:30;84.0;30.73;48.99
Fri;1;1;2016;16:45;82.0;29.91;48.94
Fri;1;1;2016;17:00;83.0;30.22;49.0
Fri;1;1;2016;17:15;84.0;32.34;48.99
Fri;1;1;2016;17:30;83.0;30.18;48.87
Fri;1;1;2016;17:45;83.0;29.89;49.94
Fri;1;1;2016;18:00;85.0;32.69;49.04
Fri;1;1;2016;18:15;86.0;32.49;48.89
Fri;1;1;2016;18:30;85.0;32.91;49.02
Fri;1;1;2016;18:45;84.0;31.14;48.91
Fri;1;1;2016;19:00;82.0;29.1;48.86
Fri;1;1;2016;19:15;82.0;29.48;48.9
Fri;1;1;2016;19:30;83.0;30.06;49.97
Fri;1;1;2016;19:45;82.0;29.68;48.82
Fri;1;1;2016;20:00;83.0;29.67;48.92
Fri;1;1;2016;20:15;83.0;30.95;48.93
Fri;1;1;2016;20:30;83.0;29.54;48.9
Fri;1;1;2016;20:45;82.0;29.4;48.91
Fri;1;1;2016;21:00;83.0;30.5;49.01
Fri;1;1;2016;21:15;81.0;28.83;48.8
Fri;1;1;2016;21:30;82.0;29.44;48.89
Fri;1;1;2016;21:45;82.0;29.63;48.89
Fri;1;1;2016;22:00;83.0;29.34;48.93
Fri;1;1;2016;22:15;82.0;29.68;49.89
Fri;1;1;2016;22:30;82.0;29.27;48.88
Fri;1;1;2016;22:45;81.0;28.72;48.93
Fri;1;1;2016;23:00;82.0;28.79;48.84
Fri;1;1;2016;23:15;81.0;28.42;48.91
