weekday;day;month;year;time;CONSUMO_TOTAL ALF1P0;AVAC ALF1P0;IT ALF1P0
Sun;1;1;2017;00:00;36.2;9.5;23.81
Sun;1;1;2017;00:15;36.3;9.4;23.75
Sun;1;1;2017;00:30;37.5;10.3;23.93
Sun;1;1;2017;00:45;35.2;9.3;23.69
Sun;1;1;2017;01:00;38.3;11.0;23.92
Sun;1;1;2017;01:15;35.5;8.6;23.76
Sun;1;1;2017;01:30;37.0;10.1;23.71
Sun;1;1;2017;01:45;35.5;9.3;23.92
Sun;1;1;2017;02:00;36.2;9.7;23.77
Sun;1;1;2017;02:15;36.3;9.4;23.68
Sun;1;1;2017;02:30;36.2;9.8;23.78
Sun;1;1;2017;02:45;36.3;9.3;23.69
Sun;1;1;2017;03:00;36.5;9.6;23.72
Sun;1;1;2017;03:15;36.0;9.4;23.72
Sun;1;1;2017;03:30;36.2;9.4;23.72
Sun;1;1;2017;03:45;36.0;9.6;23.7
Sun;1;1;2017;04:00;36.3;9.4;23.6
Sun;1;1;2017;04:15;36.2;10.2;23.72
Sun;1;1;2017;04:30;36.0;9.2;23.58
Sun;1;1;2017;04:45;36.3;9.9;23.58
Sun;1;1;2017;05:00;36.0;9.7;23.57
Sun;1;1;2017;05:15;36.0;9.6;23.68
Sun;1;1;2017;05:30;36.0;9.6;23.44
Sun;1;1;2017;05:45;36.0;9.4;23.51
Sun;1;1;2017;06:00;36.5;9.8;23.64
Sun;1;1;2017;06:15;36.0;9.4;23.65
Sun;1;1;2017;06:30;36.0;9.9;23.56
Sun;1;1;2017;06:45;36.0;8.6;23.65
Sun;1;1;2017;07:00;36.5;10.1;23.6
Sun;1;1;2017;07:15;37.0;10.6;23.77
Sun;1;1;2017;07:30;36.0;9.3;23.32
Sun;1;1;2017;07:45;36.0;9.8;23.66
Sun;1;1;2017;08:00;35.2;9.2;23.76
Sun;1;1;2017;08:15;36.0;9.8;23.58
Sun;1;1;2017;08:30;36.3;9.3;23.55
Sun;1;1;2017;08:45;36.0;9.9;23.59
Sun;1;1;2017;09:00;36.2;9.2;23.61
Sun;1;1;2017;09:15;36.0;9.6;23.65
Sun;1;1;2017;09:30;36.3;9.4;23.59
Sun;1;1;2017;09:45;35.0;9.4;23.58
Sun;1;1;2017;10:00;37.2;10.5;23.64
Sun;1;1;2017;10:15;36.3;9.4;23.68
Sun;1;1;2017;10:30;36.0;9.9;23.66
Sun;1;1;2017;10:45;36.0;9.5;23.64
Sun;1;1;2017;11:00;36.0;9.7;23.66
Sun;1;1;2017;11:15;36.5;9.5;23.67
Sun;1;1;2017;11:30;36.0;9.8;23.64
Sun;1;1;2017;11:45;36.0;9.3;23.59
Sun;1;1;2017;12:00;36.2;9.5;23.56
Sun;1;1;2017;12:15;37.3;10.8;23.83
Sun;1;1;2017;12:30;36.2;9.4;23.67
Sun;1;1;2017;12:45;36.3;10.0;23.55
Sun;1;1;2017;13:00;36.0;9.4;23.68
Sun;1;1;2017;13:15;36.5;9.8;23.73
Sun;1;1;2017;13:30;36.0;9.7;23.88
Sun;1;1;2017;13:45;36.2;9.6;23.67
Sun;1;1;2017;14:00;36.3;10.0;23.53
Sun;1;1;2017;14:15;36.2;9.6;23.94
Sun;1;1;2017;14:30;36.3;10.1;23.68
Sun;1;1;2017;14:45;36.5;9.4;23.61
Sun;1;1;2017;15:00;37.0;10.2;23.74
Sun;1;1;2017;15:15;36.2;9.6;23.83
Sun;1;1;2017;15:30;36.3;9.9;23.61
Sun;1;1;2017;15:45;36.5;9.7;23.74
Sun;1;1;2017;16:00;36.0;9.9;23.79
Sun;1;1;2017;16:15;37.5;10.0;23.73
Sun;1;1;2017;16:30;36.0;9.6;23.82
Sun;1;1;2017;16:45;36.5;10.1;23.84
Sun;1;1;2017;17:00;36.2;9.6;23.66
Sun;1;1;2017;17:15;36.3;9.8;23.62
Sun;1;1;2017;17:30;37.0;9.8;23.88
Sun;1;1;2017;17:45;35.5;9.6;23.75
Sun;1;1;2017;18:00;37.2;9.8;23.68
Sun;1;1;2017;18:15;36.3;9.6;23.91
Sun;1;1;2017;18:30;36.5;9.8;23.78
Sun;1;1;2017;18:45;36.2;9.5;23.83
Sun;1;1;2017;19:00;37.3;10.1;23.71
Sun;1;1;2017;19:15;35.2;9.4;23.81
Sun;1;1;2017;19:30;37.3;9.9;23.86
Sun;1;1;2017;19:45;36.5;9.7;23.76
Sun;1;1;2017;20:00;36.0;9.8;23.69
Sun;1;1;2017;20:15;36.2;9.8;23.65
Sun;1;1;2017;20:30;36.3;9.5;23.81
Sun;1;1;2017;20:45;37.5;10.2;23.81
Sun;1;1;2017;21:00;36.0;9.0;23.56
Sun;1;1;2017;21:15;36.5;10.2;23.86
Sun;1;1;2017;21:30;36.0;9.7;23.75
Sun;1;1;2017;21:45;37.2;10.0;23.72
Sun;1;1;2017;22:00;36.3;9.4;23.69
Sun;1;1;2017;22:15;36.2;10.1;23.68
Sun;1;1;2017;22:30;36.3;9.9;23.8
Sun;1;1;2017;22:45;37.5;9.9;23.87
Sun;1;1;2017;23:00;36.0;9.9;23.68
Sun;1;1;2017;23:15;36.2;9.7;23.84
Sun;1;1;2017;23:30;37.3;10.0;23.6
Sun;1;1;2017;23:45;36.2;9.6;23.67
Mon;2;1;2017;00:00;36.3;10.3;23.82
Mon;2;1;2017;00:15;37.5;9.8;23.82
Mon;2;1;2017;00:30;36.0;10.0;23.79
Mon;2;1;2017;00:45;37.2;10.2;23.6
Mon;2;1;2017;01:00;36.3;10.1;23.71
Mon;2;1;2017;01:15;38.2;11.3;23.65
Mon;2;1;2017;01:30;36.0;10.0;23.78
Mon;2;1;2017;01:45;37.3;10.6;23.53
Mon;2;1;2017;02:00;39.0;11.8;23.73
Mon;2;1;2017;02:15;38.5;11.5;23.69
Mon;2;1;2017;02:30;38.0;11.5;23.57
Mon;2;1;2017;02:45;37.0;10.8;23.41
Mon;2;1;2017;03:00;38.0;11.5;23.75
Mon;2;1;2017;03:15;37.2;10.7;23.59
Mon;2;1;2017;03:30;38.0;11.1;23.62
Mon;2;1;2017;03:45;37.3;10.7;23.56
Mon;2;1;2017;04:00;38.0;11.8;23.5
Mon;2;1;2017;04:15;36.0;10.0;23.52
Mon;2;1;2017;04:30;39.0;11.7;23.55
Mon;2;1;2017;04:45;36.0;10.2;23.52
Mon;2;1;2017;05:00;38.0;10.8;23.69
Mon;2;1;2017;05:15;38.2;11.6;23.45
Mon;2;1;2017;05:30;36.0;10.3;23.35
Mon;2;1;2017;05:45;38.8;11.8;23.64
Mon;2;1;2017;06:00;36.5;10.3;23.57
Mon;2;1;2017;06:15;38.0;11.5;23.6
Mon;2;1;2017;06:30;37.0;10.5;23.36
Mon;2;1;2017;06:45;38.0;11.3;23.49
Mon;2;1;2017;07:00;38.0;11.0;23.56
Mon;2;1;2017;07:15;36.0;10.2;23.47
Mon;2;1;2017;07:30;38.0;11.7;23.71
Mon;2;1;2017;07:45;37.0;10.3;23.5
Mon;2;1;2017;08:00;38.0;11.5;23.68
Mon;2;1;2017;08:15;37.2;9.9;23.56
Mon;2;1;2017;08:30;29.3;2.1;23.59
Mon;2;1;2017;08:45;41.2;14.0;23.64
Mon;2;1;2017;09:00;38.3;11.5;23.61
Mon;2;1;2017;09:15;38.5;10.4;23.82
Mon;2;1;2017;09:30;37.2;10.9;23.53
Mon;2;1;2017;09:45;36.3;9.7;23.79
Mon;2;1;2017;10:00;37.2;10.5;23.73
Mon;2;1;2017;10:15;36.3;9.4;23.72
Mon;2;1;2017;10:30;38.5;11.2;23.88
Mon;2;1;2017;10:45;37.5;9.5;23.72
Mon;2;1;2017;11:00;38.5;10.8;23.75
Mon;2;1;2017;11:15;37.5;9.8;23.85
Mon;2;1;2017;11:30;38.5;11.7;23.75
Mon;2;1;2017;11:45;38.5;10.7;23.83
Mon;2;1;2017;12:00;40.2;12.4;23.57
Mon;2;1;2017;12:15;37.8;10.5;23.97
Mon;2;1;2017;12:30;36.0;8.7;23.79
Mon;2;1;2017;12:45;35.5;8.3;23.94
Mon;2;1;2017;13:00;37.2;10.8;23.68
Mon;2;1;2017;13:15;40.3;13.2;23.8
Mon;2;1;2017;13:30;38.5;11.0;23.62
Mon;2;1;2017;13:45;38.0;11.6;23.81
Mon;2;1;2017;14:00;38.5;11.0;23.73
Mon;2;1;2017;14:15;37.2;11.2;23.91
Mon;2;1;2017;14:30;38.3;10.7;23.73
Mon;2;1;2017;14:45;38.5;11.4;23.84
Mon;2;1;2017;15:00;37.5;10.2;23.74
Mon;2;1;2017;15:15;38.5;10.6;23.86
Mon;2;1;2017;15:30;31.5;5.1;23.83
Mon;2;1;2017;15:45;42.5;14.8;24.0
Mon;2;1;2017;16:00;38.5;11.3;23.68
Mon;2;1;2017;16:15;39.7;11.2;23.8
Mon;2;1;2017;16:30;37.3;10.6;23.77
Mon;2;1;2017;16:45;38.7;11.3;23.9
Mon;2;1;2017;17:00;39.3;11.4;23.87
Mon;2;1;2017;17:15;38.7;10.6;23.83
Mon;2;1;2017;17:30;37.5;10.5;23.78
Mon;2;1;2017;17:45;37.3;9.4;23.88
Mon;2;1;2017;18:00;39.5;11.9;23.85
Mon;2;1;2017;18:15;37.2;10.3;23.84
Mon;2;1;2017;18:30;39.3;12.0;23.85
Mon;2;1;2017;18:45;36.5;9.9;24.01
Mon;2;1;2017;19:00;39.5;12.1;23.74
Mon;2;1;2017;19:15;36.2;9.9;23.87
Mon;2;1;2017;19:30;38.3;11.5;23.72
Mon;2;1;2017;19:45;37.5;10.9;23.72
Mon;2;1;2017;20:00;37.2;10.5;24.06
Mon;2;1;2017;20:15;39.3;12.0;23.66
Mon;2;1;2017;20:30;36.5;9.6;23.86
Mon;2;1;2017;20:45;38.0;12.1;23.8
Mon;2;1;2017;21:00;37.5;10.2;23.74
Mon;2;1;2017;21:15;38.2;11.6;23.85
Mon;2;1;2017;21:30;37.3;10.6;23.8
Mon;2;1;2017;21:45;38.5;11.2;23.73
Mon;2;1;2017;22:00;38.0;11.3;23.89
Mon;2;1;2017;22:15;36.5;10.2;23.66
Mon;2;1;2017;22:30;39.2;11.9;24.03
Mon;2;1;2017;22:45;36.3;9.9;23.59
Mon;2;1;2017;23:00;38.5;11.9;23.74
Mon;2;1;2017;23:15;37.0;10.2;23.68
Mon;2;1;2017;23:30;38.2;11.1;23.97
Mon;2;1;2017;23:45;38.3;11.5;23.65
Tue;3;1;2017;00:00;36.5;10.2;23.67
Tue;3;1;2017;00:15;39.0;12.1;23.91
Tue;3;1;2017;00:30;37.5;10.3;23.75
Tue;3;1;2017;00:45;37.0;11.4;23.74
Tue;3;1;2017;01:00;37.5;10.6;23.59
Tue;3;1;2017;01:15;38.2;11.1;23.83
Tue;3;1;2017;01:30;38.3;11.8;23.67
Tue;3;1;2017;01:45;38.0;10.9;23.81
Tue;3;1;2017;02:00;38.0;11.8;23.57
Tue;3;1;2017;02:15;37.5;10.1;23.62
Tue;3;1;2017;02:30;38.0;12.0;23.67
Tue;3;1;2017;02:45;37.0;10.7;23.69
Tue;3;1;2017;03:00;38.2;11.3;23.57
Tue;3;1;2017;03:15;37.3;10.9;23.64
Tue;3;1;2017;03:30;38.0;10.7;23.64
Tue;3;1;2017;03:45;36.2;10.5;23.68
Tue;3;1;2017;04:00;38.3;11.5;23.51
Tue;3;1;2017;04:15;37.0;10.2;23.74
Tue;3;1;2017;04:30;38.0;11.3;23.6
Tue;3;1;2017;04:45;37.2;10.7;23.65
Tue;3;1;2017;05:00;37.0;10.7;23.44
Tue;3;1;2017;05:15;38.0;10.9;23.72
Tue;3;1;2017;05:30;37.0;11.1;23.54
Tue;3;1;2017;05:45;37.0;10.7;23.54
Tue;3;1;2017;06:00;37.3;10.7;23.53
Tue;3;1;2017;06:15;38.0;10.6;23.59
Tue;3;1;2017;06:30;37.0;11.1;23.54
Tue;3;1;2017;06:45;37.0;10.7;23.49
Tue;3;1;2017;07:00;37.2;10.9;23.62
Tue;3;1;2017;07:15;38.0;10.5;23.56
Tue;3;1;2017;07:30;37.0;11.3;23.63
Tue;3;1;2017;07:45;37.0;10.5;23.61
Tue;3;1;2017;08:00;38.3;11.2;23.46
Tue;3;1;2017;08:15;38.0;10.6;23.75
Tue;3;1;2017;08:30;37.5;11.3;23.67
Tue;3;1;2017;08:45;38.0;10.8;23.56
Tue;3;1;2017;09:00;37.0;10.7;23.66
Tue;3;1;2017;09:15;37.2;11.2;23.84
Tue;3;1;2017;09:30;38.5;11.2;23.72
Tue;3;1;2017;09:45;37.3;11.1;23.82
Tue;3;1;2017;10:00;38.0;11.1;23.75
Tue;3;1;2017;10:15;37.5;10.9;23.75
Tue;3;1;2017;10:30;38.5;11.7;23.85
Tue;3;1;2017;10:45;37.2;10.6;23.82
Tue;3;1;2017;11:00;38.3;11.4;23.64
Tue;3;1;2017;11:15;37.5;10.9;23.96
Tue;3;1;2017;11:30;39.2;11.7;23.81
Tue;3;1;2017;11:45;37.3;10.8;23.83
Tue;3;1;2017;12:00;38.5;11.4;23.8
Tue;3;1;2017;12:15;37.2;11.1;23.78
Tue;3;1;2017;12:30;38.3;11.1;23.73
Tue;3;1;2017;12:45;38.5;11.6;23.88
Tue;3;1;2017;13:00;37.0;11.0;23.6
Tue;3;1;2017;13:15;38.5;11.2;23.88
Tue;3;1;2017;13:30;37.0;11.2;23.65
