weekday;day;month;year;time;CONSUMO_TOTAL ALF2A1;AVAC ALF2A1;IT ALF2A1
Fri;1;1;2016;00:00;22.22;9.11;9.0
Fri;1;1;2016;00:15;21.91;8.79;9.0
Fri;1;1;2016;00:30;24.14;10.88;10.0
Fri;1;1;2016;00:45;24.0;10.86;9.0
Fri;1;1;2016;01:00;22.08;9.01;10.0
Fri;1;1;2016;01:15;24.65;11.46;10.0
Fri;1;1;2016;01:30;22.22;9.03;9.0
Fri;1;1;2016;01:45;23.09;9.92;9.0
Fri;1;1;2016;02:00;24.68;11.52;10.0
Fri;1;1;2016;02:15;22.78;9.64;9.0
Fri;1;1;2016;02:30;22.16;8.77;9.0
Fri;1;1;2016;02:45;21.99;8.85;11.0
Fri;1;1;2016;03:00;21.65;8.46;9.0
Fri;1;1;2016;03:15;23.8;10.68;9.0
Fri;1;1;2016;03:30;22.93;9.74;10.0
Fri;1;1;2016;03:45;22.55;9.35;9.0
Fri;1;1;2016;04:00;24.61;11.44;9.0
Fri;1;1;2016;04:15;23.03;9.88;11.0
Fri;1;1;2016;04:30;22.1;8.96;9.0
Fri;1;1;2016;04:45;22.7;9.59;9.0
Fri;1;1;2016;05:00;24.09;10.9;10.0
Fri;1;1;2016;05:15;23.57;10.49;9.0
Fri;1;1;2016;05:30;21.25;8.15;9.0
Fri;1;1;2016;05:45;25.1;11.9;10.0
Fri;1;1;2016;06:00;20.84;7.72;10.0
Fri;1;1;2016;06:15;22.63;9.5;9.0
Fri;1;1;2016;06:30;22.65;9.5;10.0
Fri;1;1;2016;06:45;24.06;10.88;8.0
Fri;1;1;2016;07:00;22.32;9.19;10.0
Fri;1;1;2016;07:15;21.25;8.09;10.0
Fri;1;1;2016;07:30;25.19;12.03;9.0
Fri;1;1;2016;07:45;23.24;10.11;10.0
Fri;1;1;2016;08:00;23.47;10.35;10.0
Fri;1;1;2016;08:15;22.06;8.98;8.0
Fri;1;1;2016;08:30;1.79;0.85;1.0
Fri;1;1;2016;08:45;0.84;0.4;1.0
Fri;1;1;2016;09:00;66.88;28.81;27.0
Fri;1;1;2016;09:15;22.66;9.51;10.0
Fri;1;1;2016;09:30;21.78;8.65;10.0
Fri;1;1;2016;09:45;23.36;10.35;8.0
Fri;1;1;2016;10:00;23.18;10.22;10.0
Fri;1;1;2016;10:15;21.4;8.54;10.0
Fri;1;1;2016;10:30;22.81;9.94;8.0
Fri;1;1;2016;10:45;24.67;11.81;11.0
Fri;1;1;2016;11:00;21.57;8.76;10.0
Fri;1;1;2016;11:15;24.84;11.9;8.0
Fri;1;1;2016;11:30;24.03;11.22;10.0
Fri;1;1;2016;11:45;22.92;10.05;8.0
Fri;1;1;2016;12:00;23.2;10.33;10.0
Fri;1;1;2016;12:15;21.45;8.58;11.0
Fri;1;1;2016;12:30;22.26;9.39;8.0
Fri;1;1;2016;12:45;23.96;10.8;10.0
Fri;1;1;2016;13:00;23.17;10.28;10.0
Fri;1;1;2016;13:15;22.42;9.45;8.0
Fri;1;1;2016;13:30;22.26;9.44;10.0
Fri;1;1;2016;13:45;22.51;9.62;10.0
Fri;1;1;2016;14:00;25.85;13.03;9.0
Fri;1;1;2016;14:15;23.3;10.41;10.0
Fri;1;1;2016;14:30;23.05;10.12;10.0
Fri;1;1;2016;14:45;24.16;11.39;8.0
Fri;1;1;2016;15:00;22.46;9.58;10.0
Fri;1;1;2016;15:15;24.55;11.59;10.0
Fri;1;1;2016;15:30;22.98;10.2;9.0
Fri;1;1;2016;15:45;22.81;9.88;10.0
Fri;1;1;2016;16:00;24.71;11.87;9.0
Fri;1;1;2016;16:15;21.51;8.66;9.0
Fri;1;1;2016;16:30;24.69;11.77;10.0
Fri;1;1;2016;16:45;22.88;10.01;9.0
Fri;1;1;2016;17:00;22.18;9.32;9.0
Fri;1;1;2016;17:15;21.44;8.54;11.0
Fri;1;1;2016;17:30;22.14;9.27;9.0
Fri;1;1;2016;17:45;22.16;9.35;9.0
Fri;1;1;2016;18:00;22.76;9.83;10.0
Fri;1;1;2016;18:15;23.19;10.26;9.0
Fri;1;1;2016;18:30;22.73;9.87;9.0
Fri;1;1;2016;18:45;21.42;8.64;10.0
Fri;1;1;2016;19:00;22.75;9.84;10.0
Fri;1;1;2016;19:15;22.79;9.84;9.0
Fri;1;1;2016;19:30;24.36;11.59;10.0
Fri;1;1;2016;19:45;22.92;9.99;9.0
Fri;1;1;2016;20:00;21.67;8.79;9.0
Fri;1;1;2016;20:15;21.63;8.74;10.0
Fri;1;1;2016;20:30;21.98;9.05;10.0
Fri;1;1;2016;20:45;22.15;9.29;9.0
Fri;1;1;2016;21:00;23.77;10.86;10.0
Fri;1;1;2016;21:15;20.86;8.01;9.0
Fri;1;1;2016;21:30;21.55;8.59;9.0
Fri;1;1;2016;21:45;22.14;9.3;9.0
Fri;1;1;2016;22:00;22.85;9.9;11.0
Fri;1;1;2016;22:15;23.35;10.43;9.0
Fri;1;1;2016;22:30;22.74;9.91;9.0
Fri;1;1;2016;22:45;21.76;8.76;10.0
Fri;1;1;2016;23:00;24.04;11.13;9.0
Fri;1;1;2016;23:15;22.53;9.79;9.0
Fri;1;1;2016;23:30;22.07;9.17;10.0
Fri;1;1;2016;23:45;21.98;9.09;10.0
Sat;2;1;2016;00:00;21.72;8.84;10.0
Sat;2;1;2016;00:15;22.49;9.6;10.0
Sat;2;1;2016;00:30;22.4;9.48;9.0
Sat;2;1;2016;00:45;20.9;8.04;9.0
Sat;2;1;2016;01:00;23.94;10.95;10.0
Sat;2;1;2016;01:15;22.26;9.41;10.0
Sat;2;1;2016;01:30;20.82;7.96;9.0
Sat;2;1;2016;01:45;21.49;8.47;9.0
Sat;2;1;2016;02:00;23.94;11.1;10.0
Sat;2;1;2016;02:15;22.78;9.84;9.0
Sat;2;1;2016;02:30;22.58;9.69;9.0
Sat;2;1;2016;02:45;22.02;9.13;11.0
Sat;2;1;2016;03:00;20.57;7.63;9.0
Sat;2;1;2016;03:15;23.41;10.49;9.0
Sat;2;1;2016;03:30;22.31;9.34;10.0
Sat;2;1;2016;03:45;21.6;8.75;9.0
Sat;2;1;2016;04:00;23.72;10.8;9.0
Sat;2;1;2016;04:15;23.82;10.91;11.0
Sat;2;1;2016;04:30;21.78;8.95;9.0
Sat;2;1;2016;04:45;22.32;9.38;9.0
Sat;2;1;2016;05:00;22.02;9.14;10.0
Sat;2;1;2016;05:15;21.07;8.24;9.0
Sat;2;1;2016;05:30;22.71;9.78;9.0
Sat;2;1;2016;05:45;23.33;10.4;10.0
Sat;2;1;2016;06:00;22.29;9.4;10.0
Sat;2;1;2016;06:15;24.16;11.22;9.0
Sat;2;1;2016;06:30;22.23;9.42;9.0
Sat;2;1;2016;06:45;20.8;7.88;10.0
Sat;2;1;2016;07:00;23.36;10.43;9.0
Sat;2;1;2016;07:15;20.84;8.04;9.0
Sat;2;1;2016;07:30;22.51;9.58;11.0
Sat;2;1;2016;07:45;22.13;9.29;9.0
Sat;2;1;2016;08:00;23.61;10.69;9.0
Sat;2;1;2016;08:15;23.46;10.39;10.0
Sat;2;1;2016;08:30;22.19;9.33;9.0
Sat;2;1;2016;08:45;20.87;7.97;9.0
Sat;2;1;2016;09:00;23.58;10.73;10.0
Sat;2;1;2016;09:15;22.34;9.48;10.0
Sat;2;1;2016;09:30;20.75;7.86;9.0
Sat;2;1;2016;09:45;21.32;8.46;10.0
Sat;2;1;2016;10:00;23.94;11.05;9.0
Sat;2;1;2016;10:15;22.89;9.94;9.0
Sat;2;1;2016;10:30;23.07;10.18;10.0
Sat;2;1;2016;10:45;23.92;11.05;10.0
Sat;2;1;2016;11:00;22.74;9.89;9.0
Sat;2;1;2016;11:15;21.58;8.67;10.0
Sat;2;1;2016;11:30;22.58;9.7;9.0
Sat;2;1;2016;11:45;24.56;11.73;9.0
Sat;2;1;2016;12:00;22.85;9.92;10.0
Sat;2;1;2016;12:15;24.67;11.77;9.0
Sat;2;1;2016;12:30;20.76;7.9;10.0
Sat;2;1;2016;12:45;23.42;10.56;10.0
Sat;2;1;2016;13:00;24.02;11.19;8.0
Sat;2;1;2016;13:15;22.69;9.76;10.0
Sat;2;1;2016;13:30;22.49;9.69;10.0
Sat;2;1;2016;13:45;23.03;10.15;8.0
Sat;2;1;2016;14:00;23.21;10.24;11.0
Sat;2;1;2016;14:15;23.62;10.81;10.0
Sat;2;1;2016;14:30;22.69;9.8;8.0
Sat;2;1;2016;14:45;22.76;9.85;10.0
Sat;2;1;2016;15:00;24.61;11.67;10.0
Sat;2;1;2016;15:15;23.26;10.35;8.0
Sat;2;1;2016;15:30;24.27;11.41;10.0
Sat;2;1;2016;15:45;23.91;11.03;11.0
Sat;2;1;2016;16:00;22.62;9.81;8.0
Sat;2;1;2016;16:15;21.91;9.01;10.0
Sat;2;1;2016;16:30;23.08;10.23;10.0
Sat;2;1;2016;16:45;23.41;10.49;8.0
Sat;2;1;2016;17:00;22.13;9.31;10.0
Sat;2;1;2016;17:15;23.04;10.04;10.0
Sat;2;1;2016;17:30;22.26;9.41;9.0
