weekday;day;month;year;time;CONSUMO_TOTAL ALF2A7A8;AVAC ALF2A7A8;IT ALF2A7A8
Sun;1;1;2017;00:00;118.84;35.2;71.69
Sun;1;1;2017;00:15;118.24;34.73;71.8
Sun;1;1;2017;00:30;118.61;35.08;71.94
Sun;1;1;2017;00:45;118.55;35.05;71.75
Sun;1;1;2017;01:00;117.72;33.99;72.05
Sun;1;1;2017;01:15;116.96;33.32;71.61
Sun;1;1;2017;01:30;117.16;33.61;72.28
Sun;1;1;2017;01:45;118.42;34.72;71.57
Sun;1;1;2017;02:00;119.41;35.67;71.99
Sun;1;1;2017;02:15;118.87;35.29;71.77
Sun;1;1;2017;02:30;119.12;35.66;71.75
Sun;1;1;2017;02:45;120.85;37.31;71.8
Sun;1;1;2017;03:00;116.52;32.98;71.84
Sun;1;1;2017;03:15;116.43;32.89;71.86
Sun;1;1;2017;03:30;121.22;37.54;71.72
Sun;1;1;2017;03:45;116.62;33.1;72.13
Sun;1;1;2017;04:00;116.58;32.88;71.73
Sun;1;1;2017;04:15;116.91;33.25;71.9
Sun;1;1;2017;04:30;120.79;37.35;71.79
Sun;1;1;2017;04:45;117.43;34.14;71.54
Sun;1;1;2017;05:00;116.4;32.73;71.9
Sun;1;1;2017;05:15;115.62;32.17;71.58
Sun;1;1;2017;05:30;120.23;36.58;71.75
Sun;1;1;2017;05:45;116.7;33.53;71.45
Sun;1;1;2017;06:00;121.66;37.96;71.92
Sun;1;1;2017;06:15;122.06;38.86;71.44
Sun;1;1;2017;06:30;117.83;34.22;71.68
Sun;1;1;2017;06:45;118.06;34.7;71.45
Sun;1;1;2017;07:00;121.08;37.49;71.71
Sun;1;1;2017;07:15;116.81;33.49;71.64
Sun;1;1;2017;07:30;117.46;33.91;71.31
Sun;1;1;2017;07:45;121.92;38.58;71.62
Sun;1;1;2017;08:00;119.1;35.98;71.83
Sun;1;1;2017;08:15;116.32;33.03;71.29
Sun;1;1;2017;08:30;118.45;35.33;71.75
Sun;1;1;2017;08:45;118.8;35.84;71.35
Sun;1;1;2017;09:00;117.75;34.36;71.99
Sun;1;1;2017;09:15;123.25;40.14;71.32
Sun;1;1;2017;09:30;119.81;36.92;71.52
Sun;1;1;2017;09:45;117.46;34.51;71.56
Sun;1;1;2017;10:00;121.02;37.62;71.73
Sun;1;1;2017;10:15;116.98;33.97;71.78
Sun;1;1;2017;10:30;120.41;37.2;71.53
Sun;1;1;2017;10:45;118.52;35.51;71.64
Sun;1;1;2017;11:00;116.9;33.7;71.78
Sun;1;1;2017;11:15;121.23;38.08;71.77
Sun;1;1;2017;11:30;118.09;35.16;71.49
Sun;1;1;2017;11:45;117.16;33.98;71.4
Sun;1;1;2017;12:00;123.06;39.63;71.97
Sun;1;1;2017;12:15;121.83;38.7;71.72
Sun;1;1;2017;12:30;116.87;33.55;72.0
Sun;1;1;2017;12:45;117.79;34.53;71.64
Sun;1;1;2017;13:00;119.59;36.38;71.86
Sun;1;1;2017;13:15;117.74;34.77;71.56
Sun;1;1;2017;13:30;118.88;35.56;72.13
Sun;1;1;2017;13:45;118.89;35.72;71.62
Sun;1;1;2017;14:00;118.25;35.2;71.87
Sun;1;1;2017;14:15;118.34;34.88;71.83
Sun;1;1;2017;14:30;117.1;33.99;71.84
Sun;1;1;2017;14:45;117.37;34.16;72.0
Sun;1;1;2017;15:00;117.26;34.07;71.65
Sun;1;1;2017;15:15;118.23;34.9;71.96
Sun;1;1;2017;15:30;119.49;36.34;71.51
Sun;1;1;2017;15:45;120.48;37.26;72.0
Sun;1;1;2017;16:00;117.15;34.05;71.67
Sun;1;1;2017;16:15;118.13;34.78;72.11
Sun;1;1;2017;16:30;119.87;36.83;71.68
Sun;1;1;2017;16:45;117.77;34.44;71.57
Sun;1;1;2017;17:00;118.16;35.0;71.98
Sun;1;1;2017;17:15;119.18;36.03;71.71
Sun;1;1;2017;17:30;117.96;34.52;71.85
Sun;1;1;2017;17:45;118.64;35.1;71.89
Sun;1;1;2017;18:00;118.86;35.14;72.03
Sun;1;1;2017;18:15;120.53;36.92;71.53
Sun;1;1;2017;18:30;116.51;32.87;72.01
Sun;1;1;2017;18:45;117.69;34.24;71.65
Sun;1;1;2017;19:00;119.75;35.97;71.66
Sun;1;1;2017;19:15;118.24;34.64;72.35
Sun;1;1;2017;19:30;118.46;34.91;71.7
Sun;1;1;2017;19:45;117.41;33.92;71.75
Sun;1;1;2017;20:00;118.39;34.68;72.05
Sun;1;1;2017;20:15;117.13;33.62;71.85
Sun;1;1;2017;20:30;117.22;33.67;71.91
Sun;1;1;2017;20:45;117.78;34.18;71.84
Sun;1;1;2017;21:00;117.73;34.07;71.95
Sun;1;1;2017;21:15;118.95;35.31;71.73
Sun;1;1;2017;21:30;117.76;34.18;71.77
Sun;1;1;2017;21:45;117.7;34.09;71.93
Sun;1;1;2017;22:00;117.58;33.68;71.88
Sun;1;1;2017;22:15;117.11;33.42;72.11
Sun;1;1;2017;22:30;116.0;32.16;71.89
Sun;1;1;2017;22:45;119.01;35.26;71.84
