weekday;day;month;year;time;CONSUMO_TOTAL AVR;AVAC AVR;IT AVR
Mon;1;1;2018;00:00;34.46;3.81;24.92
Mon;1;1;2018;00:15;33.35;3.03;24.94
Mon;1;1;2018;00:30;34.81;4.32;24.93
Mon;1;1;2018;00:45;33.29;3.03;24.93
Mon;1;1;2018;01:00;33.32;3.23;24.9
Mon;1;1;2018;01:15;33.84;3.13;24.89
Mon;1;1;2018;01:30;33.06;3.13;24.87
Mon;1;1;2018;01:45;34.09;3.14;24.88
Mon;1;1;2018;02:00;33.05;3.13;24.9
Mon;1;1;2018;02:15;32.57;2.43;24.85
Mon;1;1;2018;02:30;33.63;3.13;24.86
Mon;1;1;2018;02:45;33.0;3.03;24.82
Mon;1;1;2018;03:00;33.07;2.33;24.89
Mon;1;1;2018;03:15;32.87;3.03;24.83
Mon;1;1;2018;03:30;33.54;2.73;24.78
Mon;1;1;2018;03:45;32.27;2.33;24.83
Mon;1;1;2018;04:00;33.12;3.03;24.76
Mon;1;1;2018;04:15;32.59;2.23;24.79
Mon;1;1;2018;04:30;32.74;2.73;24.77
Mon;1;1;2018;04:45;33.28;2.83;24.76
Mon;1;1;2018;05:00;32.12;2.23;24.8
Mon;1;1;2018;05:15;33.49;2.93;24.74
Mon;1;1;2018;05:30;32.06;2.03;24.72
Mon;1;1;2018;05:45;33.23;2.93;24.74
Mon;1;1;2018;06:00;33.0;2.73;24.73
Mon;1;1;2018;06:15;32.68;2.33;24.74
Mon;1;1;2018;06:30;33.03;3.13;24.71
Mon;1;1;2018;06:45;32.96;2.73;24.71
Mon;1;1;2018;07:00;33.03;2.43;24.68
Mon;1;1;2018;07:15;34.11;3.13;24.71
Mon;1;1;2018;07:30;33.64;2.63;24.68
Mon;1;1;2018;07:45;33.19;2.43;24.74
Mon;1;1;2018;08:00;34.28;3.03;24.7
Mon;1;1;2018;08:15;33.48;2.83;24.72
Mon;1;1;2018;08:30;34.1;2.44;24.78
Mon;1;1;2018;08:45;33.8;3.03;24.67
Mon;1;1;2018;09:00;33.6;3.04;24.72
Mon;1;1;2018;09:15;32.87;2.13;24.75
Mon;1;1;2018;09:30;32.96;3.03;24.73
Mon;1;1;2018;09:45;33.89;3.03;24.73
Mon;1;1;2018;10:00;33.18;3.13;24.77
Mon;1;1;2018;10:15;33.29;2.93;24.74
Mon;1;1;2018;10:30;33.95;3.13;24.82
Mon;1;1;2018;10:45;33.31;3.33;24.8
Mon;1;1;2018;11:00;34.01;3.33;24.8
Mon;1;1;2018;11:15;33.74;3.53;24.82
Mon;1;1;2018;11:30;33.77;3.43;24.88
Mon;1;1;2018;11:45;34.63;3.83;24.87
Mon;1;1;2018;12:00;33.98;3.83;24.89
Mon;1;1;2018;12:15;34.59;3.92;24.9
Mon;1;1;2018;12:30;34.2;3.73;24.91
Mon;1;1;2018;12:45;34.33;4.02;24.89
Mon;1;1;2018;13:00;34.7;3.92;24.92
Mon;1;1;2018;13:15;33.94;4.03;24.91
Mon;1;1;2018;13:30;34.93;3.83;24.93
Mon;1;1;2018;13:45;34.05;3.93;24.87
Mon;1;1;2018;14:00;34.32;3.83;24.89
Mon;1;1;2018;14:15;34.57;3.93;24.93
Mon;1;1;2018;14:30;34.11;3.93;24.9
Mon;1;1;2018;14:45;34.41;3.83;24.93
Mon;1;1;2018;15:00;34.26;3.93;24.93
Mon;1;1;2018;15:15;34.28;3.93;24.95
Mon;1;1;2018;15:30;34.42;3.93;24.97
Mon;1;1;2018;15:45;34.65;3.83;24.96
Mon;1;1;2018;16:00;34.1;4.03;25.03
Mon;1;1;2018;16:15;35.69;4.93;24.97
Mon;1;1;2018;16:30;34.26;3.73;25.01
Mon;1;1;2018;16:45;34.53;4.67;24.94
Mon;1;1;2018;17:00;36.64;4.94;25.01
Mon;1;1;2018;17:15;34.83;5.15;25.02
Mon;1;1;2018;17:30;37.45;5.58;24.99
Mon;1;1;2018;17:45;33.91;3.83;25.01
Mon;1;1;2018;18:00;35.12;4.34;25.02
Mon;1;1;2018;18:15;34.15;3.73;25.01
Mon;1;1;2018;18:30;34.64;4.77;25.01
Mon;1;1;2018;18:45;35.4;4.29;24.97
Mon;1;1;2018;19:00;35.0;5.15;25.03
Mon;1;1;2018;19:15;35.26;4.67;25.0
Mon;1;1;2018;19:30;34.3;3.83;25.02
Mon;1;1;2018;19:45;33.49;3.53;24.97
Mon;1;1;2018;20:00;35.38;4.63;25.03
Mon;1;1;2018;20:15;34.68;4.54;25.0
Mon;1;1;2018;20:30;33.72;3.53;24.99
Mon;1;1;2018;20:45;34.97;4.51;25.0
Mon;1;1;2018;21:00;35.41;5.19;25.02
Mon;1;1;2018;21:15;34.69;4.25;25.06
Mon;1;1;2018;21:30;33.78;3.53;25.02
Mon;1;1;2018;21:45;33.89;3.53;25.03
Mon;1;1;2018;22:00;33.82;3.53;25.05
Mon;1;1;2018;22:15;34.12;3.53;25.07
Mon;1;1;2018;22:30;34.26;4.17;25.01
Mon;1;1;2018;22:45;35.85;5.18;25.08
Mon;1;1;2018;23:00;34.04;3.53;25.04
Mon;1;1;2018;23:15;34.79;5.02;25.06
Mon;1;1;2018;23:30;36.2;4.89;25.07
Mon;1;1;2018;23:45;33.46;4.05;25.04
Tue;2;1;2018;00:00;35.07;3.93;25.01
Tue;2;1;2018;00:15;34.0;3.63;25.05
Tue;2;1;2018;00:30;34.25;4.32;24.98
Tue;2;1;2018;00:45;34.26;3.43;24.97
