weekday;day;month;year;time;CONSUMO_TOTAL BVTP0;AVAC BVTP0;IT BVTP0
Mon;1;1;2018;00:00;71.18;8.65;56.64
Mon;1;1;2018;00:15;71.18;8.65;56.64
Mon;1;1;2018;00:30;72.15;9.77;56.61
Mon;1;1;2018;00:45;71.05;8.57;56.52
Mon;1;1;2018;01:00;70.77;8.54;56.49
Mon;1;1;2018;01:15;71.69;9.48;56.43
Mon;1;1;2018;01:30;71.1;8.76;56.41
Mon;1;1;2018;01:45;70.64;8.19;56.37
Mon;1;1;2018;02:00;70.91;8.56;56.35
Mon;1;1;2018;02:15;71.61;9.41;56.39
Mon;1;1;2018;02:30;70.34;8.07;56.27
Mon;1;1;2018;02:45;70.36;8.12;56.2
Mon;1;1;2018;03:00;70.28;8.15;56.21
Mon;1;1;2018;03:15;70.87;9.06;56.21
Mon;1;1;2018;03:30;70.28;8.24;56.13
Mon;1;1;2018;03:45;70.33;8.07;56.08
Mon;1;1;2018;04:00;70.55;8.53;56.13
Mon;1;1;2018;04:15;71.24;9.4;56.01
Mon;1;1;2018;04:30;70.22;8.26;55.93
Mon;1;1;2018;04:45;70.1;8.09;56.0
Mon;1;1;2018;05:00;70.06;8.1;55.94
Mon;1;1;2018;05:15;69.91;8.03;55.92
Mon;1;1;2018;05:30;70.62;8.97;55.83
Mon;1;1;2018;05:45;70.94;9.24;55.83
Mon;1;1;2018;06:00;69.19;7.2;55.76
Mon;1;1;2018;06:15;70.57;8.84;55.98
Mon;1;1;2018;06:30;69.36;7.32;55.88
Mon;1;1;2018;06:45;70.73;8.9;56.02
Mon;1;1;2018;07:00;68.71;6.89;55.91
Mon;1;1;2018;07:15;69.37;7.49;55.93
Mon;1;1;2018;07:30;69.84;8.03;56.06
Mon;1;1;2018;07:45;68.77;6.66;56.04
Mon;1;1;2018;08:00;69.97;7.63;56.01
Mon;1;1;2018;08:15;70.25;8.11;56.03
Mon;1;1;2018;08:30;69.52;6.95;56.0
Mon;1;1;2018;08:45;70.62;8.17;56.08
Mon;1;1;2018;09:00;70.54;8.47;56.14
Mon;1;1;2018;09:15;71.11;9.1;56.13
Mon;1;1;2018;09:30;70.76;8.81;56.16
Mon;1;1;2018;09:45;72.08;10.15;56.22
Mon;1;1;2018;10:00;72.16;10.37;56.22
Mon;1;1;2018;10:15;73.04;11.28;56.27
Mon;1;1;2018;10:30;72.36;10.43;56.39
Mon;1;1;2018;10:45;72.37;10.64;56.35
Mon;1;1;2018;11:00;73.73;11.92;56.48
Mon;1;1;2018;11:15;72.45;10.53;56.46
Mon;1;1;2018;11:30;73.64;11.8;56.51
Mon;1;1;2018;11:45;73.57;11.56;56.56
Mon;1;1;2018;12:00;73.73;11.68;56.69
Mon;1;1;2018;12:15;74.05;11.86;56.7
Mon;1;1;2018;12:30;73.17;11.24;56.62
Mon;1;1;2018;12:45;72.98;11.24;56.7
Mon;1;1;2018;13:00;72.82;10.51;56.74
Mon;1;1;2018;13:15;75.02;13.17;56.74
Mon;1;1;2018;13:30;74.96;12.81;56.61
Mon;1;1;2018;13:45;74.68;12.79;56.61
Mon;1;1;2018;14:00;73.72;11.46;56.73
Mon;1;1;2018;14:15;75.14;13.67;56.66
Mon;1;1;2018;14:30;74.62;12.21;56.55
Mon;1;1;2018;14:45;73.63;11.61;56.74
Mon;1;1;2018;15:00;77.24;15.47;56.72
Mon;1;1;2018;15:15;72.68;10.9;56.65
Mon;1;1;2018;15:30;74.7;12.84;56.73
Mon;1;1;2018;15:45;74.78;13.01;56.69
Mon;1;1;2018;16:00;74.72;12.24;56.67
Mon;1;1;2018;16:15;72.92;10.54;56.76
Mon;1;1;2018;16:30;76.8;14.62;56.66
Mon;1;1;2018;16:45;72.91;10.93;56.71
Mon;1;1;2018;17:00;73.89;11.52;56.78
Mon;1;1;2018;17:15;75.64;13.84;56.74
Mon;1;1;2018;17:30;72.97;10.31;56.67
Mon;1;1;2018;17:45;74.23;11.74;56.79
Mon;1;1;2018;18:00;73.09;10.75;56.85
Mon;1;1;2018;18:15;75.96;13.33;56.65
Mon;1;1;2018;18:30;72.88;10.13;56.76
Mon;1;1;2018;18:45;73.53;10.55;56.89
Mon;1;1;2018;19:00;76.37;14.06;56.76
Mon;1;1;2018;19:15;72.74;9.76;56.7
Mon;1;1;2018;19:30;72.48;9.97;56.77
Mon;1;1;2018;19:45;74.28;12.08;56.76
Mon;1;1;2018;20:00;74.13;11.37;56.67
Mon;1;1;2018;20:15;73.81;10.9;56.79
