weekday;day;month;year;time;CONSUMO_TOTAL CMB;AVAC CMB;IT CMB
Sun;1;1;2017;00:00;21.0;4.58;15.85
Sun;1;1;2017;00:15;22.0;5.08;15.84
Sun;1;1;2017;00:30;22.0;4.52;15.83
Sun;1;1;2017;00:45;22.0;5.13;15.84
Sun;1;1;2017;01:00;21.0;4.52;15.84
Sun;1;1;2017;01:15;22.0;5.12;15.82
Sun;1;1;2017;01:30;22.0;4.52;15.83
Sun;1;1;2017;01:45;22.0;5.24;15.82
Sun;1;1;2017;02:00;21.0;4.47;15.82
Sun;1;1;2017;02:15;22.0;5.17;15.83
Sun;1;1;2017;02:30;22.0;4.47;15.81
Sun;1;1;2017;02:45;22.0;5.11;15.83
Sun;1;1;2017;03:00;21.0;4.43;15.81
Sun;1;1;2017;03:15;22.0;5.07;15.81
Sun;1;1;2017;03:30;21.0;4.47;15.82
Sun;1;1;2017;03:45;22.0;5.08;15.8
Sun;1;1;2017;04:00;22.0;4.48;15.8
Sun;1;1;2017;04:15;22.0;5.04;15.8
Sun;1;1;2017;04:30;21.0;4.49;15.8
Sun;1;1;2017;04:45;22.0;5.05;15.81
Sun;1;1;2017;05:00;21.0;4.4;15.79
Sun;1;1;2017;05:15;22.0;5.07;15.8
Sun;1;1;2017;05:30;21.0;4.44;15.79
Sun;1;1;2017;05:45;22.0;4.82;15.81
Sun;1;1;2017;06:00;21.0;4.61;15.78
Sun;1;1;2017;06:15;22.0;4.5;15.79
Sun;1;1;2017;06:30;22.0;4.98;15.78
Sun;1;1;2017;06:45;21.0;4.49;15.79
Sun;1;1;2017;07:00;22.0;5.07;15.8
Sun;1;1;2017;07:15;21.0;4.38;15.78
Sun;1;1;2017;07:30;22.0;4.49;15.79
Sun;1;1;2017;07:45;21.0;4.92;15.77
Sun;1;1;2017;08:00;22.0;4.55;15.79
Sun;1;1;2017;08:15;22.0;4.95;15.78
Sun;1;1;2017;08:30;21.0;4.55;15.78
Sun;1;1;2017;08:45;22.0;5.06;15.79
Sun;1;1;2017;09:00;21.0;4.46;15.78
Sun;1;1;2017;09:15;22.0;4.58;15.79
Sun;1;1;2017;09:30;22.0;5.03;15.8
Sun;1;1;2017;09:45;21.0;4.82;15.8
Sun;1;1;2017;10:00;22.0;4.9;15.79
Sun;1;1;2017;10:15;22.0;5.26;15.82
Sun;1;1;2017;10:30;22.0;4.52;15.81
Sun;1;1;2017;10:45;22.0;5.26;15.83
Sun;1;1;2017;11:00;22.0;4.99;15.83
Sun;1;1;2017;11:15;21.0;4.96;15.82
Sun;1;1;2017;11:30;23.0;5.56;15.84
Sun;1;1;2017;11:45;22.0;5.54;15.84
Sun;1;1;2017;12:00;22.0;4.7;15.85
Sun;1;1;2017;12:15;23.0;5.74;15.84
Sun;1;1;2017;12:30;22.0;5.93;15.84
Sun;1;1;2017;12:45;23.0;5.16;15.84
Sun;1;1;2017;13:00;22.0;5.33;15.85
Sun;1;1;2017;13:15;23.0;5.92;15.83
Sun;1;1;2017;13:30;22.0;5.97;15.84
Sun;1;1;2017;13:45;22.0;4.91;15.83
Sun;1;1;2017;14:00;23.0;5.71;15.83
Sun;1;1;2017;14:15;23.0;6.03;15.85
Sun;1;1;2017;14:30;23.0;5.76;15.85
Sun;1;1;2017;14:45;22.0;5.04;15.83
Sun;1;1;2017;15:00;23.0;6.14;15.84
Sun;1;1;2017;15:15;23.0;5.99;15.85
Sun;1;1;2017;15:30;22.0;5.63;15.86
Sun;1;1;2017;15:45;22.0;5.05;15.84
Sun;1;1;2017;16:00;23.0;6.04;15.85
Sun;1;1;2017;16:15;23.0;6.0;15.85
Sun;1;1;2017;16:30;23.0;5.5;15.86
Sun;1;1;2017;16:45;22.0;5.04;15.86
Sun;1;1;2017;17:00;22.0;5.95;15.85
Sun;1;1;2017;17:15;23.0;5.94;15.86
Sun;1;1;2017;17:30;22.0;5.1;15.86
Sun;1;1;2017;17:45;23.0;5.3;15.86
Sun;1;1;2017;18:00;22.0;5.75;15.87
Sun;1;1;2017;18:15;23.0;5.83;15.86
Sun;1;1;2017;18:30;22.0;5.2;15.86
Sun;1;1;2017;18:45;22.0;5.25;15.85
Sun;1;1;2017;19:00;23.0;5.83;15.86
Sun;1;1;2017;19:15;23.0;5.92;15.88
Sun;1;1;2017;19:30;22.0;4.91;15.86
Sun;1;1;2017;19:45;22.0;5.45;15.85
Sun;1;1;2017;20:00;23.0;5.85;15.86
Sun;1;1;2017;20:15;23.0;5.81;15.86
Sun;1;1;2017;20:30;22.0;4.91;15.87
Sun;1;1;2017;20:45;22.0;5.54;15.86
Sun;1;1;2017;21:00;23.0;5.87;15.87
Sun;1;1;2017;21:15;23.0;5.68;15.87
Sun;1;1;2017;21:30;21.0;4.85;15.86
Sun;1;1;2017;21:45;23.0;5.79;15.87
Sun;1;1;2017;22:00;23.0;5.96;15.86
Sun;1;1;2017;22:15;22.0;5.31;15.86
Sun;1;1;2017;22:30;23.0;5.25;15.85
Sun;1;1;2017;22:45;22.0;5.82;15.86
Sun;1;1;2017;23:00;23.0;5.91;15.84
Sun;1;1;2017;23:15;22.0;5.22;15.85
Sun;1;1;2017;23:30;22.0;5.18;15.84
Sun;1;1;2017;23:45;23.0;5.98;15.83
Mon;2;1;2017;00:00;23.0;5.93;15.86
Mon;2;1;2017;00:15;22.0;5.0;15.83
Mon;2;1;2017;00:30;23.0;5.52;15.83
Mon;2;1;2017;00:45;22.0;5.95;15.82
Mon;2;1;2017;01:00;23.0;6.0;15.83
Mon;2;1;2017;01:15;22.0;4.79;15.83
Mon;2;1;2017;01:30;23.0;5.81;15.81
Mon;2;1;2017;01:45;23.0;5.98;15.81
Mon;2;1;2017;02:00;22.0;5.54;15.82
Mon;2;1;2017;02:15;22.0;4.91;15.81
Mon;2;1;2017;02:30;23.0;5.89;15.82
Mon;2;1;2017;02:45;23.0;5.92;15.8
Mon;2;1;2017;03:00;22.0;5.62;15.81
Mon;2;1;2017;03:15;22.0;4.98;15.79
Mon;2;1;2017;03:30;23.0;5.73;15.8
Mon;2;1;2017;03:45;22.0;5.87;15.81
Mon;2;1;2017;04:00;23.0;5.83;15.8
Mon;2;1;2017;04:15;22.0;5.45;15.8
Mon;2;1;2017;04:30;22.0;5.05;15.79
Mon;2;1;2017;04:45;23.0;5.78;15.78
Mon;2;1;2017;05:00;23.0;5.89;15.79
Mon;2;1;2017;05:15;23.0;5.99;15.78
Mon;2;1;2017;05:30;21.0;4.95;15.78
Mon;2;1;2017;05:45;23.0;5.58;15.77
Mon;2;1;2017;06:00;23.0;6.0;15.8
Mon;2;1;2017;06:15;22.0;5.72;15.78
Mon;2;1;2017;06:30;22.0;4.88;15.77
Mon;2;1;2017;06:45;23.0;5.94;15.78
Mon;2;1;2017;07:00;23.0;5.9;15.78
Mon;2;1;2017;07:15;22.0;5.71;15.79
Mon;2;1;2017;07:30;22.0;5.01;15.78
Mon;2;1;2017;07:45;23.0;5.68;15.78
Mon;2;1;2017;08:00;23.0;5.91;15.79
Mon;2;1;2017;08:15;22.0;5.88;15.8
Mon;2;1;2017;08:30;22.0;4.76;15.81
Mon;2;1;2017;08:45;22.0;4.75;15.81
Mon;2;1;2017;09:00;23.0;5.21;15.84
Mon;2;1;2017;09:15;24.0;5.29;15.82
Mon;2;1;2017;09:30;23.0;4.74;15.84
Mon;2;1;2017;09:45;25.0;5.72;15.86
Mon;2;1;2017;10:00;23.0;4.75;15.84
Mon;2;1;2017;10:15;23.0;4.74;15.85
Mon;2;1;2017;10:30;25.0;5.66;15.86
Mon;2;1;2017;10:45;23.0;4.74;15.85
Mon;2;1;2017;11:00;24.0;4.74;15.88
Mon;2;1;2017;11:15;24.0;5.68;15.86
Mon;2;1;2017;11:30;24.0;4.75;15.86
Mon;2;1;2017;11:45;23.0;4.75;15.88
Mon;2;1;2017;12:00;24.0;5.65;15.88
Mon;2;1;2017;12:15;24.0;4.75;15.87
Mon;2;1;2017;12:30;24.0;5.69;15.87
Mon;2;1;2017;12:45;23.0;4.78;15.86
Mon;2;1;2017;13:00;23.0;4.8;15.87
Mon;2;1;2017;13:15;25.0;5.78;15.87
Mon;2;1;2017;13:30;23.0;4.75;15.87
Mon;2;1;2017;13:45;24.0;5.83;15.87
Mon;2;1;2017;14:00;24.0;4.75;15.87
Mon;2;1;2017;14:15;24.0;5.78;15.88
Mon;2;1;2017;14:30;24.0;4.74;15.89
Mon;2;1;2017;14:45;24.0;4.89;15.89
Mon;2;1;2017;15:00;24.0;5.69;15.88
Mon;2;1;2017;15:15;24.0;4.74;15.88
Mon;2;1;2017;15:30;24.0;5.88;15.88
Mon;2;1;2017;15:45;23.0;4.74;15.9
Mon;2;1;2017;16:00;25.0;5.85;15.89
Mon;2;1;2017;16:15;23.0;4.74;15.88
Mon;2;1;2017;16:30;24.0;5.56;15.9
Mon;2;1;2017;16:45;23.0;4.93;15.88
Mon;2;1;2017;17:00;24.0;4.75;15.91
Mon;2;1;2017;17:15;24.0;5.75;15.89
Mon;2;1;2017;17:30;23.0;4.75;15.9
Mon;2;1;2017;17:45;25.0;5.91;15.89
Mon;2;1;2017;18:00;23.0;4.74;15.9
Mon;2;1;2017;18:15;24.0;5.88;15.91
Mon;2;1;2017;18:30;23.0;4.75;15.9
Mon;2;1;2017;18:45;24.0;5.94;15.9
Mon;2;1;2017;19:00;23.0;5.06;15.89
Mon;2;1;2017;19:15;24.0;5.99;15.87
Mon;2;1;2017;19:30;24.0;6.07;15.89
Mon;2;1;2017;19:45;23.0;5.98;15.87
Mon;2;1;2017;20:00;23.0;5.22;15.86
Mon;2;1;2017;20:15;23.0;5.74;15.86
Mon;2;1;2017;20:30;23.0;6.07;15.87
Mon;2;1;2017;20:45;24.0;6.05;15.88
Mon;2;1;2017;21:00;22.0;5.64;15.87
Mon;2;1;2017;21:15;22.0;5.19;15.86
Mon;2;1;2017;21:30;23.0;5.96;15.86
Mon;2;1;2017;21:45;23.0;6.09;15.87
Mon;2;1;2017;22:00;23.0;6.05;15.87
Mon;2;1;2017;22:15;22.0;5.11;15.86
Mon;2;1;2017;22:30;23.0;5.65;15.86
Mon;2;1;2017;22:45;23.0;6.08;15.86
Mon;2;1;2017;23:00;23.0;6.22;15.88
Mon;2;1;2017;23:15;23.0;5.19;15.85
Mon;2;1;2017;23:30;23.0;5.48;15.85
Mon;2;1;2017;23:45;23.0;6.05;15.85
Tue;3;1;2017;00:00;23.0;6.22;15.85
Tue;3;1;2017;00:15;22.0;5.61;15.86
Tue;3;1;2017;00:30;23.0;5.36;15.83
Tue;3;1;2017;00:45;22.0;5.97;15.83
Tue;3;1;2017;01:00;24.0;6.13;15.83
Tue;3;1;2017;01:15;22.0;6.04;15.83
Tue;3;1;2017;01:30;22.0;5.1;15.83
Tue;3;1;2017;01:45;23.0;5.83;15.81
Tue;3;1;2017;02:00;23.0;6.1;15.82
Tue;3;1;2017;02:15;23.0;6.1;15.81
Tue;3;1;2017;02:30;22.0;5.19;15.81
Tue;3;1;2017;02:45;23.0;5.45;15.82
Tue;3;1;2017;03:00;23.0;6.1;15.8
Tue;3;1;2017;03:15;23.0;5.97;15.81
Tue;3;1;2017;03:30;23.0;5.81;15.81
Tue;3;1;2017;03:45;22.0;5.25;15.81
Tue;3;1;2017;04:00;22.0;5.69;15.8
Tue;3;1;2017;04:15;23.0;5.99;15.79
Tue;3;1;2017;04:30;23.0;6.09;15.8
Tue;3;1;2017;04:45;22.0;5.42;15.79
Tue;3;1;2017;05:00;23.0;5.23;15.8
Tue;3;1;2017;05:15;22.0;5.99;15.78
Tue;3;1;2017;05:30;23.0;5.98;15.79
Tue;3;1;2017;05:45;23.0;5.92;15.79
Tue;3;1;2017;06:00;22.0;5.47;15.79
Tue;3;1;2017;06:15;23.0;5.29;15.8
Tue;3;1;2017;06:30;22.0;5.62;15.78
Tue;3;1;2017;06:45;23.0;5.88;15.78
Tue;3;1;2017;07:00;23.0;5.88;15.78
