weekday;day;month;year;time;CONSUMO_TOTAL FAR;AVAC FAR;IT FAR
Mon;1;1;2018;00:00;24.0;4.57;13.04
Mon;1;1;2018;00:15;5.0;1.7;3.3
Mon;1;1;2018;00:30;14.0;4.51;12.23
Mon;1;1;2018;00:45;23.0;4.51;12.23
Mon;1;1;2018;01:00;6.0;1.36;3.92
Mon;1;1;2018;01:15;14.0;3.79;10.61
Mon;1;1;2018;01:30;23.0;3.79;10.61
Mon;1;1;2018;01:45;14.4;3.79;10.61
Mon;1;1;2018;02:00;14.4;3.79;10.61
Mon;1;1;2018;02:15;14.4;3.79;10.61
Mon;1;1;2018;02:30;14.4;3.79;10.61
Mon;1;1;2018;02:45;14.4;3.79;10.61
Mon;1;1;2018;03:00;13.0;3.33;9.3
Mon;1;1;2018;03:15;13.0;3.33;9.3
Mon;1;1;2018;03:30;13.0;3.33;9.3
Mon;1;1;2018;03:45;12.5;3.33;9.3
Mon;1;1;2018;04:00;12.5;3.33;9.3
Mon;1;1;2018;04:15;12.5;3.33;9.3
Mon;1;1;2018;04:30;16.5;3.33;9.3
Mon;1;1;2018;04:45;16.5;3.33;9.3
Mon;1;1;2018;05:00;9.5;2.2;6.48
Mon;1;1;2018;05:15;15.0;4.47;12.73
Mon;1;1;2018;05:30;22.0;4.47;12.73
Mon;1;1;2018;05:45;5.5;1.34;3.9
Mon;1;1;2018;06:00;14.5;3.84;9.45
Mon;1;1;2018;06:15;14.0;3.24;10.49
Mon;1;1;2018;06:30;14.0;3.35;9.46
Mon;1;1;2018;06:45;15.0;3.76;9.42
Mon;1;1;2018;07:00;15.0;3.55;9.88
Mon;1;1;2018;07:15;14.5;3.55;9.88
Mon;1;1;2018;07:30;14.5;3.55;9.88
Mon;1;1;2018;07:45;14.5;3.55;9.88
Mon;1;1;2018;08:00;14.5;3.55;9.88
Mon;1;1;2018;08:15;12.5;3.39;9.38
Mon;1;1;2018;08:30;14.0;4.32;12.23
Mon;1;1;2018;08:45;22.5;4.32;12.23
Mon;1;1;2018;09:00;6.0;1.68;3.93
Mon;1;1;2018;09:15;14.0;3.25;10.46
Mon;1;1;2018;09:30;14.0;3.25;9.47
Mon;1;1;2018;09:45;15.0;3.84;9.45
Mon;1;1;2018;10:00;14.0;3.27;9.47
Mon;1;1;2018;10:15;13.5;3.27;10.47
Mon;1;1;2018;10:30;14.5;3.92;9.49
Mon;1;1;2018;10:45;14.0;3.27;9.44
Mon;1;1;2018;11:00;15.0;3.9;9.45
Mon;1;1;2018;11:15;14.0;3.3;10.49
Mon;1;1;2018;11:30;15.0;4.89;12.26
Mon;1;1;2018;11:45;22.5;4.89;12.26
Mon;1;1;2018;12:00;6.5;1.35;3.87
Mon;1;1;2018;12:15;14.0;3.28;10.46
Mon;1;1;2018;12:30;14.5;3.88;9.46
Mon;1;1;2018;12:45;14.5;3.73;9.86
Mon;1;1;2018;13:00;14.75;3.73;9.86
Mon;1;1;2018;13:15;14.75;3.73;9.86
Mon;1;1;2018;13:30;14.75;3.73;9.86
Mon;1;1;2018;13:45;14.75;3.73;9.86
Mon;1;1;2018;14:00;13.0;2.95;8.51
Mon;1;1;2018;14:15;14.0;3.57;10.48
Mon;1;1;2018;14:30;14.5;3.59;9.45
Mon;1;1;2018;14:45;14.0;3.28;9.47
Mon;1;1;2018;15:00;14.5;3.74;10.13
Mon;1;1;2018;15:15;23.5;3.74;10.13
Mon;1;1;2018;15:30;14.0;3.74;10.13
Mon;1;1;2018;15:45;14.0;3.74;10.13
Mon;1;1;2018;16:00;14.0;3.74;10.13
Mon;1;1;2018;16:15;14.0;3.74;10.13
Mon;1;1;2018;16:30;14.0;3.74;10.13
Mon;1;1;2018;16:45;12.17;3.74;10.13
Mon;1;1;2018;17:00;12.17;3.74;10.13
Mon;1;1;2018;17:15;12.17;3.74;10.13
Mon;1;1;2018;17:30;17.5;3.74;10.13
Mon;1;1;2018;17:45;17.5;3.74;10.13
Mon;1;1;2018;18:00;7.0;1.56;4.51
Mon;1;1;2018;18:15;14.0;3.28;10.47
Mon;1;1;2018;18:30;14.0;3.28;9.47
Mon;1;1;2018;18:45;14.5;3.87;9.47
Mon;1;1;2018;19:00;14.5;4.57;12.87
Mon;1;1;2018;19:15;23.0;4.57;12.87
Mon;1;1;2018;19:30;5.5;1.31;3.71
Mon;1;1;2018;19:45;13.5;3.43;9.63
Mon;1;1;2018;20:00;16.0;3.43;9.63
Mon;1;1;2018;20:15;16.0;3.67;9.65
Mon;1;1;2018;20:30;16.0;3.67;9.65
Mon;1;1;2018;20:45;16.0;3.67;9.65
Mon;1;1;2018;21:00;15.17;3.67;9.65
Mon;1;1;2018;21:15;15.17;3.67;9.65
Mon;1;1;2018;21:30;15.17;5.62;9.84
Mon;1;1;2018;21:45;15.17;5.62;9.84
Mon;1;1;2018;22:00;15.17;5.62;9.84
Mon;1;1;2018;22:15;15.17;5.62;9.84
Mon;1;1;2018;22:30;15.17;5.62;9.84
Mon;1;1;2018;22:45;15.17;1.56;7.1
Mon;1;1;2018;23:00;15.17;0.68;9.27
Mon;1;1;2018;23:15;15.17;3.58;9.33
Mon;1;1;2018;23:30;15.17;3.9;10.34
Mon;1;1;2018;23:45;15.17;3.9;10.34
Tue;2;1;2018;00:00;11.33;3.9;10.34
Tue;2;1;2018;00:15;11.33;3.9;10.34
Tue;2;1;2018;00:30;11.33;3.9;10.34
Tue;2;1;2018;00:45;14.0;3.24;9.11
Tue;2;1;2018;01:00;14.0;5.25;12.69
Tue;2;1;2018;01:15;24.0;5.25;12.69
Tue;2;1;2018;01:30;7.0;4.36;9.7
Tue;2;1;2018;01:45;16.17;4.36;9.7
Tue;2;1;2018;02:00;16.17;4.36;9.7
Tue;2;1;2018;02:15;16.17;4.36;9.7
Tue;2;1;2018;02:30;16.17;4.36;9.7
Tue;2;1;2018;02:45;16.17;4.36;9.7
Tue;2;1;2018;03:00;16.17;4.36;9.7
Tue;2;1;2018;03:15;16.17;4.36;9.7
Tue;2;1;2018;03:30;16.17;4.36;9.7
Tue;2;1;2018;03:45;16.17;4.36;9.7
Tue;2;1;2018;04:00;4.5;2.94;9.97
Tue;2;1;2018;04:15;16.25;2.94;9.97
Tue;2;1;2018;04:30;16.25;2.94;9.97
Tue;2;1;2018;04:45;16.25;2.94;9.97
Tue;2;1;2018;05:00;16.25;2.94;9.97
Tue;2;1;2018;05:15;3.0;0.73;2.29
Tue;2;1;2018;05:30;13.5;3.03;9.46
Tue;2;1;2018;05:45;14.0;3.07;9.4
Tue;2;1;2018;06:00;13.5;3.12;9.43
Tue;2;1;2018;06:15;14.0;3.15;10.44
Tue;2;1;2018;06:30;14.0;3.16;9.43
Tue;2;1;2018;06:45;14.0;3.21;9.43
Tue;2;1;2018;07:00;14.0;4.33;12.91
Tue;2;1;2018;07:15;23.0;4.33;12.91
Tue;2;1;2018;07:30;5.0;1.26;3.5
Tue;2;1;2018;07:45;15.0;3.57;9.39
Tue;2;1;2018;08:00;16.0;5.56;9.45
Tue;2;1;2018;08:15;17.0;6.65;12.77
Tue;2;1;2018;08:30;28.0;6.65;12.77
Tue;2;1;2018;08:45;6.0;1.99;3.73
Tue;2;1;2018;09:00;17.5;4.77;10.43
Tue;2;1;2018;09:15;14.5;3.68;12.25
Tue;2;1;2018;09:30;24.5;3.68;12.25
Tue;2;1;2018;09:45;6.5;1.88;3.86
Tue;2;1;2018;10:00;17.0;5.08;10.44
Tue;2;1;2018;10:15;16.0;5.07;9.42
Tue;2;1;2018;10:30;15.0;3.76;12.77
Tue;2;1;2018;10:45;23.0;3.76;12.77
Tue;2;1;2018;11:00;5.5;1.15;3.76
Tue;2;1;2018;11:15;14.5;3.31;10.51
Tue;2;1;2018;11:30;16.0;3.31;10.51
Tue;2;1;2018;11:45;16.0;3.31;10.51
Tue;2;1;2018;12:00;16.0;3.31;10.51
Tue;2;1;2018;12:15;16.0;3.31;10.51
Tue;2;1;2018;12:30;16.0;3.31;10.51
Tue;2;1;2018;12:45;16.0;3.31;10.51
Tue;2;1;2018;13:00;6.0;1.32;3.87
Tue;2;1;2018;13:15;14.5;3.25;9.44
Tue;2;1;2018;13:30;14.5;4.32;12.74
Tue;2;1;2018;13:45;24.0;4.32;12.74
Tue;2;1;2018;14:00;5.5;1.38;3.83
Tue;2;1;2018;14:15;14.5;5.9;12.7
Tue;2;1;2018;14:30;26.5;5.9;12.7
Tue;2;1;2018;14:45;6.5;2.25;3.91
Tue;2;1;2018;15:00;17.0;6.64;12.7
Tue;2;1;2018;15:15;26.0;6.64;12.7
Tue;2;1;2018;15:30;6.5;2.01;3.88
Tue;2;1;2018;15:45;14.5;2.78;9.48
Tue;2;1;2018;16:00;14.5;4.93;12.76
Tue;2;1;2018;16:15;25.0;4.93;12.76
Tue;2;1;2018;16:30;6.5;3.25;8.11
Tue;2;1;2018;16:45;16.25;3.25;8.11
Tue;2;1;2018;17:00;16.25;3.25;8.11
Tue;2;1;2018;17:15;12.5;3.75;12.68
