weekday;day;month;year;time;CONSUMO_TOTAL FMC;AVAC FMC;IT FMC
Sun;1;1;2017;00:00;23.0;2.52;18.36
Sun;1;1;2017;00:15;22.0;2.52;18.33
Sun;1;1;2017;00:30;22.0;2.52;18.32
Sun;1;1;2017;00:45;22.0;2.52;18.32
Sun;1;1;2017;01:00;22.0;2.52;18.35
Sun;1;1;2017;01:15;22.0;2.52;18.31
Sun;1;1;2017;01:30;23.0;2.52;18.32
Sun;1;1;2017;01:45;22.0;2.52;18.31
Sun;1;1;2017;02:00;22.0;2.52;18.29
Sun;1;1;2017;02:15;22.0;2.53;18.28
Sun;1;1;2017;02:30;22.0;2.53;18.27
Sun;1;1;2017;02:45;23.0;2.53;18.27
Sun;1;1;2017;03:00;22.0;2.52;18.28
Sun;1;1;2017;03:15;22.0;2.53;18.26
Sun;1;1;2017;03:30;22.0;2.53;18.26
Sun;1;1;2017;03:45;22.0;2.53;18.27
Sun;1;1;2017;04:00;22.0;2.53;18.21
Sun;1;1;2017;04:15;22.0;2.53;18.21
Sun;1;1;2017;04:30;22.0;2.53;18.22
Sun;1;1;2017;04:45;22.0;2.53;18.2
Sun;1;1;2017;05:00;22.0;2.54;18.19
Sun;1;1;2017;05:15;22.0;2.54;18.18
Sun;1;1;2017;05:30;23.0;2.54;18.19
Sun;1;1;2017;05:45;22.0;2.54;18.17
Sun;1;1;2017;06:00;22.0;2.58;18.18
Sun;1;1;2017;06:15;22.0;2.38;18.13
Sun;1;1;2017;06:30;21.0;2.15;18.14
Sun;1;1;2017;06:45;22.0;2.15;18.18
Sun;1;1;2017;07:00;22.0;2.17;18.2
Sun;1;1;2017;07:15;22.0;2.58;18.12
Sun;1;1;2017;07:30;21.0;2.22;18.1
Sun;1;1;2017;07:45;22.0;2.15;18.14
Sun;1;1;2017;08:00;22.0;2.15;18.14
Sun;1;1;2017;08:15;21.0;2.15;18.14
Sun;1;1;2017;08:30;22.0;2.14;18.14
Sun;1;1;2017;08:45;22.0;2.14;18.17
Sun;1;1;2017;09:00;21.0;2.16;18.17
Sun;1;1;2017;09:15;22.0;2.56;18.13
Sun;1;1;2017;09:30;22.0;2.13;18.16
Sun;1;1;2017;09:45;22.0;2.13;18.2
Sun;1;1;2017;10:00;21.0;2.24;18.21
Sun;1;1;2017;10:15;22.0;2.53;18.19
Sun;1;1;2017;10:30;22.0;2.21;18.2
Sun;1;1;2017;10:45;22.0;2.12;18.25
Sun;1;1;2017;11:00;22.0;2.54;18.27
Sun;1;1;2017;11:15;22.0;2.42;18.25
Sun;1;1;2017;11:30;22.0;2.11;18.29
Sun;1;1;2017;11:45;22.0;2.59;18.31
Sun;1;1;2017;12:00;22.0;2.68;18.27
Sun;1;1;2017;12:15;22.0;2.43;18.27
Sun;1;1;2017;12:30;22.0;2.22;18.32
Sun;1;1;2017;12:45;22.0;2.56;18.31
Sun;1;1;2017;13:00;22.0;2.52;18.3
Sun;1;1;2017;13:15;23.0;2.52;18.3
Sun;1;1;2017;13:30;22.0;2.52;18.29
Sun;1;1;2017;13:45;22.0;2.53;18.3
Sun;1;1;2017;14:00;22.0;2.53;18.3
Sun;1;1;2017;14:15;22.0;2.54;18.29
