weekday;day;month;year;time;CONSUMO_TOTAL FNC;AVAC FNC;IT FNC
Sun;1;1;2017;00:00;7.62;3.04;3.84
Sun;1;1;2017;00:15;7.65;3.04;3.86
Sun;1;1;2017;00:30;8.58;4.03;3.85
Sun;1;1;2017;00:45;8.4;3.75;3.84
Sun;1;1;2017;01:00;8.78;4.23;3.85
Sun;1;1;2017;01:15;9.14;4.6;3.84
Sun;1;1;2017;01:30;8.22;3.7;3.84
Sun;1;1;2017;01:45;9.1;4.64;3.83
Sun;1;1;2017;02:00;7.8;3.27;3.83
Sun;1;1;2017;02:15;7.65;3.13;3.82
Sun;1;1;2017;02:30;8.79;4.38;3.82
Sun;1;1;2017;02:45;8.86;4.39;3.81
Sun;1;1;2017;03:00;8.32;3.9;3.8
Sun;1;1;2017;03:15;8.84;4.39;3.8
Sun;1;1;2017;03:30;7.62;3.15;3.8
Sun;1;1;2017;03:45;7.7;3.25;3.8
Sun;1;1;2017;04:00;9.14;4.71;3.8
Sun;1;1;2017;04:15;8.49;4.04;3.8
Sun;1;1;2017;04:30;8.72;4.31;3.8
Sun;1;1;2017;04:45;8.32;3.87;3.8
Sun;1;1;2017;05:00;7.6;3.15;3.79
Sun;1;1;2017;05:15;8.21;3.77;3.79
Sun;1;1;2017;05:30;9.11;4.69;3.8
Sun;1;1;2017;05:45;8.15;3.7;3.8
Sun;1;1;2017;06:00;8.72;4.18;3.8
Sun;1;1;2017;06:15;7.78;3.08;3.79
Sun;1;1;2017;06:30;7.51;3.08;3.79
Sun;1;1;2017;06:45;7.53;3.07;3.79
Sun;1;1;2017;07:00;7.52;3.07;3.8
Sun;1;1;2017;07:15;7.39;3.07;3.8
Sun;1;1;2017;07:30;7.39;3.07;3.8
Sun;1;1;2017;07:45;7.39;3.07;3.8
Sun;1;1;2017;08:00;7.4;3.08;3.8
Sun;1;1;2017;08:15;7.41;3.07;3.81
Sun;1;1;2017;08:30;7.76;3.47;3.8
Sun;1;1;2017;08:45;8.61;4.28;3.8
Sun;1;1;2017;09:00;8.07;3.78;3.8
Sun;1;1;2017;09:15;8.96;4.67;3.8
Sun;1;1;2017;09:30;8.29;3.96;3.81
Sun;1;1;2017;09:45;8.75;4.43;3.8
Sun;1;1;2017;10:00;7.86;3.51;3.8
Sun;1;1;2017;10:15;7.45;3.12;3.8
Sun;1;1;2017;10:30;8.6;4.3;3.81
Sun;1;1;2017;10:45;8.72;4.38;3.81
Sun;1;1;2017;11:00;8.27;3.89;3.81
Sun;1;1;2017;11:15;8.57;4.18;3.81
Sun;1;1;2017;11:30;7.48;3.11;3.81
Sun;1;1;2017;11:45;7.77;3.45;3.82
Sun;1;1;2017;12:00;8.99;4.68;3.82
Sun;1;1;2017;12:15;8.31;3.95;3.82
Sun;1;1;2017;12:30;8.62;4.26;3.83
Sun;1;1;2017;12:45;7.44;3.06;3.83
Sun;1;1;2017;13:00;7.45;3.06;3.81
Sun;1;1;2017;13:15;7.42;3.06;3.82
Sun;1;1;2017;13:30;7.43;3.05;3.81
Sun;1;1;2017;13:45;7.42;3.06;3.81
Sun;1;1;2017;14:00;7.44;3.06;3.82
Sun;1;1;2017;14:15;7.42;3.06;3.81
Sun;1;1;2017;14:30;7.7;3.32;3.81
Sun;1;1;2017;14:45;8.73;4.35;3.81
Sun;1;1;2017;15:00;8.17;3.81;3.81
Sun;1;1;2017;15:15;9.02;4.67;3.83
Sun;1;1;2017;15:30;8.31;3.9;3.83
Sun;1;1;2017;15:45;8.82;4.48;3.83
Sun;1;1;2017;16:00;7.99;3.58;3.82
Sun;1;1;2017;16:15;7.51;3.14;3.82
Sun;1;1;2017;16:30;8.74;4.41;3.81
Sun;1;1;2017;16:45;8.71;4.34;3.81
Sun;1;1;2017;17:00;8.37;4.01;3.83
Sun;1;1;2017;17:15;7.92;3.5;3.83
Sun;1;1;2017;17:30;7.46;3.06;3.83
Sun;1;1;2017;17:45;7.43;3.04;3.82
Sun;1;1;2017;18:00;7.49;3.02;3.83
Sun;1;1;2017;18:15;7.54;3.02;3.82
Sun;1;1;2017;18:30;7.52;3.01;3.82
Sun;1;1;2017;18:45;7.53;3.01;3.83
Sun;1;1;2017;19:00;7.61;3.0;3.82
Sun;1;1;2017;19:15;8.92;4.12;3.83
Sun;1;1;2017;19:30;8.42;3.87;3.82
Sun;1;1;2017;19:45;8.59;4.06;3.83
Sun;1;1;2017;20:00;9.12;4.62;3.82
Sun;1;1;2017;20:15;8.2;3.65;3.83
Sun;1;1;2017;20:30;9.11;4.58;3.82
Sun;1;1;2017;20:45;7.75;3.15;3.82
Sun;1;1;2017;21:00;7.7;3.16;3.82
Sun;1;1;2017;21:15;9.14;4.63;3.82
Sun;1;1;2017;21:30;8.6;4.05;3.82
Sun;1;1;2017;21:45;8.71;4.22;3.81
Sun;1;1;2017;22:00;8.49;3.94;3.81
Sun;1;1;2017;22:15;7.65;3.12;3.81
Sun;1;1;2017;22:30;8.23;3.74;3.82
Sun;1;1;2017;22:45;9.68;5.22;3.82
Sun;1;1;2017;23:00;10.51;6.06;3.82
Sun;1;1;2017;23:15;9.8;5.32;3.82
Sun;1;1;2017;23:30;8.3;3.82;3.81
Sun;1;1;2017;23:45;9.1;4.67;3.81
Mon;2;1;2017;00:00;9.11;4.67;3.81
Mon;2;1;2017;00:15;8.63;4.16;3.82
Mon;2;1;2017;00:30;8.4;3.97;3.82
Mon;2;1;2017;00:45;9.12;4.7;3.81
Mon;2;1;2017;01:00;8.24;3.79;3.8
Mon;2;1;2017;01:15;9.32;4.91;3.81
Mon;2;1;2017;01:30;9.05;4.63;3.81
Mon;2;1;2017;01:45;8.3;3.8;3.8
Mon;2;1;2017;02:00;8.48;4.07;3.8
Mon;2;1;2017;02:15;8.96;4.55;3.81
Mon;2;1;2017;02:30;8.98;4.52;3.81
Mon;2;1;2017;02:45;8.25;3.8;3.81
Mon;2;1;2017;03:00;8.82;4.42;3.8
Mon;2;1;2017;03:15;8.89;4.46;3.8
Mon;2;1;2017;03:30;8.12;3.73;3.79
Mon;2;1;2017;03:45;8.5;4.1;3.79
Mon;2;1;2017;04:00;8.92;4.52;3.8
Mon;2;1;2017;04:15;7.89;3.45;3.79
Mon;2;1;2017;04:30;8.48;4.05;3.79
Mon;2;1;2017;04:45;8.99;4.57;3.79
Mon;2;1;2017;05:00;8.06;3.7;3.8
Mon;2;1;2017;05:15;8.63;4.22;3.79
Mon;2;1;2017;05:30;8.66;4.25;3.79
Mon;2;1;2017;05:45;8.41;3.97;3.79
Mon;2;1;2017;06:00;8.23;3.84;3.8
Mon;2;1;2017;06:15;8.77;4.36;3.8
Mon;2;1;2017;06:30;8.2;3.79;3.8
Mon;2;1;2017;06:45;8.84;4.44;3.8
