weekday;day;month;year;time;CONSUMO_TOTAL MAT;AVAC MAT;IT MAT
Mon;1;1;2018;00:00;42.0;8.52;32.44
Mon;1;1;2018;00:15;42.0;8.53;33.45
Mon;1;1;2018;00:30;42.0;8.53;32.41
Mon;1;1;2018;00:45;43.0;8.55;32.4
Mon;1;1;2018;01:00;42.0;8.56;32.38
Mon;1;1;2018;01:15;42.0;8.58;32.39
Mon;1;1;2018;01:30;42.0;8.6;32.33
Mon;1;1;2018;01:45;43.0;8.59;32.39
Mon;1;1;2018;02:00;42.0;8.55;32.34
Mon;1;1;2018;02:15;42.0;8.58;32.4
Mon;1;1;2018;02:30;42.0;8.58;32.31
Mon;1;1;2018;02:45;42.0;8.61;32.32
Mon;1;1;2018;03:00;42.0;8.61;32.26
Mon;1;1;2018;03:15;43.0;8.62;33.31
Mon;1;1;2018;03:30;42.0;8.62;32.33
Mon;1;1;2018;03:45;42.0;8.6;32.19
Mon;1;1;2018;04:00;42.0;8.59;32.26
Mon;1;1;2018;04:15;42.0;8.6;32.21
Mon;1;1;2018;04:30;42.0;8.62;32.23
Mon;1;1;2018;04:45;43.0;8.59;32.25
Mon;1;1;2018;05:00;42.0;8.55;32.22
Mon;1;1;2018;05:15;41.0;8.54;32.18
Mon;1;1;2018;05:30;43.0;8.53;32.22
Mon;1;1;2018;05:45;42.0;8.55;32.23
Mon;1;1;2018;06:00;42.0;8.56;33.15
Mon;1;1;2018;06:15;42.0;8.57;32.18
Mon;1;1;2018;06:30;42.0;8.59;32.24
Mon;1;1;2018;06:45;42.0;8.56;32.15
Mon;1;1;2018;07:00;42.0;8.58;32.17
Mon;1;1;2018;07:15;42.0;8.61;32.16
Mon;1;1;2018;07:30;42.0;8.62;32.2
Mon;1;1;2018;07:45;42.0;8.59;32.15
Mon;1;1;2018;08:00;42.0;8.61;32.17
Mon;1;1;2018;08:15;42.0;8.63;32.17
Mon;1;1;2018;08:30;42.0;8.61;32.18
Mon;1;1;2018;08:45;42.0;8.6;33.14
Mon;1;1;2018;09:00;42.0;8.59;32.18
Mon;1;1;2018;09:15;42.0;8.55;32.21
Mon;1;1;2018;09:30;42.0;8.54;32.23
Mon;1;1;2018;09:45;42.0;8.54;32.26
Mon;1;1;2018;10:00;43.0;8.52;32.19
Mon;1;1;2018;10:15;43.0;8.54;32.32
Mon;1;1;2018;10:30;42.0;8.51;32.17
Mon;1;1;2018;10:45;43.0;8.51;32.28
Mon;1;1;2018;11:00;43.0;8.5;32.33
Mon;1;1;2018;11:15;43.0;8.48;32.28
Mon;1;1;2018;11:30;43.0;8.48;32.33
Mon;1;1;2018;11:45;43.0;8.47;33.34
Mon;1;1;2018;12:00;43.0;8.46;32.37
Mon;1;1;2018;12:15;43.0;8.48;32.4
Mon;1;1;2018;12:30;43.0;8.46;32.34
Mon;1;1;2018;12:45;42.0;8.44;32.41
Mon;1;1;2018;13:00;42.0;8.45;32.47
Mon;1;1;2018;13:15;42.0;8.49;32.39
Mon;1;1;2018;13:30;42.0;8.49;32.42
Mon;1;1;2018;13:45;43.0;8.51;32.48
Mon;1;1;2018;14:00;42.0;8.47;32.53
Mon;1;1;2018;14:15;42.0;8.76;32.58
Mon;1;1;2018;14:30;44.0;10.19;33.56
Mon;1;1;2018;14:45;44.0;10.26;32.59
Mon;1;1;2018;15:00;45.0;10.26;32.52
Mon;1;1;2018;15:15;45.0;10.28;32.66
Mon;1;1;2018;15:30;44.0;10.26;32.55
Mon;1;1;2018;15:45;45.0;10.27;32.6
Mon;1;1;2018;16:00;44.0;10.26;32.59
Mon;1;1;2018;16:15;44.0;10.25;32.59
Mon;1;1;2018;16:30;44.0;10.26;32.62
Mon;1;1;2018;16:45;44.0;10.25;32.59
Mon;1;1;2018;17:00;45.0;10.24;32.6
Mon;1;1;2018;17:15;45.0;10.2;33.61
Mon;1;1;2018;17:30;45.0;10.24;32.6
Mon;1;1;2018;17:45;44.0;10.24;32.64
Mon;1;1;2018;18:00;45.0;10.21;32.6
Mon;1;1;2018;18:15;45.0;10.22;32.62
Mon;1;1;2018;18:30;45.0;10.25;32.65
Mon;1;1;2018;18:45;45.0;10.25;32.67
Mon;1;1;2018;19:00;44.0;10.21;32.64
Mon;1;1;2018;19:15;45.0;10.22;32.62
Mon;1;1;2018;19:30;45.0;10.27;32.58
Mon;1;1;2018;19:45;45.0;10.29;32.6
Mon;1;1;2018;20:00;44.0;10.25;33.53
Mon;1;1;2018;20:15;44.0;10.24;32.58
Mon;1;1;2018;20:30;44.0;10.24;32.57
Mon;1;1;2018;20:45;44.0;10.27;32.56
Mon;1;1;2018;21:00;45.0;10.27;32.57
Mon;1;1;2018;21:15;45.0;10.3;32.63
Mon;1;1;2018;21:30;45.0;10.27;32.53
Mon;1;1;2018;21:45;45.0;10.3;32.59
Mon;1;1;2018;22:00;43.0;8.95;32.53
Mon;1;1;2018;22:15;43.0;8.54;32.56
Mon;1;1;2018;22:30;44.0;8.57;32.49
Mon;1;1;2018;22:45;43.0;8.59;32.57
Mon;1;1;2018;23:00;43.0;8.54;33.42
Mon;1;1;2018;23:15;43.0;8.57;32.53
Mon;1;1;2018;23:30;42.0;8.57;32.48
Mon;1;1;2018;23:45;43.0;8.59;32.44
Tue;2;1;2018;00:00;42.0;8.6;32.52
Tue;2;1;2018;00:15;42.0;8.57;32.37
Tue;2;1;2018;00:30;42.0;8.55;32.45
Tue;2;1;2018;00:45;43.0;8.51;32.38
Tue;2;1;2018;01:00;42.0;8.51;32.43
Tue;2;1;2018;01:15;42.0;8.46;32.38
Tue;2;1;2018;01:30;42.0;8.5;32.39
Tue;2;1;2018;01:45;42.0;8.52;32.34
Tue;2;1;2018;02:00;42.0;8.54;33.35
Tue;2;1;2018;02:15;42.0;8.54;32.29
Tue;2;1;2018;02:30;42.0;8.56;32.3
Tue;2;1;2018;02:45;43.0;8.56;32.29
Tue;2;1;2018;03:00;42.0;8.56;32.31
Tue;2;1;2018;03:15;42.0;8.56;32.26
Tue;2;1;2018;03:30;42.0;8.56;32.3
Tue;2;1;2018;03:45;42.0;8.54;32.18
Tue;2;1;2018;04:00;42.0;8.57;32.29
Tue;2;1;2018;04:15;42.0;8.55;32.2
Tue;2;1;2018;04:30;42.0;8.57;32.27
Tue;2;1;2018;04:45;42.0;8.56;32.25
Tue;2;1;2018;05:00;42.0;8.55;32.13
Tue;2;1;2018;05:15;42.0;8.55;32.23
Tue;2;1;2018;05:30;42.0;8.55;33.21
Tue;2;1;2018;05:45;42.0;8.54;32.21
Tue;2;1;2018;06:00;42.0;8.52;32.25
Tue;2;1;2018;06:15;42.0;8.5;32.26
Tue;2;1;2018;06:30;42.0;8.48;32.19
Tue;2;1;2018;06:45;42.0;8.48;32.25
Tue;2;1;2018;07:00;42.0;8.49;32.23
Tue;2;1;2018;07:15;42.0;8.52;32.27
Tue;2;1;2018;07:30;42.0;8.54;32.2
Tue;2;1;2018;07:45;42.0;8.53;32.21
Tue;2;1;2018;08:00;42.0;8.51;32.25
Tue;2;1;2018;08:15;42.0;8.46;32.27
Tue;2;1;2018;08:30;42.0;8.5;32.33
Tue;2;1;2018;08:45;43.0;8.47;33.28
Tue;2;1;2018;09:00;45.0;8.45;32.38
Tue;2;1;2018;09:15;45.0;8.43;32.3
Tue;2;1;2018;09:30;45.0;8.43;32.42
Tue;2;1;2018;09:45;44.0;8.39;32.42
Tue;2;1;2018;10:00;43.0;8.39;32.35
Tue;2;1;2018;10:15;45.0;8.41;32.46
Tue;2;1;2018;10:30;44.0;8.39;32.49
Tue;2;1;2018;10:45;45.0;8.4;32.41
Tue;2;1;2018;11:00;46.0;8.41;32.48
Tue;2;1;2018;11:15;46.0;8.61;32.51
Tue;2;1;2018;11:30;47.0;10.06;33.6
Tue;2;1;2018;11:45;48.0;10.14;32.63
Tue;2;1;2018;12:00;47.0;10.13;32.62
Tue;2;1;2018;12:15;46.0;10.11;32.65
Tue;2;1;2018;12:30;47.0;10.12;32.68
Tue;2;1;2018;12:45;46.0;10.11;32.64
Tue;2;1;2018;13:00;45.0;10.1;32.64
Tue;2;1;2018;13:15;45.0;10.11;32.64
Tue;2;1;2018;13:30;47.0;10.89;32.74
Tue;2;1;2018;13:45;49.0;13.18;32.67
Tue;2;1;2018;14:00;49.0;13.17;32.7
Tue;2;1;2018;14:15;49.0;13.05;33.67
Tue;2;1;2018;14:30;50.0;13.07;32.7
Tue;2;1;2018;14:45;48.0;12.71;32.69
Tue;2;1;2018;15:00;49.0;12.59;32.72
Tue;2;1;2018;15:15;50.0;13.03;32.79
Tue;2;1;2018;15:30;49.0;13.05;32.72
Tue;2;1;2018;15:45;62.5;16.09;41.62
Tue;2;1;2018;16:00;62.5;16.09;41.62
Tue;2;1;2018;16:15;27.0;7.07;17.12
Tue;2;1;2018;16:30;50.0;13.09;32.76
Tue;2;1;2018;16:45;48.0;11.66;32.77
Tue;2;1;2018;17:00;45.0;10.94;33.63
Tue;2;1;2018;17:15;44.0;10.14;32.77
Tue;2;1;2018;17:30;44.0;10.07;32.72
Tue;2;1;2018;17:45;45.0;10.89;32.76
Tue;2;1;2018;18:00;46.0;11.98;32.75
Tue;2;1;2018;18:15;46.0;11.66;32.72
Tue;2;1;2018;18:30;45.0;11.65;32.72
Tue;2;1;2018;18:45;45.0;10.26;32.69
Tue;2;1;2018;19:00;44.0;10.21;32.71
Tue;2;1;2018;19:15;44.0;10.56;32.78
Tue;2;1;2018;19:30;47.0;12.46;32.67
Tue;2;1;2018;19:45;45.0;11.67;32.75
Tue;2;1;2018;20:00;46.0;11.61;33.65
Tue;2;1;2018;20:15;45.0;11.53;32.7
Tue;2;1;2018;20:30;44.0;10.23;32.7
Tue;2;1;2018;20:45;45.0;10.26;32.7
Tue;2;1;2018;21:00;44.0;10.3;32.69
Tue;2;1;2018;21:15;46.0;11.72;32.69
Tue;2;1;2018;21:30;45.0;11.72;32.7
Tue;2;1;2018;21:45;45.0;10.45;32.65
Tue;2;1;2018;22:00;44.0;10.13;32.67
Tue;2;1;2018;22:15;44.0;10.16;32.68
Tue;2;1;2018;22:30;44.0;10.19;32.65
Tue;2;1;2018;22:45;44.0;10.23;32.66
Tue;2;1;2018;23:00;45.0;10.25;33.62
Tue;2;1;2018;23:15;45.0;10.25;32.54
Tue;2;1;2018;23:30;44.0;10.2;32.64
Tue;2;1;2018;23:45;44.0;10.18;32.5
Wed;3;1;2018;00:00;44.0;10.15;32.61
Wed;3;1;2018;00:15;44.0;10.18;32.52
Wed;3;1;2018;00:30;44.0;10.2;32.55
Wed;3;1;2018;00:45;44.0;10.24;32.49
Wed;3;1;2018;01:00;44.0;10.26;32.47
Wed;3;1;2018;01:15;44.0;10.27;32.47
Wed;3;1;2018;01:30;45.0;10.29;32.48
Wed;3;1;2018;01:45;44.0;10.28;32.43
Wed;3;1;2018;02:00;45.0;10.24;32.45
Wed;3;1;2018;02:15;45.0;10.74;33.45
Wed;3;1;2018;02:30;46.0;11.08;32.43
Wed;3;1;2018;02:45;44.0;10.24;32.4
Wed;3;1;2018;03:00;44.0;10.23;32.35
Wed;3;1;2018;03:15;44.0;10.26;32.42
Wed;3;1;2018;03:30;45.0;10.26;32.34
Wed;3;1;2018;03:45;44.0;10.26;32.34
Wed;3;1;2018;04:00;45.0;10.27;32.38
Wed;3;1;2018;04:15;44.0;10.26;32.28
Wed;3;1;2018;04:30;45.0;10.27;32.35
Wed;3;1;2018;04:45;44.0;10.25;32.35
Wed;3;1;2018;05:00;44.0;10.24;32.26
Wed;3;1;2018;05:15;44.0;10.25;32.33
Wed;3;1;2018;05:30;44.0;10.25;32.35
Wed;3;1;2018;05:45;43.0;10.21;33.24
Wed;3;1;2018;06:00;44.0;10.23;32.32
Wed;3;1;2018;06:15;43.0;10.21;32.3
Wed;3;1;2018;06:30;44.0;10.18;32.34
Wed;3;1;2018;06:45;44.0;10.15;32.35
Wed;3;1;2018;07:00;44.0;10.14;32.26
Wed;3;1;2018;07:15;44.0;10.17;32.34
Wed;3;1;2018;07:30;45.0;10.17;32.35
Wed;3;1;2018;07:45;44.0;10.2;32.38
Wed;3;1;2018;08:00;45.0;10.16;32.36
Wed;3;1;2018;08:15;44.0;10.1;32.4
Wed;3;1;2018;08:30;44.0;10.09;32.37
Wed;3;1;2018;08:45;44.0;10.13;32.45
Wed;3;1;2018;09:00;43.0;10.09;33.46
Wed;3;1;2018;09:15;44.0;10.1;32.53
Wed;3;1;2018;09:30;45.0;10.07;32.46
Wed;3;1;2018;09:45;44.0;10.14;32.47
Wed;3;1;2018;10:00;44.0;10.18;32.47
Wed;3;1;2018;10:15;49.0;12.72;32.53
Wed;3;1;2018;10:30;50.0;12.04;32.58
Wed;3;1;2018;10:45;48.0;11.06;32.56
Wed;3;1;2018;11:00;48.0;10.04;32.58
Wed;3;1;2018;11:15;48.0;11.38;32.68
Wed;3;1;2018;11:30;48.0;10.97;32.65
Wed;3;1;2018;11:45;50.0;12.58;32.74
Wed;3;1;2018;12:00;49.0;11.97;33.68
Wed;3;1;2018;12:15;51.0;14.46;32.74
Wed;3;1;2018;12:30;48.0;12.34;32.67
Wed;3;1;2018;12:45;48.0;12.34;32.64
Wed;3;1;2018;13:00;47.0;12.36;32.67
Wed;3;1;2018;13:15;49.0;12.3;32.66
Wed;3;1;2018;13:30;48.0;12.32;32.62
Wed;3;1;2018;13:45;49.0;12.57;33.7
Wed;3;1;2018;14:00;52.0;15.01;32.78
Wed;3;1;2018;14:15;47.0;12.28;32.59
Wed;3;1;2018;14:30;47.0;12.29;32.77
Wed;3;1;2018;14:45;47.0;12.28;32.75
Wed;3;1;2018;15:00;47.0;12.35;32.79
Wed;3;1;2018;15:15;48.0;14.0;32.74
Wed;3;1;2018;15:30;47.0;12.34;32.87
Wed;3;1;2018;15:45;47.0;12.31;32.71
Wed;3;1;2018;16:00;46.0;12.34;33.76
Wed;3;1;2018;16:15;47.0;12.34;32.77
Wed;3;1;2018;16:30;46.0;12.34;32.8
Wed;3;1;2018;16:45;46.0;12.31;32.76
Wed;3;1;2018;17:00;48.0;13.77;32.76
Wed;3;1;2018;17:15;47.0;12.4;32.76
Wed;3;1;2018;17:30;46.0;12.28;32.77
Wed;3;1;2018;17:45;46.0;12.25;32.78
Wed;3;1;2018;18:00;46.0;12.18;33.78
