weekday;day;month;year;time;CONSUMO_TOTAL PDG;AVAC PDG;IT PDG
Sun;1;1;2017;00:00;8.0;3.16;4.22
Sun;1;1;2017;00:15;6.0;2.11;4.21
Sun;1;1;2017;00:30;7.0;1.81;4.22
Sun;1;1;2017;00:45;8.0;3.16;4.22
Sun;1;1;2017;01:00;5.0;1.0;4.22
Sun;1;1;2017;01:15;8.0;3.15;4.22
Sun;1;1;2017;01:30;7.0;1.94;4.22
Sun;1;1;2017;01:45;6.0;1.58;4.22
Sun;1;1;2017;02:00;7.0;1.98;4.22
Sun;1;1;2017;02:15;7.0;3.0;4.22
Sun;1;1;2017;02:30;6.0;0.87;4.22
Sun;1;1;2017;02:45;8.0;3.35;4.22
Sun;1;1;2017;03:00;6.0;1.36;4.22
Sun;1;1;2017;03:15;7.0;2.6;4.22
Sun;1;1;2017;03:30;7.0;2.21;4.21
Sun;1;1;2017;03:45;7.0;2.39;4.22
Sun;1;1;2017;04:00;6.0;1.73;4.22
Sun;1;1;2017;04:15;8.0;2.94;4.21
Sun;1;1;2017;04:30;6.0;1.16;4.22
Sun;1;1;2017;04:45;8.0;3.35;4.22
Sun;1;1;2017;05:00;5.0;1.0;4.21
Sun;1;1;2017;05:15;8.0;3.32;4.22
Sun;1;1;2017;05:30;6.0;1.0;4.22
Sun;1;1;2017;05:45;8.0;3.3;4.22
Sun;1;1;2017;06:00;6.0;1.14;4.22
Sun;1;1;2017;06:15;8.0;3.25;4.21
Sun;1;1;2017;06:30;5.0;1.23;4.22
Sun;1;1;2017;06:45;8.0;2.63;4.21
Sun;1;1;2017;07:00;6.0;1.99;4.22
Sun;1;1;2017;07:15;7.0;2.16;4.22
Sun;1;1;2017;07:30;7.0;2.47;4.22
Sun;1;1;2017;07:45;7.0;1.73;4.21
Sun;1;1;2017;08:00;7.0;2.66;4.22
Sun;1;1;2017;08:15;6.0;1.49;4.21
Sun;1;1;2017;08:30;8.0;3.15;4.22
Sun;1;1;2017;08:45;6.0;1.12;4.22
Sun;1;1;2017;09:00;7.0;3.1;4.22
Sun;1;1;2017;09:15;6.0;1.51;4.22
Sun;1;1;2017;09:30;8.0;2.51;4.22
Sun;1;1;2017;09:45;6.0;2.21;4.22
Sun;1;1;2017;10:00;7.0;1.8;4.22
Sun;1;1;2017;10:15;7.0;2.93;4.22
Sun;1;1;2017;10:30;6.0;1.31;4.22
Sun;1;1;2017;10:45;8.0;3.31;4.22
Sun;1;1;2017;11:00;6.0;1.17;4.22
Sun;1;1;2017;11:15;8.0;3.2;4.22
Sun;1;1;2017;11:30;6.0;1.42;4.22
Sun;1;1;2017;11:45;7.0;2.67;4.22
Sun;1;1;2017;12:00;7.0;2.12;4.22
Sun;1;1;2017;12:15;7.0;2.29;4.22
Sun;1;1;2017;12:30;7.0;2.44;4.22
Sun;1;1;2017;12:45;7.0;2.09;4.22
Sun;1;1;2017;13:00;7.0;2.04;4.22
Sun;1;1;2017;13:15;7.0;3.16;4.22
Sun;1;1;2017;13:30;8.0;3.17;4.22
Sun;1;1;2017;13:45;7.0;2.21;4.21
Sun;1;1;2017;14:00;7.0;2.07;4.22
Sun;1;1;2017;14:15;8.0;3.16;4.22
Sun;1;1;2017;14:30;6.0;1.96;4.22
Sun;1;1;2017;14:45;7.0;2.1;4.22
Sun;1;1;2017;15:00;8.0;3.16;4.22
Sun;1;1;2017;15:15;6.0;1.15;4.22
Sun;1;1;2017;15:30;7.0;3.16;4.22
Sun;1;1;2017;15:45;8.0;2.57;4.22
Sun;1;1;2017;16:00;6.0;1.66;4.22
Sun;1;1;2017;16:15;8.0;3.17;4.22
Sun;1;1;2017;16:30;6.0;1.48;4.22
Sun;1;1;2017;16:45;7.0;2.7;4.22
Sun;1;1;2017;17:00;8.0;2.92;4.22
Sun;1;1;2017;17:15;6.0;1.36;4.22
Sun;1;1;2017;17:30;7.0;3.17;4.22
Sun;1;1;2017;17:45;7.0;1.62;4.22
Sun;1;1;2017;18:00;7.0;2.68;4.22
Sun;1;1;2017;18:15;7.0;2.46;4.22
Sun;1;1;2017;18:30;7.0;1.73;4.22
Sun;1;1;2017;18:45;7.0;3.15;4.22
Sun;1;1;2017;19:00;6.0;1.12;4.22
Sun;1;1;2017;19:15;8.0;2.97;4.22
Sun;1;1;2017;19:30;7.0;2.15;4.22
Sun;1;1;2017;19:45;6.0;1.8;4.22
Sun;1;1;2017;20:00;8.0;3.16;4.22
Sun;1;1;2017;20:15;5.0;1.08;4.22
Sun;1;1;2017;20:30;8.0;3.17;4.22
Sun;1;1;2017;20:45;7.0;1.74;4.22
Sun;1;1;2017;21:00;7.0;2.57;4.22
Sun;1;1;2017;21:15;7.0;2.45;4.21
Sun;1;1;2017;21:30;6.0;1.62;4.22
Sun;1;1;2017;21:45;8.0;3.17;4.22
Sun;1;1;2017;22:00;6.0;1.15;4.22
Sun;1;1;2017;22:15;7.0;2.91;4.22
Sun;1;1;2017;22:30;7.0;2.05;4.21
Sun;1;1;2017;22:45;7.0;2.07;4.22
Sun;1;1;2017;23:00;7.0;1.95;4.22
Sun;1;1;2017;23:15;7.0;2.67;4.22
Sun;1;1;2017;23:30;7.0;2.77;4.21
Sun;1;1;2017;23:45;6.0;1.33;4.22
Mon;2;1;2017;00:00;8.0;3.16;4.22
Mon;2;1;2017;00:15;7.0;1.82;4.21
Mon;2;1;2017;00:30;6.0;2.15;4.22
Mon;2;1;2017;00:45;7.0;2.48;4.21
Mon;2;1;2017;01:00;7.0;1.9;4.22
Mon;2;1;2017;01:15;8.0;3.17;4.22
Mon;2;1;2017;01:30;6.0;1.29;4.21
Mon;2;1;2017;01:45;6.0;1.52;4.21
Mon;2;1;2017;02:00;7.0;2.54;4.22
Mon;2;1;2017;02:15;6.0;1.34;4.22
Mon;2;1;2017;02:30;8.0;2.76;4.22
Mon;2;1;2017;02:45;6.0;1.85;4.22
Mon;2;1;2017;03:00;7.0;2.07;4.22
Mon;2;1;2017;03:15;7.0;2.62;4.22
Mon;2;1;2017;03:30;6.0;1.42;4.21
Mon;2;1;2017;03:45;8.0;2.83;4.22
Mon;2;1;2017;04:00;6.0;1.8;4.22
Mon;2;1;2017;04:15;7.0;2.04;4.21
Mon;2;1;2017;04:30;7.0;2.74;4.22
Mon;2;1;2017;04:45;6.0;1.18;4.22
Mon;2;1;2017;05:00;7.0;2.67;4.22
Mon;2;1;2017;05:15;7.0;2.04;4.22
Mon;2;1;2017;05:30;6.0;1.82;4.21
Mon;2;1;2017;05:45;8.0;2.81;4.22
Mon;2;1;2017;06:00;6.0;1.22;4.21
Mon;2;1;2017;06:15;8.0;3.19;4.22
Mon;2;1;2017;06:30;6.0;1.4;4.22
Mon;2;1;2017;06:45;7.0;2.48;4.22
Mon;2;1;2017;07:00;7.0;2.52;4.23
Mon;2;1;2017;07:15;7.0;1.47;4.23
Mon;2;1;2017;07:30;7.0;2.43;4.24
Mon;2;1;2017;07:45;7.0;2.29;4.23
Mon;2;1;2017;08:00;6.0;1.55;4.23
Mon;2;1;2017;08:15;8.0;2.92;4.23
Mon;2;1;2017;08:30;7.0;1.67;4.23
Mon;2;1;2017;08:45;7.0;2.3;4.23
Mon;2;1;2017;09:00;8.0;2.4;4.23
Mon;2;1;2017;09:15;7.0;1.36;4.22
Mon;2;1;2017;09:30;8.0;3.19;4.22
Mon;2;1;2017;09:45;6.0;1.39;4.23
Mon;2;1;2017;10:00;8.0;2.29;4.24
Mon;2;1;2017;10:15;7.0;2.36;4.24
Mon;2;1;2017;10:30;7.0;1.47;4.24
Mon;2;1;2017;10:45;8.0;2.89;4.24
Mon;2;1;2017;11:00;8.0;1.83;4.25
Mon;2;1;2017;11:15;7.0;2.04;4.24
Mon;2;1;2017;11:30;8.0;2.62;4.24
Mon;2;1;2017;11:45;7.0;1.41;4.24
Mon;2;1;2017;12:00;8.0;2.76;4.23
Mon;2;1;2017;12:15;7.0;1.88;4.24
Mon;2;1;2017;12:30;7.0;2.03;4.23
Mon;2;1;2017;12:45;8.0;2.7;4.23
Mon;2;1;2017;13:00;7.0;1.23;4.23
Mon;2;1;2017;13:15;8.0;3.17;4.24
Mon;2;1;2017;13:30;8.0;3.16;4.23
Mon;2;1;2017;13:45;7.0;2.17;4.22
Mon;2;1;2017;14:00;8.0;2.37;4.23
Mon;2;1;2017;14:15;8.0;3.15;4.23
Mon;2;1;2017;14:30;6.0;1.06;4.23
Mon;2;1;2017;14:45;8.0;2.85;4.24
Mon;2;1;2017;15:00;8.0;3.09;4.23
Mon;2;1;2017;15:15;7.0;1.17;4.24
Mon;2;1;2017;15:30;8.0;3.14;4.24
Mon;2;1;2017;15:45;6.0;1.48;4.24
Mon;2;1;2017;16:00;8.0;2.72;4.24
Mon;2;1;2017;16:15;8.0;2.68;4.24
Mon;2;1;2017;16:30;7.0;1.45;4.24
Mon;2;1;2017;16:45;8.0;3.15;4.23
Mon;2;1;2017;17:00;7.0;1.74;4.23
Mon;2;1;2017;17:15;7.0;2.35;4.23
Mon;2;1;2017;17:30;8.0;3.04;4.23
Mon;2;1;2017;17:45;7.0;1.14;4.23
Mon;2;1;2017;18:00;8.0;3.16;4.23
Mon;2;1;2017;18:15;7.0;1.63;4.22
Mon;2;1;2017;18:30;7.0;2.43;4.23
Mon;2;1;2017;18:45;8.0;2.82;4.22
Mon;2;1;2017;19:00;7.0;1.47;4.22
Mon;2;1;2017;19:15;8.0;3.14;4.22
Mon;2;1;2017;19:30;7.0;1.11;4.22
Mon;2;1;2017;19:45;8.0;2.61;4.22
Mon;2;1;2017;20:00;7.0;2.61;4.22
Mon;2;1;2017;20:15;7.0;1.19;4.22
Mon;2;1;2017;20:30;8.0;3.15;4.22
Mon;2;1;2017;20:45;7.0;1.44;4.22
Mon;2;1;2017;21:00;8.0;2.63;4.22
Mon;2;1;2017;21:15;7.0;2.12;4.22
Mon;2;1;2017;21:30;8.0;2.06;4.22
Mon;2;1;2017;21:45;8.0;2.68;4.22
Mon;2;1;2017;22:00;7.0;1.42;4.22
Mon;2;1;2017;22:15;8.0;3.16;4.22
Mon;2;1;2017;22:30;6.0;0.85;4.22
Mon;2;1;2017;22:45;9.0;3.04;4.22
Mon;2;1;2017;23:00;7.0;2.07;4.22
Mon;2;1;2017;23:15;7.0;1.99;4.22
Mon;2;1;2017;23:30;8.0;2.8;4.22
Mon;2;1;2017;23:45;6.0;1.24;4.22
Tue;3;1;2017;00:00;9.0;3.16;4.22
Tue;3;1;2017;00:15;6.0;1.04;4.22
Tue;3;1;2017;00:30;8.0;3.16;4.22
Tue;3;1;2017;00:45;7.0;1.39;4.22
Tue;3;1;2017;01:00;8.0;2.77;4.22
Tue;3;1;2017;01:15;6.0;1.5;4.22
Tue;3;1;2017;01:30;8.0;2.24;4.22
Tue;3;1;2017;01:45;6.0;1.2;4.22
Tue;3;1;2017;02:00;7.0;1.69;4.22
Tue;3;1;2017;02:15;7.0;1.86;4.22
Tue;3;1;2017;02:30;8.0;2.53;4.22
Tue;3;1;2017;02:45;6.0;1.1;4.22
Tue;3;1;2017;03:00;8.0;3.26;4.22
Tue;3;1;2017;03:15;6.0;0.95;4.22
Tue;3;1;2017;03:30;8.0;2.63;4.22
Tue;3;1;2017;03:45;7.0;1.86;4.22
Tue;3;1;2017;04:00;7.0;1.69;4.22
Tue;3;1;2017;04:15;8.0;2.81;4.22
Tue;3;1;2017;04:30;6.0;1.5;4.22
Tue;3;1;2017;04:45;8.0;2.2;4.22
Tue;3;1;2017;05:00;7.0;2.47;4.22
Tue;3;1;2017;05:15;7.0;1.32;4.22
Tue;3;1;2017;05:30;7.0;2.69;4.22
Tue;3;1;2017;05:45;8.0;2.5;4.22
Tue;3;1;2017;06:00;6.0;1.35;4.22
Tue;3;1;2017;06:15;8.0;2.24;4.22
Tue;3;1;2017;06:30;7.0;2.42;4.22
Tue;3;1;2017;06:45;7.0;1.35;4.22
Tue;3;1;2017;07:00;8.0;3.0;4.22
Tue;3;1;2017;07:15;6.0;1.62;4.22
Tue;3;1;2017;07:30;8.0;2.36;4.22
Tue;3;1;2017;07:45;7.0;2.18;4.22
Tue;3;1;2017;08:00;7.0;1.5;4.22
Tue;3;1;2017;08:15;8.0;3.03;4.22
Tue;3;1;2017;08:30;6.0;1.63;4.22
Tue;3;1;2017;08:45;8.0;2.17;4.22
Tue;3;1;2017;09:00;7.0;2.47;4.22
Tue;3;1;2017;09:15;6.0;1.45;4.22
Tue;3;1;2017;09:30;8.0;2.87;4.22
Tue;3;1;2017;09:45;7.0;1.95;4.23
Tue;3;1;2017;10:00;7.0;1.67;4.23
