weekday;day;month;year;time;CONSUMO_TOTAL PTM;AVAC PTM;IT PTM
Mon;1;1;2018;00:00;6.0;1.91;4.15
Mon;1;1;2018;00:15;6.0;1.51;4.14
Mon;1;1;2018;00:30;7.0;1.55;4.15
Mon;1;1;2018;00:45;6.0;1.31;4.14
Mon;1;1;2018;01:00;6.0;1.91;4.14
Mon;1;1;2018;01:15;6.0;1.2;4.15
Mon;1;1;2018;01:30;6.0;1.6;4.15
Mon;1;1;2018;01:45;7.0;1.48;4.14
Mon;1;1;2018;02:00;6.0;1.28;4.14
Mon;1;1;2018;02:15;6.0;1.36;4.15
Mon;1;1;2018;02:30;6.0;1.7;4.15
Mon;1;1;2018;02:45;6.0;1.41;4.14
Mon;1;1;2018;03:00;6.0;1.36;4.14
Mon;1;1;2018;03:15;6.0;1.18;4.14
Mon;1;1;2018;03:30;6.0;1.32;4.14
Mon;1;1;2018;03:45;6.0;1.36;4.14
Mon;1;1;2018;04:00;6.0;1.5;4.14
Mon;1;1;2018;04:15;6.0;1.3;4.15
Mon;1;1;2018;04:30;6.0;1.11;4.16
Mon;1;1;2018;04:45;6.0;1.38;4.13
Mon;1;1;2018;05:00;6.0;1.24;4.13
Mon;1;1;2018;05:15;6.0;1.39;4.15
Mon;1;1;2018;05:30;5.0;0.97;4.14
Mon;1;1;2018;05:45;6.0;1.17;4.16
Mon;1;1;2018;06:00;6.0;1.08;4.13
Mon;1;1;2018;06:15;6.0;1.29;4.15
Mon;1;1;2018;06:30;5.0;1.3;4.15
Mon;1;1;2018;06:45;6.0;0.73;4.14
Mon;1;1;2018;07:00;6.0;1.49;4.14
Mon;1;1;2018;07:15;5.0;0.73;4.15
Mon;1;1;2018;07:30;6.0;1.28;4.16
Mon;1;1;2018;07:45;5.0;0.84;4.14
Mon;1;1;2018;08:00;6.0;1.22;4.14
Mon;1;1;2018;08:15;5.0;0.73;4.14
Mon;1;1;2018;08:30;6.0;1.14;4.15
Mon;1;1;2018;08:45;5.0;1.17;4.15
Mon;1;1;2018;09:00;6.0;0.73;4.15
Mon;1;1;2018;09:15;5.0;1.17;4.16
Mon;1;1;2018;09:30;6.0;0.87;4.14
Mon;1;1;2018;09:45;5.0;0.72;4.16
Mon;1;1;2018;10:00;6.0;1.22;4.16
Mon;1;1;2018;10:15;5.0;0.72;4.14
Mon;1;1;2018;10:30;1.0;0.1;0.56
Mon;1;1;2018;10:45;0.0;0.0;0.02
Mon;1;1;2018;11:00;0.0;0.0;0.02
Mon;1;1;2018;11:15;0.0;0.0;0.01
Mon;1;1;2018;11:30;0.0;0.0;0.02
Mon;1;1;2018;11:45;0.0;0.0;0.03
