weekday;day;month;year;time;CONSUMO_TOTAL RAN;AVAC RAN;IT RAN
Fri;1;1;2016;00:00;47.0;16.09;28.39
Fri;1;1;2016;00:15;47.0;15.07;28.35
Fri;1;1;2016;00:30;48.0;16.89;28.35
Fri;1;1;2016;00:45;49.0;16.49;28.38
Fri;1;1;2016;01:00;48.0;17.23;28.36
Fri;1;1;2016;01:15;48.0;17.37;28.25
Fri;1;1;2016;01:30;48.0;15.42;28.25
Fri;1;1;2016;01:45;48.0;17.59;28.3
Fri;1;1;2016;02:00;49.0;16.98;28.3
Fri;1;1;2016;02:15;47.0;15.65;28.27
Fri;1;1;2016;02:30;46.0;15.63;28.28
Fri;1;1;2016;02:45;49.0;17.01;28.24
Fri;1;1;2016;03:00;48.0;16.26;28.26
Fri;1;1;2016;03:15;48.0;18.43;28.24
Fri;1;1;2016;03:30;48.0;14.88;28.25
Fri;1;1;2016;03:45;48.0;16.91;28.22
Fri;1;1;2016;04:00;48.0;18.23;28.21
Fri;1;1;2016;04:15;48.0;15.57;28.19
Fri;1;1;2016;04:30;49.0;17.47;28.17
Fri;1;1;2016;04:45;46.0;16.02;28.17
Fri;1;1;2016;05:00;48.0;15.5;28.12
Fri;1;1;2016;05:15;49.0;18.9;28.17
Fri;1;1;2016;05:30;49.0;17.41;28.22
Fri;1;1;2016;05:45;48.0;17.44;28.17
Fri;1;1;2016;06:00;48.0;16.01;28.15
Fri;1;1;2016;06:15;49.0;16.67;28.11
Fri;1;1;2016;06:30;48.0;18.3;28.1
Fri;1;1;2016;06:45;50.0;17.07;28.15
Fri;1;1;2016;07:00;47.0;16.2;28.07
Fri;1;1;2016;07:15;48.0;17.5;28.12
Fri;1;1;2016;07:30;50.0;18.38;28.15
Fri;1;1;2016;07:45;48.0;16.25;28.06
Fri;1;1;2016;08:00;47.0;16.97;28.11
Fri;1;1;2016;08:15;47.0;15.43;28.11
Fri;1;1;2016;08:30;49.0;17.48;28.1
Fri;1;1;2016;08:45;49.0;16.39;28.12
Fri;1;1;2016;09:00;49.0;17.88;28.14
Fri;1;1;2016;09:15;48.0;17.18;28.12
Fri;1;1;2016;09:30;49.0;17.22;28.14
Fri;1;1;2016;09:45;49.0;18.05;28.21
Fri;1;1;2016;10:00;49.0;17.11;28.21
Fri;1;1;2016;10:15;49.0;17.31;28.17
