weekday;day;month;year;time;CONSUMO_TOTAL SNT;AVAC SNT;IT SNT
Mon;1;1;2018;00:00;31.15;2.55;25.46
Mon;1;1;2018;00:15;30.21;1.97;25.54
Mon;1;1;2018;00:30;30.43;2.33;25.48
Mon;1;1;2018;00:45;31.22;2.45;25.52
Mon;1;1;2018;01:00;30.009999999999998;1.88;25.48
Mon;1;1;2018;01:15;30.61;2.37;25.53
Mon;1;1;2018;01:30;30.82;2.22;25.52
Mon;1;1;2018;01:45;29.799999999999997;1.72;25.44
Mon;1;1;2018;02:00;30.740000000000002;2.31;25.55
Mon;1;1;2018;02:15;30.36;1.93;25.46
Mon;1;1;2018;02:30;29.9;1.81;25.49
Mon;1;1;2018;02:45;30.88;2.37;25.47
Mon;1;1;2018;03:00;30.130000000000003;1.84;25.48
Mon;1;1;2018;03:15;29.98;1.89;25.47
Mon;1;1;2018;03:30;30.97;2.27;25.47
Mon;1;1;2018;03:45;29.63;1.59;25.43
Mon;1;1;2018;04:00;30.43;2.17;25.49
Mon;1;1;2018;04:15;30.39;1.94;25.39
Mon;1;1;2018;04:30;29.82;1.77;25.49
Mon;1;1;2018;04:45;30.66;2.26;25.4
Mon;1;1;2018;05:00;29.86;1.57;25.48
Mon;1;1;2018;05:15;30.060000000000002;2.09;25.37
Mon;1;1;2018;05:30;30.39;1.86;25.43
Mon;1;1;2018;05:45;29.86;1.74;25.39
Mon;1;1;2018;06:00;30.22;2.16;25.46
Mon;1;1;2018;06:15;30.15;1.57;25.4
Mon;1;1;2018;06:30;30.17;2.18;25.41
Mon;1;1;2018;06:45;29.98;1.79;25.37
Mon;1;1;2018;07:00;30.270000000000003;1.79;25.46
Mon;1;1;2018;07:15;30.07;2.16;25.34
Mon;1;1;2018;07:30;29.88;1.58;25.4
Mon;1;1;2018;07:45;30.35;2.16;25.42
Mon;1;1;2018;08:00;29.71;1.79;25.36
Mon;1;1;2018;08:15;30.25;1.79;25.44
Mon;1;1;2018;08:30;30.6;2.21;25.32
Mon;1;1;2018;08:45;29.59;1.59;25.47
Mon;1;1;2018;09:00;30.61;2.1;25.36
Mon;1;1;2018;09:15;29.759999999999998;1.85;25.44
Mon;1;1;2018;09:30;29.86;1.72;25.42
Mon;1;1;2018;09:45;30.67;2.29;25.46
Mon;1;1;2018;10:00;29.61;1.63;25.48
Mon;1;1;2018;10:15;30.299999999999997;2.07;25.4
Mon;1;1;2018;10:30;30.659999999999997;2.31;25.49
Mon;1;1;2018;10:45;29.93;1.98;25.44
Mon;1;1;2018;11:00;30.53;2.09;25.47
Mon;1;1;2018;11:15;30.96;2.75;25.47
Mon;1;1;2018;11:30;30.21;2.21;25.48
Mon;1;1;2018;11:45;30.73;2.13;25.5
Mon;1;1;2018;12:00;30.770000000000003;2.69;25.51
Mon;1;1;2018;12:15;30.86;2.77;25.45
Mon;1;1;2018;12:30;30.85;2.22;25.54
Mon;1;1;2018;12:45;30.72;2.68;25.46
Mon;1;1;2018;13:00;31.119999999999997;2.89;25.53
Mon;1;1;2018;13:15;31.42;2.92;25.46
Mon;1;1;2018;13:30;30.96;2.92;25.54
Mon;1;1;2018;13:45;31.299999999999997;2.93;25.54
Mon;1;1;2018;14:00;31.69;3.26;25.53
Mon;1;1;2018;14:15;31.520000000000003;3.42;25.57
Mon;1;1;2018;14:30;31.93;3.43;25.54
Mon;1;1;2018;14:45;31.81;3.44;25.59
Mon;1;1;2018;15:00;35.78;7.68;25.56
Mon;1;1;2018;15:15;32.34;3.71;25.61
Mon;1;1;2018;15:30;35.77;7.36;25.61
Mon;1;1;2018;15:45;33.75;5.58;25.63
Mon;1;1;2018;16:00;34.44;5.72;25.58
Mon;1;1;2018;16:15;35.18;6.94;25.63
Mon;1;1;2018;16:30;33.03;4.82;25.59
Mon;1;1;2018;16:45;34.02;5.27;25.63
Mon;1;1;2018;17:00;35.97;7.84;25.57
Mon;1;1;2018;17:15;31.97;3.69;25.64
Mon;1;1;2018;17:30;35.35;6.65;25.6
Mon;1;1;2018;17:45;31.96;3.7;25.63
Mon;1;1;2018;18:00;34.58;6.13;25.61
Mon;1;1;2018;18:15;32.599999999999994;3.92;25.6
Mon;1;1;2018;18:30;31.75;3.51;25.62
Mon;1;1;2018;18:45;33.1;4.62;25.62
Mon;1;1;2018;19:00;32.260000000000005;3.69;25.62
Mon;1;1;2018;19:15;34.23;5.97;25.6
Mon;1;1;2018;19:30;31.89;3.42;25.62
Mon;1;1;2018;19:45;32.75;4.16;25.6
Mon;1;1;2018;20:00;31.630000000000003;3.41;25.62
Mon;1;1;2018;20:15;32.66;4.12;25.61
Mon;1;1;2018;20:30;31.939999999999998;3.4;25.61
Mon;1;1;2018;20:45;31.630000000000003;3.41;25.61
Mon;1;1;2018;21:00;34.81;6.16;25.69
Mon;1;1;2018;21:15;31.869999999999997;3.42;25.57
Mon;1;1;2018;21:30;31.41;3.21;25.64
Mon;1;1;2018;21:45;31.580000000000002;2.91;25.62
Mon;1;1;2018;22:00;31.34;2.92;25.63
Mon;1;1;2018;22:15;31.14;2.93;25.6
Mon;1;1;2018;22:30;32.160000000000004;3.34;25.62
Mon;1;1;2018;22:45;31.270000000000003;2.94;25.58
Mon;1;1;2018;23:00;31.119999999999997;2.93;25.59
Mon;1;1;2018;23:15;31.75;2.94;25.6
Mon;1;1;2018;23:30;31.13;2.85;25.63
Mon;1;1;2018;23:45;30.52;2.25;25.57
Tue;2;1;2018;00:00;31.65;2.93;25.57
Tue;2;1;2018;00:15;31.050000000000004;2.96;25.51
Tue;2;1;2018;00:30;30.7;2.34;25.57
Tue;2;1;2018;00:45;31.119999999999997;2.54;25.53
Tue;2;1;2018;01:00;30.97;2.86;25.55
Tue;2;1;2018;01:15;30.520000000000003;2.11;25.46
Tue;2;1;2018;01:30;30.54;2.15;25.53
Tue;2;1;2018;01:45;30.770000000000003;2.74;25.44
Tue;2;1;2018;02:00;30.67;2.16;25.52
Tue;2;1;2018;02:15;30.3;2.04;25.43
Tue;2;1;2018;02:30;30.64;2.62;25.47
Tue;2;1;2018;02:45;31.0;2.35;25.44
Tue;2;1;2018;03:00;30.12;2.04;25.47
Tue;2;1;2018;03:15;30.35;2.22;25.39
Tue;2;1;2018;03:30;31.14;2.62;25.44
Tue;2;1;2018;03:45;30.05;2.05;25.38
Tue;2;1;2018;04:00;30.28;2.05;25.42
Tue;2;1;2018;04:15;30.9;2.52;25.42
Tue;2;1;2018;04:30;30.240000000000002;2.29;25.36
Tue;2;1;2018;04:45;30.39;2.04;25.38
Tue;2;1;2018;05:00;30.299999999999997;2.05;25.41
Tue;2;1;2018;05:15;30.61;2.67;25.35
Tue;2;1;2018;05:30;30.560000000000002;2.07;25.35
Tue;2;1;2018;05:45;30.15;2.05;25.43
