weekday;day;month;year;time;EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh);EA+ AVAC PDG (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC RAN (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC AVR (KWh)
Fri;1;1;2016;00:00;12.0;12.4;9.11;39.47;1.95;29.71;3.47;7.13;4.33;3.24;7.61;3.03;16.09;0.9;8.56;3.76
Fri;1;1;2016;00:15;9.1;13.45;8.79;41.51;1.96;29.34;3.49;7.09;4.16;3.22;10.0;3.06;15.07;1.76;8.17;2.61
Fri;1;1;2016;00:30;11.5;12.78;10.88;37.45;2.23;29.82;3.49;7.1;4.35;3.43;14.55;3.04;16.89;0.95;8.15;2.58
Fri;1;1;2016;00:45;9.9;12.51;10.86;39.86;2.33;29.91;2.98;7.13;4.97;3.97;14.6;3.07;16.49;1.38;8.17;2.62
Fri;1;1;2016;01:00;9.2;12.91;9.01;39.69;2.21;30.36;2.93;7.13;3.85;4.28;14.63;3.05;17.23;1.57;8.16;2.63
Fri;1;1;2016;01:15;11.7;12.23;11.46;37.33;2.12;30.04;2.94;7.14;4.53;3.22;14.67;3.07;17.37;0.92;8.21;7.38
Fri;1;1;2016;01:30;7.4;10.59;9.03;40.98;1.73;29.44;2.92;7.14;4.67;3.26;14.66;3.04;15.42;1.47;8.2;3.07
Fri;1;1;2016;01:45;12.7;12.86;9.92;37.92;2.73;30.66;2.93;7.1;4.03;3.26;14.63;3.05;17.59;1.54;8.18;2.64
Fri;1;1;2016;02:00;6.8;14.49;11.52;38.6;0.76;28.76;2.92;7.1;4.77;3.25;14.55;3.05;16.98;0.84;8.17;2.64
Fri;1;1;2016;02:15;12.7;12.92;9.64;39.75;3.13;29.37;2.93;7.1;3.91;3.49;14.6;3.05;15.65;1.57;8.19;2.64
