weekday;day;month;year;time;EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ Geral ALF2A7+A8 (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Fri;1;1;2016;00:00;39.76;22.22;1.59;25.7;12.0;132.52;17.0;63.04;30.0;24.0;6.0;13.0;14.39;44.0;44.0;8.67;26.3;39.0;4.0;16.35;21.0
Fri;1;1;2016;00:15;40.87;21.91;1.57;25.6;10.0;133.61;17.0;65.44;30.0;24.0;5.0;13.0;14.41;43.0;44.0;8.58;25.37;39.0;5.0;16.35;21.0
Fri;1;1;2016;00:30;40.48;24.14;1.59;25.4;12.0;130.95;18.0;70.03;30.0;24.0;6.0;12.5;14.4;44.0;45.0;8.69;24.86;38.0;5.0;16.35;21.0
Fri;1;1;2016;00:45;39.67;24.0;1.57;25.6;10.0;131.69;18.0;69.99;31.0;24.0;6.0;13.5;13.87;43.0;44.0;9.32;25.4;39.0;4.0;16.36;21.0
Fri;1;1;2016;01:00;40.42;22.08;1.59;25.5;10.0;132.23;18.0;70.01;30.0;24.0;6.0;13.5;13.83;45.0;44.0;8.18;24.94;39.0;5.0;16.32;22.0
Fri;1;1;2016;01:15;39.49;24.65;1.58;25.5;12.0;130.08;19.0;69.99;29.0;24.0;6.0;12.5;13.83;44.0;45.0;8.86;30.14;39.0;5.0;16.36;21.0
Fri;1;1;2016;01:30;38.1;22.22;1.6;25.5;8.0;134.03;19.0;69.99;29.0;24.0;6.0;13.0;13.83;43.0;43.0;8.98;25.5;38.0;5.0;16.33;21.0
Fri;1;1;2016;01:45;40.0;23.09;1.57;25.7;14.0;129.91;18.0;69.97;30.0;24.0;6.0;12.5;13.8;44.0;45.0;8.37;25.51;39.0;5.0;16.41;21.0
Fri;1;1;2016;02:00;42.06;24.68;1.59;25.5;7.0;131.25;19.0;69.86;30.0;25.0;5.0;12.5;13.79;43.0;44.0;9.05;24.74;40.0;4.0;16.29;21.0
Fri;1;1;2016;02:15;40.06;22.78;1.57;25.7;13.0;132.58;17.0;69.89;30.0;24.0;7.0;13.0;13.82;43.0;44.0;8.21;25.58;39.0;5.0;16.33;21.0
Fri;1;1;2016;02:30;40.65;22.16;1.59;25.3;9.0;130.49;18.0;69.89;28.0;24.0;5.0;14.0;13.81;44.0;45.0;9.1;27.15;39.0;5.0;16.31;22.0
Fri;1;1;2016;02:45;40.05;21.99;1.57;25.7;11.0;131.61;19.0;69.87;30.0;24.0;7.0;13.0;13.81;43.0;46.0;8.21;25.61;38.0;4.0;16.37;21.0
Fri;1;1;2016;03:00;41.83;21.65;1.59;25.6;11.0;130.4;18.0;69.89;30.0;24.0;5.0;13.0;13.82;43.0;46.0;8.96;24.81;39.0;5.0;16.3;21.0
Fri;1;1;2016;03:15;39.99;23.8;1.57;25.4;11.0;133.02;19.0;69.79;29.0;24.0;6.0;12.0;13.78;43.0;47.0;8.48;25.32;38.0;5.0;16.35;21.0
Fri;1;1;2016;03:30;40.15;22.93;1.59;25.6;11.0;132.04;18.0;69.82;30.0;24.0;6.0;13.0;13.82;44.0;44.0;8.83;26.06;39.0;5.0;16.31;21.0
Fri;1;1;2016;03:45;39.85;22.55;1.57;25.4;9.0;130.12;19.0;69.79;29.0;24.0;6.0;13.0;13.82;43.0;46.0;8.84;27.57;39.0;4.0;16.32;21.0
Fri;1;1;2016;04:00;41.3;24.61;1.59;25.6;13.0;133.33;19.0;69.85;29.0;24.0;6.0;13.0;13.82;44.0;45.0;8.78;24.88;39.0;5.0;16.34;22.0
Fri;1;1;2016;04:15;39.82;23.03;1.57;25.4;7.0;131.12;18.0;70.36;30.0;24.0;6.0;14.0;13.77;43.0;43.0;8.85;25.21;38.0;5.0;16.3;21.0
Fri;1;1;2016;04:30;40.65;22.1;1.6;25.6;13.0;130.67;19.0;71.78;30.0;24.0;5.0;12.0;13.74;44.0;45.0;8.46;28.59;39.0;5.0;16.29;21.0
