weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;00:15;82,0;I;vazio;0,045;0,0225;3,69;1,85;5,54
Fri;1.0;1.0;2016.0;00:30;82,0;I;vazio;0,045;0,0225;3,69;1,85;5,54
Fri;1.0;1.0;2016.0;00:45;82,0;I;vazio;0,045;0,0225;3,69;1,85;5,54
Fri;1.0;1.0;2016.0;01:00;84,0;I;vazio;0,045;0,0225;3,78;1,89;5,67
Fri;1.0;1.0;2016.0;01:15;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;01:30;81,0;I;vazio;0,045;0,0225;3,65;1,82;5,47
Fri;1.0;1.0;2016.0;01:45;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;02:00;83,0;I;super-vazio;0,0444;0,0217;3,69;1,8;5,49
Fri;1.0;1.0;2016.0;02:15;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;02:30;83,0;I;super-vazio;0,0444;0,0217;3,69;1,8;5,49
Fri;1.0;1.0;2016.0;02:45;81,0;I;super-vazio;0,0444;0,0217;3,6;1,76;5,35
Fri;1.0;1.0;2016.0;03:00;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;03:15;81,0;I;super-vazio;0,0444;0,0217;3,6;1,76;5,35
Fri;1.0;1.0;2016.0;03:30;83,0;I;super-vazio;0,0444;0,0217;3,69;1,8;5,49
Fri;1.0;1.0;2016.0;03:45;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;04:00;83,0;I;super-vazio;0,0444;0,0217;3,69;1,8;5,49
Fri;1.0;1.0;2016.0;04:15;81,0;I;super-vazio;0,0444;0,0217;3,6;1,76;5,35
Fri;1.0;1.0;2016.0;04:30;83,0;I;super-vazio;0,0444;0,0217;3,69;1,8;5,49
Fri;1.0;1.0;2016.0;04:45;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;05:00;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;05:15;82,0;I;super-vazio;0,0444;0,0217;3,64;1,78;5,42
Fri;1.0;1.0;2016.0;05:30;81,0;I;super-vazio;0,0444;0,0217;3,6;1,76;5,35
Fri;1.0;1.0;2016.0;05:45;84,0;I;super-vazio;0,0444;0,0217;3,73;1,82;5,55
Fri;1.0;1.0;2016.0;06:00;81,0;I;vazio;0,045;0,0225;3,65;1,82;5,47
Fri;1.0;1.0;2016.0;06:15;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;06:30;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;06:45;83,0;I;vazio;0,045;0,0225;3,74;1,87;5,6
Fri;1.0;1.0;2016.0;07:00;82,34;I;cheia;0,0605;0,0409;4,98;3,37;8,35
Fri;1.0;1.0;2016.0;07:15;82,34;I;cheia;0,0605;0,0409;4,98;3,37;8,35
