weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;22,63;I;vazio;0,0479;0,0298;1,08;0,67;1,76
Fri;1.0;1.0;2016.0;00:15;21,65;I;vazio;0,0479;0,0298;1,04;0,65;1,68
Fri;1.0;1.0;2016.0;00:30;21,41;I;vazio;0,0479;0,0298;1,03;0,64;1,66
Fri;1.0;1.0;2016.0;00:45;22,88;I;vazio;0,0479;0,0298;1,1;0,68;1,78
Fri;1.0;1.0;2016.0;01:00;21,3;I;vazio;0,0479;0,0298;1,02;0,63;1,66
Fri;1.0;1.0;2016.0;01:15;22,27;I;vazio;0,0479;0,0298;1,07;0,66;1,73
Fri;1.0;1.0;2016.0;01:30;20,99;I;vazio;0,0479;0,0298;1,01;0,63;1,63
Fri;1.0;1.0;2016.0;01:45;22,06;I;vazio;0,0479;0,0298;1,06;0,66;1,71
Fri;1.0;1.0;2016.0;02:00;21,82;I;super-vazio;0,0464;0,0273;1,01;0,6;1,61
Fri;1.0;1.0;2016.0;02:15;22,42;I;super-vazio;0,0464;0,0273;1,04;0,61;1,65
Fri;1.0;1.0;2016.0;02:30;22,09;I;super-vazio;0,0464;0,0273;1,02;0,6;1,63
Fri;1.0;1.0;2016.0;02:45;22,48;I;super-vazio;0,0464;0,0273;1,04;0,61;1,66
Fri;1.0;1.0;2016.0;03:00;22,1;I;super-vazio;0,0464;0,0273;1,03;0,6;1,63
Fri;1.0;1.0;2016.0;03:15;21,11;I;super-vazio;0,0464;0,0273;0,98;0,58;1,56
Fri;1.0;1.0;2016.0;03:30;21,85;I;super-vazio;0,0464;0,0273;1,01;0,6;1,61
Fri;1.0;1.0;2016.0;03:45;22,03;I;super-vazio;0,0464;0,0273;1,02;0,6;1,62
Fri;1.0;1.0;2016.0;04:00;21,83;I;super-vazio;0,0464;0,0273;1,01;0,6;1,61
Fri;1.0;1.0;2016.0;04:15;21,75;I;super-vazio;0,0464;0,0273;1,01;0,59;1,6
Fri;1.0;1.0;2016.0;04:30;21,87;I;super-vazio;0,0464;0,0273;1,01;0,6;1,61
Fri;1.0;1.0;2016.0;04:45;22,66;I;super-vazio;0,0464;0,0273;1,05;0,62;1,67
Fri;1.0;1.0;2016.0;05:00;21,46;I;super-vazio;0,0464;0,0273;1,0;0,59;1,58
Fri;1.0;1.0;2016.0;05:15;22,03;I;super-vazio;0,0464;0,0273;1,02;0,6;1,62
Fri;1.0;1.0;2016.0;05:30;22,36;I;super-vazio;0,0464;0,0273;1,04;0,61;1,65
Fri;1.0;1.0;2016.0;05:45;20,79;I;super-vazio;0,0464;0,0273;0,96;0,57;1,53
Fri;1.0;1.0;2016.0;06:00;22,85;I;vazio;0,0479;0,0298;1,09;0,68;1,78
Fri;1.0;1.0;2016.0;06:15;21,16;I;vazio;0,0479;0,0298;1,01;0,63;1,64
Fri;1.0;1.0;2016.0;06:30;22,4;I;vazio;0,0479;0,0298;1,07;0,67;1,74
Fri;1.0;1.0;2016.0;06:45;20,87;I;vazio;0,0479;0,0298;1,0;0,62;1,62
Fri;1.0;1.0;2016.0;07:00;22,99;I;vazio;0,0479;0,0298;1,1;0,69;1,79
Fri;1.0;1.0;2016.0;07:15;21,68;I;vazio;0,0479;0,0298;1,04;0,65;1,68
Fri;1.0;1.0;2016.0;07:30;21,49;I;vazio;0,0479;0,0298;1,03;0,64;1,67
Fri;1.0;1.0;2016.0;07:45;21,74;I;vazio;0,0479;0,0298;1,04;0,65;1,69
Fri;1.0;1.0;2016.0;08:00;22,47;I;cheia;0,0663;0,0573;1,49;1,29;2,78
Fri;1.0;1.0;2016.0;08:15;22,07;I;cheia;0,0663;0,0573;1,46;1,26;2,73
Fri;1.0;1.0;2016.0;08:30;20,74;I;cheia;0,0663;0,0573;1,38;1,19;2,56
Fri;1.0;1.0;2016.0;08:45;22,01;I;cheia;0,0663;0,0573;1,46;1,26;2,72
Fri;1.0;1.0;2016.0;09:00;22,29;I;ponta;0,0696;0,0663;1,55;1,48;3,03
Fri;1.0;1.0;2016.0;09:15;21,85;I;ponta;0,0696;0,0663;1,52;1,45;2,97
Fri;1.0;1.0;2016.0;09:30;22,89;I;ponta;0,0696;0,0663;1,59;1,52;3,11
Fri;1.0;1.0;2016.0;09:45;21,11;I;ponta;0,0696;0,0663;1,47;1,4;2,87
Fri;1.0;1.0;2016.0;10:00;22,13;I;ponta;0,0696;0,0663;1,54;1,47;3,01
Fri;1.0;1.0;2016.0;10:15;22,51;I;ponta;0,0696;0,0663;1,57;1,49;3,06
Fri;1.0;1.0;2016.0;10:30;21,2;I;cheia;0,0663;0,0573;1,41;1,21;2,62
Fri;1.0;1.0;2016.0;10:45;22,11;I;cheia;0,0663;0,0573;1,47;1,27;2,73
Fri;1.0;1.0;2016.0;11:00;21,26;I;cheia;0,0663;0,0573;1,41;1,22;2,63
Fri;1.0;1.0;2016.0;11:15;21,45;I;cheia;0,0663;0,0573;1,42;1,23;2,65
Fri;1.0;1.0;2016.0;11:30;23,34;I;cheia;0,0663;0,0573;1,55;1,34;2,88
Fri;1.0;1.0;2016.0;11:45;20,93;I;cheia;0,0663;0,0573;1,39;1,2;2,59
Fri;1.0;1.0;2016.0;12:00;22,08;I;cheia;0,0663;0,0573;1,46;1,27;2,73
Fri;1.0;1.0;2016.0;12:15;22,33;I;cheia;0,0663;0,0573;1,48;1,28;2,76
Fri;1.0;1.0;2016.0;12:30;21,22;I;cheia;0,0663;0,0573;1,41;1,22;2,62
Fri;1.0;1.0;2016.0;12:45;23,13;I;cheia;0,0663;0,0573;1,53;1,33;2,86
Fri;1.0;1.0;2016.0;13:00;20,99;I;cheia;0,0663;0,0573;1,39;1,2;2,59
Fri;1.0;1.0;2016.0;13:15;21,79;I;cheia;0,0663;0,0573;1,44;1,25;2,69
Fri;1.0;1.0;2016.0;13:30;22,16;I;cheia;0,0663;0,0573;1,47;1,27;2,74
Fri;1.0;1.0;2016.0;13:45;22,15;I;cheia;0,0663;0,0573;1,47;1,27;2,74
Fri;1.0;1.0;2016.0;14:00;21,71;I;cheia;0,0663;0,0573;1,44;1,24;2,68
Fri;1.0;1.0;2016.0;14:15;21,98;I;cheia;0,0663;0,0573;1,46;1,26;2,72
Fri;1.0;1.0;2016.0;14:30;22,89;I;cheia;0,0663;0,0573;1,52;1,31;2,83
Fri;1.0;1.0;2016.0;14:45;21,49;I;cheia;0,0663;0,0573;1,42;1,23;2,66
Fri;1.0;1.0;2016.0;15:00;22,37;I;cheia;0,0663;0,0573;1,48;1,28;2,76
Fri;1.0;1.0;2016.0;15:15;21,08;I;cheia;0,0663;0,0573;1,4;1,21;2,61
Fri;1.0;1.0;2016.0;15:30;22,67;I;cheia;0,0663;0,0573;1,5;1,3;2,8
Fri;1.0;1.0;2016.0;15:45;22,15;I;cheia;0,0663;0,0573;1,47;1,27;2,74
Fri;1.0;1.0;2016.0;16:00;21,99;I;cheia;0,0663;0,0573;1,46;1,26;2,72
Fri;1.0;1.0;2016.0;16:15;22,59;I;cheia;0,0663;0,0573;1,5;1,29;2,79
Fri;1.0;1.0;2016.0;16:30;21,07;I;cheia;0,0663;0,0573;1,4;1,21;2,6
Fri;1.0;1.0;2016.0;16:45;22,51;I;cheia;0,0663;0,0573;1,49;1,29;2,78
Fri;1.0;1.0;2016.0;17:00;21,45;I;cheia;0,0663;0,0573;1,42;1,23;2,65
Fri;1.0;1.0;2016.0;17:15;22,5;I;cheia;0,0663;0,0573;1,49;1,29;2,78
Fri;1.0;1.0;2016.0;17:30;21,88;I;cheia;0,0663;0,0573;1,45;1,25;2,7
Fri;1.0;1.0;2016.0;17:45;21,67;I;cheia;0,0663;0,0573;1,44;1,24;2,68
Fri;1.0;1.0;2016.0;18:00;22,86;I;ponta;0,0696;0,0663;1,59;1,52;3,11
Fri;1.0;1.0;2016.0;18:15;21,56;I;ponta;0,0696;0,0663;1,5;1,43;2,93
Fri;1.0;1.0;2016.0;18:30;23,03;I;ponta;0,0696;0,0663;1,6;1,53;3,13
Fri;1.0;1.0;2016.0;18:45;21,39;I;ponta;0,0696;0,0663;1,49;1,42;2,91
Fri;1.0;1.0;2016.0;19:00;21,52;I;ponta;0,0696;0,0663;1,5;1,43;2,92
Fri;1.0;1.0;2016.0;19:15;22,28;I;ponta;0,0696;0,0663;1,55;1,48;3,03
Fri;1.0;1.0;2016.0;19:30;21,93;I;ponta;0,0696;0,0663;1,53;1,45;2,98
Fri;1.0;1.0;2016.0;19:45;22,36;I;ponta;0,0696;0,0663;1,56;1,48;3,04
Fri;1.0;1.0;2016.0;20:00;21,67;I;ponta;0,0696;0,0663;1,51;1,44;2,94
Fri;1.0;1.0;2016.0;20:15;22,2;I;ponta;0,0696;0,0663;1,55;1,47;3,02
Fri;1.0;1.0;2016.0;20:30;22,03;I;cheia;0,0663;0,0573;1,46;1,26;2,72
Fri;1.0;1.0;2016.0;20:45;21,33;I;cheia;0,0663;0,0573;1,41;1,22;2,64
Fri;1.0;1.0;2016.0;21:00;22,83;I;cheia;0,0663;0,0573;1,51;1,31;2,82
Fri;1.0;1.0;2016.0;21:15;20,67;I;cheia;0,0663;0,0573;1,37;1,18;2,55
Fri;1.0;1.0;2016.0;21:30;22,77;I;cheia;0,0663;0,0573;1,51;1,3;2,81
Fri;1.0;1.0;2016.0;21:45;21,8;I;cheia;0,0663;0,0573;1,45;1,25;2,69
Fri;1.0;1.0;2016.0;22:00;22,49;I;vazio;0,0479;0,0298;1,08;0,67;1,75
Fri;1.0;1.0;2016.0;22:15;21,86;I;vazio;0,0479;0,0298;1,05;0,65;1,7
Fri;1.0;1.0;2016.0;22:30;22,56;I;vazio;0,0479;0,0298;1,08;0,67;1,75
Fri;1.0;1.0;2016.0;22:45;21,98;I;vazio;0,0479;0,0298;1,05;0,66;1,71
Fri;1.0;1.0;2016.0;23:00;21,63;I;vazio;0,0479;0,0298;1,04;0,64;1,68
Fri;1.0;1.0;2016.0;23:15;22,41;I;vazio;0,0479;0,0298;1,07;0,67;1,74
Fri;1.0;1.0;2016.0;23:30;22,09;I;vazio;0,0479;0,0298;1,06;0,66;1,72
Fri;1.0;1.0;2016.0;23:45;22,19;I;vazio;0,0479;0,0298;1,06;0,66;1,72
Sat;2.0;1.0;2016.0;00:00;21,37;I;vazio;0,0479;0,0298;1,02;0,64;1,66
Sat;2.0;1.0;2016.0;00:15;22,59;I;vazio;0,0479;0,0298;1,08;0,67;1,76
Sat;2.0;1.0;2016.0;00:30;22,02;I;vazio;0,0479;0,0298;1,05;0,66;1,71
Sat;2.0;1.0;2016.0;00:45;21,33;I;vazio;0,0479;0,0298;1,02;0,64;1,66
Sat;2.0;1.0;2016.0;01:00;22,2;I;vazio;0,0479;0,0298;1,06;0,66;1,72
Sat;2.0;1.0;2016.0;01:15;21,77;I;vazio;0,0479;0,0298;1,04;0,65;1,69
Sat;2.0;1.0;2016.0;01:30;22,15;I;vazio;0,0479;0,0298;1,06;0,66;1,72
Sat;2.0;1.0;2016.0;01:45;22,54;I;vazio;0,0479;0,0298;1,08;0,67;1,75
Sat;2.0;1.0;2016.0;02:00;21,39;I;super-vazio;0,0464;0,0273;0,99;0,58;1,58
Sat;2.0;1.0;2016.0;02:15;22,72;I;super-vazio;0,0464;0,0273;1,05;0,62;1,67
Sat;2.0;1.0;2016.0;02:30;21,6;I;super-vazio;0,0464;0,0273;1,0;0,59;1,59
Sat;2.0;1.0;2016.0;02:45;21,15;I;super-vazio;0,0464;0,0273;0,98;0,58;1,56
Sat;2.0;1.0;2016.0;03:00;23,07;I;super-vazio;0,0464;0,0273;1,07;0,63;1,7
Sat;2.0;1.0;2016.0;03:15;21,44;I;super-vazio;0,0464;0,0273;0,99;0,59;1,58
Sat;2.0;1.0;2016.0;03:30;22,58;I;super-vazio;0,0464;0,0273;1,05;0,62;1,66
Sat;2.0;1.0;2016.0;03:45;22,06;I;super-vazio;0,0464;0,0273;1,02;0,6;1,63
Sat;2.0;1.0;2016.0;04:00;21,42;I;super-vazio;0,0464;0,0273;0,99;0,58;1,58
Sat;2.0;1.0;2016.0;04:15;22,9;I;super-vazio;0,0464;0,0273;1,06;0,63;1,69
Sat;2.0;1.0;2016.0;04:30;21,28;I;super-vazio;0,0464;0,0273;0,99;0,58;1,57
Sat;2.0;1.0;2016.0;04:45;21,85;I;super-vazio;0,0464;0,0273;1,01;0,6;1,61
Sat;2.0;1.0;2016.0;05:00;22,43;I;super-vazio;0,0464;0,0273;1,04;0,61;1,65
Sat;2.0;1.0;2016.0;05:15;21,77;I;super-vazio;0,0464;0,0273;1,01;0,59;1,6
Sat;2.0;1.0;2016.0;05:30;21,54;I;super-vazio;0,0464;0,0273;1,0;0,59;1,59
Sat;2.0;1.0;2016.0;05:45;22,61;I;super-vazio;0,0464;0,0273;1,05;0,62;1,67
Sat;2.0;1.0;2016.0;06:00;20,93;I;vazio;0,0479;0,0298;1,0;0,62;1,63
Sat;2.0;1.0;2016.0;06:15;22,19;I;vazio;0,0479;0,0298;1,06;0,66;1,72
