weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;29,97;I;vazio;0,045;0,0225;1,35;0,67;2,02
Fri;1.0;1.0;2016.0;00:15;29,09;I;vazio;0,045;0,0225;1,31;0,65;1,96
Fri;1.0;1.0;2016.0;00:30;30,15;I;vazio;0,045;0,0225;1,36;0,68;2,04
Fri;1.0;1.0;2016.0;00:45;29,61;I;vazio;0,045;0,0225;1,33;0,67;2,0
Fri;1.0;1.0;2016.0;01:00;29,41;I;vazio;0,045;0,0225;1,32;0,66;1,99
Fri;1.0;1.0;2016.0;01:15;29,0;I;vazio;0,045;0,0225;1,31;0,65;1,96
Fri;1.0;1.0;2016.0;01:30;29,47;I;vazio;0,045;0,0225;1,33;0,66;1,99
Fri;1.0;1.0;2016.0;01:45;29,04;I;vazio;0,045;0,0225;1,31;0,65;1,96
Fri;1.0;1.0;2016.0;02:00;30,01;I;super-vazio;0,0444;0,0217;1,33;0,65;1,98
Fri;1.0;1.0;2016.0;02:15;29,19;I;super-vazio;0,0444;0,0217;1,3;0,63;1,93
Fri;1.0;1.0;2016.0;02:30;30,62;I;super-vazio;0,0444;0,0217;1,36;0,66;2,02
Fri;1.0;1.0;2016.0;02:45;29,63;I;super-vazio;0,0444;0,0217;1,32;0,64;1,96
Fri;1.0;1.0;2016.0;03:00;28,79;I;super-vazio;0,0444;0,0217;1,28;0,62;1,9
Fri;1.0;1.0;2016.0;03:15;29,74;I;super-vazio;0,0444;0,0217;1,32;0,65;1,97
Fri;1.0;1.0;2016.0;03:30;28,69;I;super-vazio;0,0444;0,0217;1,27;0,62;1,9
Fri;1.0;1.0;2016.0;03:45;29,71;I;super-vazio;0,0444;0,0217;1,32;0,64;1,96
Fri;1.0;1.0;2016.0;04:00;29,05;I;super-vazio;0,0444;0,0217;1,29;0,63;1,92
Fri;1.0;1.0;2016.0;04:15;29,33;I;super-vazio;0,0444;0,0217;1,3;0,64;1,94
Fri;1.0;1.0;2016.0;04:30;29,04;I;super-vazio;0,0444;0,0217;1,29;0,63;1,92
Fri;1.0;1.0;2016.0;04:45;29,21;I;super-vazio;0,0444;0,0217;1,3;0,63;1,93
Fri;1.0;1.0;2016.0;05:00;29,02;I;super-vazio;0,0444;0,0217;1,29;0,63;1,92
Fri;1.0;1.0;2016.0;05:15;28,41;I;super-vazio;0,0444;0,0217;1,26;0,62;1,88
Fri;1.0;1.0;2016.0;05:30;29,26;I;super-vazio;0,0444;0,0217;1,3;0,63;1,93
Fri;1.0;1.0;2016.0;05:45;28,59;I;super-vazio;0,0444;0,0217;1,27;0,62;1,89
Fri;1.0;1.0;2016.0;06:00;28,87;I;vazio;0,045;0,0225;1,3;0,65;1,95
Fri;1.0;1.0;2016.0;06:15;29,19;I;vazio;0,045;0,0225;1,31;0,66;1,97
Fri;1.0;1.0;2016.0;06:30;28,37;I;vazio;0,045;0,0225;1,28;0,64;1,91
Fri;1.0;1.0;2016.0;06:45;29,31;I;vazio;0,045;0,0225;1,32;0,66;1,98
Fri;1.0;1.0;2016.0;07:00;28,35;I;cheia;0,0605;0,0409;1,72;1,16;2,87
Fri;1.0;1.0;2016.0;07:15;29,18;I;cheia;0,0605;0,0409;1,77;1,19;2,96
Fri;1.0;1.0;2016.0;07:30;28,7;I;cheia;0,0605;0,0409;1,74;1,17;2,91
Fri;1.0;1.0;2016.0;07:45;28,85;I;cheia;0,0605;0,0409;1,75;1,18;2,93
Fri;1.0;1.0;2016.0;08:00;28,93;I;cheia;0,0605;0,0409;1,75;1,18;2,93
Fri;1.0;1.0;2016.0;08:15;28,59;I;cheia;0,0605;0,0409;1,73;1,17;2,9
Fri;1.0;1.0;2016.0;08:30;29,0;I;cheia;0,0605;0,0409;1,75;1,19;2,94
Fri;1.0;1.0;2016.0;08:45;28,64;I;cheia;0,0605;0,0409;1,73;1,17;2,9
Fri;1.0;1.0;2016.0;09:00;29,16;I;cheia;0,0605;0,0409;1,76;1,19;2,96
Fri;1.0;1.0;2016.0;09:15;28,54;I;cheia;0,0605;0,0409;1,73;1,17;2,89
Fri;1.0;1.0;2016.0;09:30;29,23;I;ponta;0,0638;0,0473;1,86;1,38;3,25
Fri;1.0;1.0;2016.0;09:45;28,47;I;ponta;0,0638;0,0473;1,82;1,35;3,16
Fri;1.0;1.0;2016.0;10:00;29,33;I;ponta;0,0638;0,0473;1,87;1,39;3,26
Fri;1.0;1.0;2016.0;10:15;28,96;I;ponta;0,0638;0,0473;1,85;1,37;3,22
Fri;1.0;1.0;2016.0;10:30;29,11;I;ponta;0,0638;0,0473;1,86;1,38;3,23
Fri;1.0;1.0;2016.0;10:45;28,58;I;ponta;0,0638;0,0473;1,82;1,35;3,18
Fri;1.0;1.0;2016.0;11:00;29,11;I;ponta;0,0638;0,0473;1,86;1,38;3,23
Fri;1.0;1.0;2016.0;11:15;28,62;I;ponta;0,0638;0,0473;1,83;1,35;3,18
Fri;1.0;1.0;2016.0;11:30;29,21;I;ponta;0,0638;0,0473;1,86;1,38;3,25
Fri;1.0;1.0;2016.0;11:45;30,28;I;ponta;0,0638;0,0473;1,93;1,43;3,36
Fri;1.0;1.0;2016.0;12:00;29,36;I;cheia;0,0605;0,0409;1,78;1,2;2,98
Fri;1.0;1.0;2016.0;12:15;31,53;I;cheia;0,0605;0,0409;1,91;1,29;3,2
Fri;1.0;1.0;2016.0;12:30;28,88;I;cheia;0,0605;0,0409;1,75;1,18;2,93
Fri;1.0;1.0;2016.0;12:45;31,61;I;cheia;0,0605;0,0409;1,91;1,29;3,21
Fri;1.0;1.0;2016.0;13:00;29,85;I;cheia;0,0605;0,0409;1,81;1,22;3,03
Fri;1.0;1.0;2016.0;13:15;32,57;I;cheia;0,0605;0,0409;1,97;1,33;3,3
Fri;1.0;1.0;2016.0;13:30;29,35;I;cheia;0,0605;0,0409;1,78;1,2;2,98
Fri;1.0;1.0;2016.0;13:45;30,58;I;cheia;0,0605;0,0409;1,85;1,25;3,1
Fri;1.0;1.0;2016.0;14:00;30,52;I;cheia;0,0605;0,0409;1,85;1,25;3,09
Fri;1.0;1.0;2016.0;14:15;30,06;I;cheia;0,0605;0,0409;1,82;1,23;3,05
Fri;1.0;1.0;2016.0;14:30;32,92;I;cheia;0,0605;0,0409;1,99;1,35;3,34
Fri;1.0;1.0;2016.0;14:45;32,45;I;cheia;0,0605;0,0409;1,96;1,33;3,29
