weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;00:15;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;00:30;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;00:45;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;01:00;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;01:15;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;01:30;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;01:45;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;02:00;25,0;I;super-vazio;0,0444;0,0217;1,11;0,54;1,65
Fri;1.0;1.0;2016.0;02:15;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;02:30;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;02:45;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;03:00;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;03:15;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;03:30;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;03:45;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;04:00;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;04:15;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;04:30;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;04:45;25,0;I;super-vazio;0,0444;0,0217;1,11;0,54;1,65
Fri;1.0;1.0;2016.0;05:00;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;05:15;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;05:30;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;05:45;24,0;I;super-vazio;0,0444;0,0217;1,07;0,52;1,59
Fri;1.0;1.0;2016.0;06:00;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;06:15;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;06:30;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;06:45;24,0;I;vazio;0,045;0,0225;1,08;0,54;1,62
Fri;1.0;1.0;2016.0;07:00;25,0;I;cheia;0,0605;0,0409;1,51;1,02;2,54
Fri;1.0;1.0;2016.0;07:15;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;07:30;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;07:45;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;08:00;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;08:15;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;08:30;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;08:45;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;09:00;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;09:15;24,0;I;cheia;0,0605;0,0409;1,45;0,98;2,43
Fri;1.0;1.0;2016.0;09:30;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
Fri;1.0;1.0;2016.0;09:45;25,0;I;ponta;0,0638;0,0473;1,6;1,18;2,78
Fri;1.0;1.0;2016.0;10:00;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
Fri;1.0;1.0;2016.0;10:15;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
Fri;1.0;1.0;2016.0;10:30;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
Fri;1.0;1.0;2016.0;10:45;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
Fri;1.0;1.0;2016.0;11:00;25,0;I;ponta;0,0638;0,0473;1,6;1,18;2,78
Fri;1.0;1.0;2016.0;11:15;24,0;I;ponta;0,0638;0,0473;1,53;1,14;2,67
