weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;15,0;I;vazio;0,045;0,0225;0,68;0,34;1,01
Fri;1.0;1.0;2016.0;00:15;14,0;I;vazio;0,045;0,0225;0,63;0,32;0,95
Fri;1.0;1.0;2016.0;00:30;14,0;I;vazio;0,045;0,0225;0,63;0,32;0,95
Fri;1.0;1.0;2016.0;00:45;15,0;I;vazio;0,045;0,0225;0,68;0,34;1,01
Fri;1.0;1.0;2016.0;01:00;14,0;I;vazio;0,045;0,0225;0,63;0,32;0,95
Fri;1.0;1.0;2016.0;01:15;15,0;I;vazio;0,045;0,0225;0,68;0,34;1,01
Fri;1.0;1.0;2016.0;01:30;14,0;I;vazio;0,045;0,0225;0,63;0,32;0,95
Fri;1.0;1.0;2016.0;01:45;14,0;I;vazio;0,045;0,0225;0,63;0,32;0,95
Fri;1.0;1.0;2016.0;02:00;15,0;I;super-vazio;0,0444;0,0217;0,67;0,33;0,99
Fri;1.0;1.0;2016.0;02:15;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;02:30;14,5;I;super-vazio;0,0444;0,0217;0,64;0,31;0,96
Fri;1.0;1.0;2016.0;02:45;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;03:00;14,5;I;super-vazio;0,0444;0,0217;0,64;0,31;0,96
Fri;1.0;1.0;2016.0;03:15;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;03:30;15,0;I;super-vazio;0,0444;0,0217;0,67;0,33;0,99
Fri;1.0;1.0;2016.0;03:45;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;04:00;14,5;I;super-vazio;0,0444;0,0217;0,64;0,31;0,96
Fri;1.0;1.0;2016.0;04:15;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;04:30;15,0;I;super-vazio;0,0444;0,0217;0,67;0,33;0,99
Fri;1.0;1.0;2016.0;04:45;13,5;I;super-vazio;0,0444;0,0217;0,6;0,29;0,89
Fri;1.0;1.0;2016.0;05:00;15,0;I;super-vazio;0,0444;0,0217;0,67;0,33;0,99
Fri;1.0;1.0;2016.0;05:15;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;05:30;14,0;I;super-vazio;0,0444;0,0217;0,62;0,3;0,93
Fri;1.0;1.0;2016.0;05:45;15,0;I;super-vazio;0,0444;0,0217;0,67;0,33;0,99
