weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;23,0;I;vazio;0,045;0,0225;1,03;0,52;1,55
Fri;1.0;1.0;2016.0;00:15;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;00:30;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;00:45;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;01:00;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;01:15;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;01:30;23,0;I;vazio;0,045;0,0225;1,03;0,52;1,55
Fri;1.0;1.0;2016.0;01:45;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;02:00;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;02:15;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;02:30;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;02:45;23,0;I;super-vazio;0,0444;0,0217;1,02;0,5;1,52
Fri;1.0;1.0;2016.0;03:00;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;03:15;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;03:30;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;03:45;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;04:00;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;04:15;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;04:30;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;04:45;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;05:00;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;05:15;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;05:30;23,0;I;super-vazio;0,0444;0,0217;1,02;0,5;1,52
Fri;1.0;1.0;2016.0;05:45;22,0;I;super-vazio;0,0444;0,0217;0,98;0,48;1,45
Fri;1.0;1.0;2016.0;06:00;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;06:15;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;06:30;21,0;I;vazio;0,045;0,0225;0,95;0,47;1,42
Fri;1.0;1.0;2016.0;06:45;22,0;I;vazio;0,045;0,0225;0,99;0,5;1,49
Fri;1.0;1.0;2016.0;07:00;22,0;I;cheia;0,0605;0,0409;1,33;0,9;2,23
Fri;1.0;1.0;2016.0;07:15;22,0;I;cheia;0,0605;0,0409;1,33;0,9;2,23
