weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;7,62;I;vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;00:15;7,65;I;vazio;0,0807;0,0;0,62;0,0;0,62
Fri;1.0;1.0;2016.0;00:30;8,58;I;vazio;0,0807;0,0;0,69;0,0;0,69
Fri;1.0;1.0;2016.0;00:45;8,4;I;vazio;0,0807;0,0;0,68;0,0;0,68
Fri;1.0;1.0;2016.0;01:00;8,78;I;vazio;0,0807;0,0;0,71;0,0;0,71
Fri;1.0;1.0;2016.0;01:15;9,14;I;vazio;0,0807;0,0;0,74;0,0;0,74
Fri;1.0;1.0;2016.0;01:30;8,22;I;vazio;0,0807;0,0;0,66;0,0;0,66
Fri;1.0;1.0;2016.0;01:45;9,1;I;vazio;0,0807;0,0;0,73;0,0;0,73
Fri;1.0;1.0;2016.0;02:00;7,8;I;super-vazio;0,0807;0,0;0,63;0,0;0,63
Fri;1.0;1.0;2016.0;02:15;7,65;I;super-vazio;0,0807;0,0;0,62;0,0;0,62
Fri;1.0;1.0;2016.0;02:30;8,79;I;super-vazio;0,0807;0,0;0,71;0,0;0,71
Fri;1.0;1.0;2016.0;02:45;8,86;I;super-vazio;0,0807;0,0;0,72;0,0;0,72
Fri;1.0;1.0;2016.0;03:00;8,32;I;super-vazio;0,0807;0,0;0,67;0,0;0,67
Fri;1.0;1.0;2016.0;03:15;8,84;I;super-vazio;0,0807;0,0;0,71;0,0;0,71
Fri;1.0;1.0;2016.0;03:30;7,62;I;super-vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;03:45;7,7;I;super-vazio;0,0807;0,0;0,62;0,0;0,62
Fri;1.0;1.0;2016.0;04:00;9,14;I;super-vazio;0,0807;0,0;0,74;0,0;0,74
Fri;1.0;1.0;2016.0;04:15;8,49;I;super-vazio;0,0807;0,0;0,69;0,0;0,69
Fri;1.0;1.0;2016.0;04:30;8,72;I;super-vazio;0,0807;0,0;0,7;0,0;0,7
Fri;1.0;1.0;2016.0;04:45;8,32;I;super-vazio;0,0807;0,0;0,67;0,0;0,67
Fri;1.0;1.0;2016.0;05:00;7,6;I;super-vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;05:15;8,21;I;super-vazio;0,0807;0,0;0,66;0,0;0,66
Fri;1.0;1.0;2016.0;05:30;9,11;I;super-vazio;0,0807;0,0;0,74;0,0;0,74
Fri;1.0;1.0;2016.0;05:45;8,15;I;super-vazio;0,0807;0,0;0,66;0,0;0,66
Fri;1.0;1.0;2016.0;06:00;8,72;I;vazio;0,0807;0,0;0,7;0,0;0,7
Fri;1.0;1.0;2016.0;06:15;7,78;I;vazio;0,0807;0,0;0,63;0,0;0,63
Fri;1.0;1.0;2016.0;06:30;7,51;I;vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;06:45;7,53;I;vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;07:00;7,52;I;vazio;0,0807;0,0;0,61;0,0;0,61
Fri;1.0;1.0;2016.0;07:15;7,39;I;vazio;0,0807;0,0;0,6;0,0;0,6
Fri;1.0;1.0;2016.0;07:30;7,39;I;vazio;0,0807;0,0;0,6;0,0;0,6
Fri;1.0;1.0;2016.0;07:45;7,39;I;vazio;0,0807;0,0;0,6;0,0;0,6
Fri;1.0;1.0;2016.0;08:00;7,4;I;cheia;0,1229;0,0;0,91;0,0;0,91
Fri;1.0;1.0;2016.0;08:15;7,41;I;cheia;0,1229;0,0;0,91;0,0;0,91
Fri;1.0;1.0;2016.0;08:30;7,76;I;cheia;0,1229;0,0;0,95;0,0;0,95
Fri;1.0;1.0;2016.0;08:45;8,61;I;cheia;0,1229;0,0;1,06;0,0;1,06
Fri;1.0;1.0;2016.0;09:00;8,07;I;ponta;0,1437;0,0;1,16;0,0;1,16
Fri;1.0;1.0;2016.0;09:15;8,96;I;ponta;0,1437;0,0;1,29;0,0;1,29
Fri;1.0;1.0;2016.0;09:30;8,29;I;ponta;0,1437;0,0;1,19;0,0;1,19
Fri;1.0;1.0;2016.0;09:45;8,75;I;ponta;0,1437;0,0;1,26;0,0;1,26
Fri;1.0;1.0;2016.0;10:00;7,86;I;ponta;0,1437;0,0;1,13;0,0;1,13
Fri;1.0;1.0;2016.0;10:15;7,45;I;ponta;0,1437;0,0;1,07;0,0;1,07
Fri;1.0;1.0;2016.0;10:30;8,6;I;cheia;0,1229;0,0;1,06;0,0;1,06
Fri;1.0;1.0;2016.0;10:45;8,72;I;cheia;0,1229;0,0;1,07;0,0;1,07
Fri;1.0;1.0;2016.0;11:00;8,27;I;cheia;0,1229;0,0;1,02;0,0;1,02
Fri;1.0;1.0;2016.0;11:15;8,57;I;cheia;0,1229;0,0;1,05;0,0;1,05
Fri;1.0;1.0;2016.0;11:30;7,48;I;cheia;0,1229;0,0;0,92;0,0;0,92
Fri;1.0;1.0;2016.0;11:45;7,77;I;cheia;0,1229;0,0;0,95;0,0;0,95
Fri;1.0;1.0;2016.0;12:00;8,99;I;cheia;0,1229;0,0;1,1;0,0;1,1
Fri;1.0;1.0;2016.0;12:15;8,31;I;cheia;0,1229;0,0;1,02;0,0;1,02
