weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;8,0;I;vazio;0,0802;0,0;0,64;0,0;0,64
Fri;1.0;1.0;2016.0;00:15;6,0;I;vazio;0,0802;0,0;0,48;0,0;0,48
Fri;1.0;1.0;2016.0;00:30;7,0;I;vazio;0,0802;0,0;0,56;0,0;0,56
Fri;1.0;1.0;2016.0;00:45;8,0;I;vazio;0,0802;0,0;0,64;0,0;0,64
Fri;1.0;1.0;2016.0;01:00;5,0;I;vazio;0,0802;0,0;0,4;0,0;0,4
Fri;1.0;1.0;2016.0;01:15;8,0;I;vazio;0,0802;0,0;0,64;0,0;0,64
Fri;1.0;1.0;2016.0;01:30;7,0;I;vazio;0,0802;0,0;0,56;0,0;0,56
Fri;1.0;1.0;2016.0;01:45;6,0;I;vazio;0,0802;0,0;0,48;0,0;0,48
Fri;1.0;1.0;2016.0;02:00;7,0;I;super-vazio;0,0721;0,0;0,5;0,0;0,5
Fri;1.0;1.0;2016.0;02:15;7,0;I;super-vazio;0,0721;0,0;0,5;0,0;0,5
Fri;1.0;1.0;2016.0;02:30;6,0;I;super-vazio;0,0721;0,0;0,43;0,0;0,43
Fri;1.0;1.0;2016.0;02:45;8,0;I;super-vazio;0,0721;0,0;0,58;0,0;0,58
Fri;1.0;1.0;2016.0;03:00;6,0;I;super-vazio;0,0721;0,0;0,43;0,0;0,43
Fri;1.0;1.0;2016.0;03:15;7,0;I;super-vazio;0,0721;0,0;0,5;0,0;0,5
Fri;1.0;1.0;2016.0;03:30;7,0;I;super-vazio;0,0721;0,0;0,5;0,0;0,5
Fri;1.0;1.0;2016.0;03:45;7,0;I;super-vazio;0,0721;0,0;0,5;0,0;0,5
Fri;1.0;1.0;2016.0;04:00;6,0;I;super-vazio;0,0721;0,0;0,43;0,0;0,43
Fri;1.0;1.0;2016.0;04:15;8,0;I;super-vazio;0,0721;0,0;0,58;0,0;0,58
Fri;1.0;1.0;2016.0;04:30;6,0;I;super-vazio;0,0721;0,0;0,43;0,0;0,43
Fri;1.0;1.0;2016.0;04:45;8,0;I;super-vazio;0,0721;0,0;0,58;0,0;0,58
Fri;1.0;1.0;2016.0;05:00;5,0;I;super-vazio;0,0721;0,0;0,36;0,0;0,36
Fri;1.0;1.0;2016.0;05:15;8,0;I;super-vazio;0,0721;0,0;0,58;0,0;0,58
Fri;1.0;1.0;2016.0;05:30;6,0;I;super-vazio;0,0721;0,0;0,43;0,0;0,43
Fri;1.0;1.0;2016.0;05:45;8,0;I;super-vazio;0,0721;0,0;0,58;0,0;0,58
Fri;1.0;1.0;2016.0;06:00;6,0;I;vazio;0,0802;0,0;0,48;0,0;0,48
Fri;1.0;1.0;2016.0;06:15;8,0;I;vazio;0,0802;0,0;0,64;0,0;0,64
Fri;1.0;1.0;2016.0;06:30;5,0;I;vazio;0,0802;0,0;0,4;0,0;0,4
Fri;1.0;1.0;2016.0;06:45;8,0;I;vazio;0,0802;0,0;0,64;0,0;0,64
Fri;1.0;1.0;2016.0;07:00;6,0;I;vazio;0,0802;0,0;0,48;0,0;0,48
Fri;1.0;1.0;2016.0;07:15;7,0;I;vazio;0,0802;0,0;0,56;0,0;0,56
Fri;1.0;1.0;2016.0;07:30;7,0;I;vazio;0,0802;0,0;0,56;0,0;0,56
Fri;1.0;1.0;2016.0;07:45;7,0;I;vazio;0,0802;0,0;0,56;0,0;0,56
Fri;1.0;1.0;2016.0;08:00;7,0;I;cheia;0,1225;0,0;0,86;0,0;0,86
