weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;38,0;I;vazio;0,045;0,0225;1,71;0,86;2,57
Fri;1.0;1.0;2016.0;00:15;39,0;I;vazio;0,045;0,0225;1,76;0,88;2,63
Fri;1.0;1.0;2016.0;00:30;36,0;I;vazio;0,045;0,0225;1,62;0,81;2,43
Fri;1.0;1.0;2016.0;00:45;39,0;I;vazio;0,045;0,0225;1,76;0,88;2,63
Fri;1.0;1.0;2016.0;01:00;38,0;I;vazio;0,045;0,0225;1,71;0,86;2,57
Fri;1.0;1.0;2016.0;01:15;37,0;I;vazio;0,045;0,0225;1,67;0,83;2,5
Fri;1.0;1.0;2016.0;01:30;38,0;I;vazio;0,045;0,0225;1,71;0,86;2,57
Fri;1.0;1.0;2016.0;01:45;38,0;I;vazio;0,045;0,0225;1,71;0,86;2,57
Fri;1.0;1.0;2016.0;02:00;37,0;I;super-vazio;0,0444;0,0217;1,64;0,8;2,45
Fri;1.0;1.0;2016.0;02:15;38,33;I;super-vazio;0,0444;0,0217;1,7;0,83;2,53
Fri;1.0;1.0;2016.0;02:30;37,33;I;super-vazio;0,0444;0,0217;1,66;0,81;2,47
Fri;1.0;1.0;2016.0;02:45;37,33;I;super-vazio;0,0444;0,0217;1,66;0,81;2,47
Fri;1.0;1.0;2016.0;03:00;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;03:15;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;03:30;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;03:45;37,0;I;super-vazio;0,0444;0,0217;1,64;0,8;2,45
Fri;1.0;1.0;2016.0;04:00;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;04:15;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;04:30;37,0;I;super-vazio;0,0444;0,0217;1,64;0,8;2,45
Fri;1.0;1.0;2016.0;04:45;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;05:00;37,0;I;super-vazio;0,0444;0,0217;1,64;0,8;2,45
Fri;1.0;1.0;2016.0;05:15;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;05:30;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;05:45;38,0;I;super-vazio;0,0444;0,0217;1,69;0,82;2,51
Fri;1.0;1.0;2016.0;06:00;37,0;I;vazio;0,045;0,0225;1,67;0,83;2,5
Fri;1.0;1.0;2016.0;06:15;37,0;I;vazio;0,045;0,0225;1,67;0,83;2,5
Fri;1.0;1.0;2016.0;06:30;38,0;I;vazio;0,045;0,0225;1,71;0,86;2,57
Fri;1.0;1.0;2016.0;06:45;37,0;I;vazio;0,045;0,0225;1,67;0,83;2,5
Fri;1.0;1.0;2016.0;07:00;39,0;I;cheia;0,0605;0,0409;2,36;1,6;3,95
Fri;1.0;1.0;2016.0;07:15;37,0;I;cheia;0,0605;0,0409;2,24;1,51;3,75
Fri;1.0;1.0;2016.0;07:30;38,0;I;cheia;0,0605;0,0409;2,3;1,55;3,85
Fri;1.0;1.0;2016.0;07:45;37,0;I;cheia;0,0605;0,0409;2,24;1,51;3,75
Fri;1.0;1.0;2016.0;08:00;37,0;I;cheia;0,0605;0,0409;2,24;1,51;3,75
Fri;1.0;1.0;2016.0;08:15;38,0;I;cheia;0,0605;0,0409;2,3;1,55;3,85
Fri;1.0;1.0;2016.0;08:30;38,0;I;cheia;0,0605;0,0409;2,3;1,55;3,85
Fri;1.0;1.0;2016.0;08:45;37,0;I;cheia;0,0605;0,0409;2,24;1,51;3,75
Fri;1.0;1.0;2016.0;09:00;39,0;I;cheia;0,0605;0,0409;2,36;1,6;3,95
Fri;1.0;1.0;2016.0;09:15;37,0;I;cheia;0,0605;0,0409;2,24;1,51;3,75
Fri;1.0;1.0;2016.0;09:30;37,0;I;ponta;0,0638;0,0473;2,36;1,75;4,11
Fri;1.0;1.0;2016.0;09:45;38,0;I;ponta;0,0638;0,0473;2,42;1,8;4,22
Fri;1.0;1.0;2016.0;10:00;38,0;I;ponta;0,0638;0,0473;2,42;1,8;4,22
Fri;1.0;1.0;2016.0;10:15;37,0;I;ponta;0,0638;0,0473;2,36;1,75;4,11
Fri;1.0;1.0;2016.0;10:30;40,0;I;ponta;0,0638;0,0473;2,55;1,89;4,44
Fri;1.0;1.0;2016.0;10:45;37,0;I;ponta;0,0638;0,0473;2,36;1,75;4,11
Fri;1.0;1.0;2016.0;11:00;38,0;I;ponta;0,0638;0,0473;2,42;1,8;4,22
Fri;1.0;1.0;2016.0;11:15;39,0;I;ponta;0,0638;0,0473;2,49;1,84;4,33
Fri;1.0;1.0;2016.0;11:30;38,0;I;ponta;0,0638;0,0473;2,42;1,8;4,22
Fri;1.0;1.0;2016.0;11:45;37,0;I;ponta;0,0638;0,0473;2,36;1,75;4,11
Fri;1.0;1.0;2016.0;12:00;40,0;I;cheia;0,0605;0,0409;2,42;1,64;4,06
Fri;1.0;1.0;2016.0;12:15;39,0;I;cheia;0,0605;0,0409;2,36;1,6;3,95
Fri;1.0;1.0;2016.0;12:30;32,0;I;cheia;0,0605;0,0409;1,94;1,31;3,24
Fri;1.0;1.0;2016.0;12:45;31,0;I;cheia;0,0605;0,0409;1,88;1,27;3,14
Fri;1.0;1.0;2016.0;13:00;34,0;I;cheia;0,0605;0,0409;2,06;1,39;3,45
