Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;615,0;334,21;35091,99;96056,03;75446,02;40888,0;600,86;2306,72;3898,07;9740,45;5093,4;2702,79;6204,79;24342,29
2;615,0;335,78;35257,0;94066,96;64354,0;38215,0;600,86;2317,55;3916,24;9538,51;4345,08;2525,87;6233,79;23244,11
3;615,0;343,06;36707,0;107232,0;67648,0;41721,0;600,86;2367,8;4076,54;10867,24;4566,12;2758,91;6444,34;25237,47
4;615,0;348,46;21953,0;113803,99;71049,0;40767,0;600,86;2405,07;2432,45;11505,35;4788,49;2703,24;4837,52;24435,46
5;615,0;347,44;22931,0;115528,5;74028,5;41682,0;600,86;2398,03;2540,85;11679,4;4989,55;2763,78;4938,88;24972,47
6;615,0;347,36;22926,0;115158,0;66734,01;40028,0;600,86;2397,48;2540,34;11642,06;4497,64;2654,02;4937,82;24332,4
7;615,0;348,87;21979,0;114274,5;78739,5;42025,0;600,86;2407,9;2435,3;11553,31;5307,02;2786,6;4843,2;25090,99
8;615,0;340,2;23474,0;118120,0;66796,0;40772,0;600,86;2348,06;2601,03;11941,89;4501,83;2703,21;4949,09;24696,88
9;615,0;323,65;21361,0;108322,0;62909,0;37570,0;600,86;2233,83;2366,82;10951,43;4239,81;2491,15;4600,65;22883,9
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;5535,0;3069,03;241679,99;982561,98;627704,03;363668,0;5407,74;21182,44;26807,64;99419,64;42328,94;24089,57;47990,08;219235,97
