Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;264,0;147,71;15509,69;42503,2;34176,5;18247,21;257,93;1019,49;1723,02;4308,29;2307,98;1206,49;2742,51;10823,2
2;264,0;148,76;15619,47;41560,51;28991,29;17021,65;257,93;1026,74;1735,49;4212,79;1957,77;1125,46;2762,23;10316,18
3;264,0;145,77;15597,2;45407,7;29323,3;17811,8;257,93;1006,1;1732,28;4601,9;1979,05;1177,93;2738,38;10755,19
4;264,0;148,55;9358,9;49079,21;31098,34;17550,2;257,93;1025,29;1036,79;4960,86;2095,78;1163,71;2062,08;10540,36
5;264,0;154,32;10185,16;51922,21;33770,04;18714,4;257,93;1065,12;1128,31;5248,22;2275,86;1240,9;2193,43;11216,34
6;264,0;154,79;10216,3;52451,9;30879,0;18206,3;257,93;1068,36;1131,86;5301,49;2081,34;1207,33;2200,22;11048,31
7;264,0;153,71;9683,5;50808,4;35282,9;18711,2;257,93;1060,91;1072,77;5135,7;2378,08;1240,88;2133,68;11146,27
8;264,0;150,93;10414,5;52428,25;29831,85;18015,9;257,93;1041,72;1153,88;5300,0;2010,67;1194,44;2195,6;10958,64
9;264,0;143,51;9471,9;48400,0;28760,0;17031,6;257,93;990,51;1049,22;4893,7;1938,37;1129,03;2039,73;10258,76
10;264,0;142,76;9279,2;46918,3;32916,5;17713,0;257,93;985,33;1028,28;4744,6;2219,02;1173,92;2013,61;10409,08
11;264,0;138,75;15262,0;40513,8;27653,9;16486,8;257,93;957,65;1695,66;4109,13;1866,91;1089,79;2653,31;9977,07
12;264,0;135,82;14939,7;39589,0;26768,1;16138,4;257,93;937,43;1660,03;4015,24;1807,24;1066,77;2597,46;9744,64
Total;3168,0;1765,38;145537,52;561582,48;369451,72;211648,46;3095,16;12184,65;16147,59;56831,92;24918,07;14016,65;28332,24;127194,04
