Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;175,0;88,44;10966,94;27603,47;16206,74;10793,61;205,1;1567,86;1490,34;3411,77;1259,09;795,45;3058,2;8729,61
2;175,0;88,92;10315,11;26088,99;15239,13;10128,18;205,1;1576,37;1401,79;3224,8;1184,05;746,32;2978,16;8338,43
3;175,0;89,56;11105,7;27944,59;16322,39;10915,04;205,1;1587,72;1509,27;3453,89;1268,13;804,35;3096,99;8828,46
4;175,0;89,61;10753,78;26943,43;15952,18;10568,15;205,1;1588,61;1461,29;3330,43;1239,42;778,84;3049,9;8603,69
5;175,0;90,3;11196,69;28090,81;16665,06;11065,53;205,1;1600,84;1521,74;3471,89;1294,88;815,47;3122,58;8909,92
6;175,0;91,41;10969,43;27519,62;16304,65;10817,95;205,1;1620,52;1490,8;3401,42;1266,87;797,29;3111,32;8782,0
7;175,0;92,26;11440,35;28739,12;16963,95;11273,16;205,1;1635,59;1554,89;3552,25;1318,06;830,82;3190,48;9096,71
8;175,0;92,62;11485,35;28860,43;16997,64;11299,23;205,1;1641,97;1560,88;3567,07;1320,64;832,81;3202,85;9128,47
9;175,0;90,54;10864,36;27361,65;16198,53;10781,09;205,1;1605,09;1476,51;3381,93;1258,58;794,66;3081,6;8721,87
10;175,0;89,27;11069,33;27914,53;16481,84;11039,8;205,1;1582,58;1504,36;3450,11;1280,67;813,58;3086,94;8836,4
11;175,0;85,81;10297,3;25931,42;15291,35;10196,17;205,1;1521,24;1399,36;3205,13;1188,07;751,54;2920,6;8270,44
12;175,0;81,71;10131,51;25483,99;15013,52;10008,47;205,1;1448,55;1376,82;3149,81;1166,56;737,73;2825,37;8084,57
Total;2100,0;1070,45;130595,85;328482,05;193636,98;128886,38;2461,2;18976,94;17748,05;40600,5;15045,02;9498,86;36724,99;104330,57
