Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;744,0;477,98;50187,46;137161,02;109060,39;58607,12;790,87;3121,69;5324,85;13167,58;6827,12;3592,56;8446,54;32824,67
2;744,0;478,95;50289,72;134485,48;93490,77;54928,12;790,87;3128,02;5335,69;12910,64;5852,49;3367,08;8463,71;31384,79
3;744,0;480,96;51462,97;149906,17;96110,89;58869,0;790,87;3141,15;5458,48;14383,03;6015,11;3609,6;8599,63;33398,24
4;744,0;486,76;30665,89;159643,83;100460,88;57202,9;790,87;3179,03;3244,4;15277,95;6279,13;3512,3;6423,43;32283,68
5;744,0;492,19;32484,54;163778,31;106370,71;59504,54;790,87;3214,49;3436,94;15673,66;6648,29;3653,64;6651,43;33417,89
6;744,0;474,89;31342,41;161564,43;97173,96;56925,46;790,87;3101,51;3316,04;15461,72;6073,59;3495,19;6417,55;32238,92
7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;4464,0;2891,73;246432,99;906539,24;602667,6;346037,14;4745,22;18885,89;26116,4;86874,58;37695,73;21230,37;45002,29;195548,19
