Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;372,0;113,52;11919,9;32737,81;24833,67;13216,38;363,44;783,52;1324,48;3319,61;1676,23;873,53;2108,0;8340,81
2;372,0;118,81;12474,65;32747,71;21960,56;12934,94;363,44;820,03;1386,05;3320,41;1482,27;854,96;2206,08;8227,16
3;372,0;119,9;12828,95;37321,31;22475,09;13709,11;363,44;827,55;1425,0;3782,41;1516,75;906,71;2252,55;8821,86
4;372,0;129,28;8144,87;42265,21;24240,52;13353,19;363,44;892,29;902,45;4272,89;1633,8;885,26;1794,74;8950,13
5;372,0;146,29;9655,39;48565,06;27974,37;15063,29;363,44;1009,69;1069,76;4909,96;1885,53;998,69;2079,45;10237,07
6;372,0;163,86;10814,75;55583,61;30400,29;15838,08;363,44;1130,96;1198,34;5619,38;2049,07;1050,05;2329,3;11411,24
7;372,0;159,26;10033,09;52860,52;34068,85;16537,93;363,44;1099,21;1111,72;5344,29;2296,28;1096,47;2210,93;11311,41
8;372,0;168,73;11642,32;56708,43;29421,16;16593,73;363,44;1164,57;1290,01;5733,28;1982,97;1100,14;2454,58;11634,41
9;372,0;154,34;10186,75;50997,29;27756,8;15253,94;363,44;1065,25;1128,7;5155,89;1870,86;1011,22;2193,95;10595,36
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;3348,0;1273,99;97700,67;409786,95;243131,31;132500,59;3270,96;8793,07;10836,51;41458,12;16393,76;8777,03;19629,58;89529,45
