Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;122,0;175,85;18464,38;49932,33;37953,93;20676,04;119,19;1213,72;2051,61;5063,04;2561,85;1366,74;3265,33;12376,15
2;122,0;178,13;18703,8;49242,22;32610,45;19396,97;119,19;1229,45;2078,26;4993,3;2201,2;1282,27;3307,71;11903,67
3;122,0;178,91;19143,74;54903,21;33554,7;20711,27;119,19;1234,84;2126,37;5564,19;2264,36;1369,68;3361,21;12678,63
4;122,0;183,71;11573,75;58144,03;35117,69;20183,53;119,19;1267,97;1282,36;5878,43;2366,9;1338,14;2550,33;12252,99
5;122,0;186,2;12289,17;60112,23;37062,2;21010,94;119,19;1285,15;1361,68;6077,33;2498,1;1393,14;2646,83;12734,59
6;122,0;189,69;12519,74;61078,47;34306,35;20656,01;119,19;1309,24;1387,16;6175,08;2312,3;1369,43;2696,4;12672,4
7;122,0;194,05;12225,33;60446,61;39517,74;21378,61;119,19;1339,33;1354,6;6111,14;2663,5;1417,52;2693,93;13005,28
8;122,0;191,76;13231,74;63702,72;34625,25;21218,72;119,19;1323,53;1466,14;6440,36;2333,76;1406,73;2789,67;13089,71
9;122,0;190,21;12554,16;60891,31;33877,69;20478,57;119,19;1312,83;1390,98;6156,17;2283,59;1357,72;2703,81;12620,48
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;1098,0;1668,51;130705,81;518453,13;318626,0;185710,66;1072,71;11516,06;14499,16;52459,04;21485,56;12301,37;26015,22;113333,9
