Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;186,0;84,56;8878,3;24539,9;19553,85;10273,8;181,72;583,63;985,86;2490,13;1320,38;679,6;1569,49;6241,32
2;186,0;82,33;8644,41;23623,16;16131,71;8988,36;181,72;568,24;959,85;2397,63;1089,01;594,81;1528,09;5791,26
3;186,0;86,32;9236,48;27350,53;17164,29;9735,23;181,72;595,78;1025,82;2772,93;1159,1;644,57;1621,6;6379,92
4;186,0;93,1;5865,0;31210,0;19141,0;10315,0;181,72;642,58;650,19;3158,25;1291,3;683,74;1292,77;6607,78
5;186,0;99,33;6556,0;32779,0;20932,0;11168,0;181,72;685,58;726,45;3316,85;1412,16;739,97;1412,03;7062,73
6;186,0;102,65;6775,0;34251,0;20103,0;11538,0;181,72;708,49;750,55;3465,22;1356,02;764,47;1459,04;7226,47
7;186,0;101,77;6411,79;33527,03;23167,74;12068,71;181,72;702,42;710,31;3391,65;1563,18;800,14;1412,73;7349,42
8;186,0;100,42;6929,0;35239,0;19812,0;11852,0;181,72;693,1;767,73;3565,76;1336,93;785,02;1460,83;7330,26
9;186,0;96,7;6382,0;33239,0;19099,0;10985,0;181,72;667,42;707,26;3363,28;1288,85;728,33;1374,68;6936,86
10;186,0;96,26;6257,08;31701,14;21864,36;11309,96;181,72;664,39;693,69;3206,79;1475,15;749,62;1358,08;6971,36
11;186,0;85,58;9414,0;26094,0;16877,5;9532,5;181,72;590,67;1045,38;2647,78;1139,76;630,68;1636,05;6235,99
12;186,0;82,07;9028,0;24304,0;16006,0;9508,0;181,72;566,45;1001,97;2465,9;1080,75;628,97;1568,42;5925,76
Total;2232,0;1111,09;90377,06;357857,76;229852,45;127274,56;2180,64;7668,75;10025,06;36242,17;15512,59;8429,92;17693,81;80059,13
