Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;186,0;57,26;6012,3;16482,92;13188,84;6944,92;181,72;395,21;668,73;1671,25;891,62;459,88;1063,94;4268,41
2;186,0;58,43;6134,74;16079,36;11092,25;6500,75;181,72;403,28;682,17;1630,37;749,87;430,22;1085,45;4077,63
3;186,0;57,82;6186,23;17922,66;11443,64;6971,63;181,72;399,07;687,4;1816,68;772,8;461,35;1086,47;4319,02
4;186,0;59,89;3772,86;19361,7;12259,4;6856,34;181,72;413,36;418,09;1959,43;825,88;454,5;831,45;4252,98
5;186,0;62,51;4125,94;20372,23;13184,8;7310,79;181,72;431,44;457,15;2061,37;888,61;484,5;888,59;4504,79
6;186,0;64,1;4230,32;21336,69;12506,37;7256,61;181,72;442,42;468,67;2158,88;842,83;480,91;911,09;4575,43
7;186,0;64,73;4077,71;20913,53;14505,89;7563,71;181,72;446,77;451,74;2115,74;977,97;501,27;898,51;4675,21
8;186,0;67,93;4687,01;22745,29;12855,54;7737,23;181,72;468,85;519,27;2300,69;866,39;512,53;988,12;4849,45
9;186,0;65,67;4333,91;21224,25;12443,39;7327,51;181,72;453,25;480,31;2147,54;838,6;485,53;933,56;4586,95
10;186,0;63,56;4131,53;20664,58;14350,52;7550,7;181,72;438,69;457,85;2090,73;967,35;500,31;896,54;4636,65
11;186,0;60,25;6627,42;17713,45;11885,47;7131,81;181,72;415,85;736,39;1795,72;802,83;471,57;1152,24;4404,08
12;186,0;59,19;6510,63;17150,74;11636,31;6893,06;181,72;408,53;723,58;1738,85;786,14;455,78;1132,11;4294,6
Total;2232,0;741,34;60830,6;231967,4;151352,42;86045,06;2180,64;5116,72;6751,35;23487,25;10210,89;5698,35;11868,07;53445,2
