Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;186,0;87,98;9238,0;25076,35;19348,99;10343,67;181,72;607,24;1025,93;2542,42;1308,15;683,71;1633,17;6349,17
2;186,0;87,17;9153,01;24089,2;16008,68;9484,1;181,72;601,65;1016,02;2442,93;1081,47;627,0;1617,67;5950,79
3;186,0;87,43;9354,84;27151,94;16598,53;10159,71;181,72;603,44;1038,49;2752,15;1120,78;671,97;1641,93;6368,55
4;186,0;95,52;6018,0;30429,97;18110,62;10221,32;181,72;659,28;667,03;3075,59;1222,22;677,28;1326,31;6483,12
5;186,0;98,97;6532,19;32030,85;19559,02;10700,0;181,72;683,09;723,82;3237,56;1319,23;708,96;1406,91;6854,38
6;186,0;108,32;7149,0;35180,0;19674,0;11004,0;181,72;747,62;791,68;3556,91;1326,8;729,17;1539,3;7333,9
7;186,0;128,15;8073,62;42498,1;23140,49;12777,83;181,72;884,49;894,12;4296,11;1560,06;846,93;1778,61;8663,43
8;186,0;109,51;7556,0;37900,0;20511,0;11950,0;181,72;755,84;836,7;3831,01;1383,07;792,24;1592,54;7780,58
9;186,0;107,3;7082,0;35029,0;19857,0;11471,0;181,72;740,58;784,37;3541,82;1338,78;760,03;1524,95;7347,3
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;1674,0;910,35;70156,66;289385,41;172808,33;98111,63;1635,48;6283,23;7778,16;29276,5;11660,56;6497,29;14061,39;63131,22
