Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;96,0;33,18;4114,47;10523,31;6148,74;4103,26;113,95;678,76;591,25;1293,31;496,17;331,08;1270,01;3504,52
2;96,0;33,31;3863,44;9855,56;5722,37;3819,66;113,95;681,42;555,25;1211,16;461,81;308,21;1236,67;3331,8
3;96,0;33,82;4193,23;10614,62;6132,6;4133,52;113,95;691,86;602,57;1304,49;494,99;333,48;1294,43;3541,34
4;96,0;33,75;4050,48;10249,25;6045,17;4037,66;113,95;690,42;582,06;1259,61;487,84;325,85;1272,48;3459,73
5;96,0;34,17;4236,87;10688,66;6222,85;4147,52;113,95;699,02;608,8;1313,53;502,08;334,67;1307,82;3572,05
6;96,0;31,71;3805,24;9500,83;5602,57;3678,88;113,95;648,69;546,73;1167,7;452,17;296,86;1195,42;3226,1
7;96,0;30,53;3785,22;9522,75;5623,42;3663,35;113,95;624,55;544,02;1170,04;453,78;295,64;1168,57;3201,98
8;96,0;29,82;3697,76;9221,51;5506,89;3669,58;113,95;610,03;531,44;1133,31;444,2;296,05;1141,47;3128,98
9;96,0;29,63;3555,14;8943,18;5269,79;3456,44;113,95;606,14;510,77;1099,08;425,29;278,93;1116,91;3034,16
10;96,0;29,46;3652,62;9106,95;5336,28;3526,98;113,95;602,66;524,98;1119,02;430,72;284,59;1127,64;3075,92
11;96,0;28,13;3375,3;8574,75;4995,73;3273,67;113,95;575,46;485,12;1053,92;403,28;264,22;1060,58;2895,95
12;96,0;26,92;3338,4;8451,11;4942,12;3239,47;113,95;550,7;479,72;1038,75;398,87;261,32;1030,42;2843,31
Total;1152,0;374,43;45668,17;115252,48;67548,53;44749,99;1367,4;7659,71;6562,71;14163,92;5451,2;3610,9;14222,42;38815,84
