Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;308,0;170,46;21137,0;53377,0;31296,0;20788,0;360,98;3021,91;2872,82;6596,56;2430,98;1533,11;5894,73;16816,36
2;308,0;176,16;20435,0;52188,99;29674,0;19587,01;360,98;3122,96;2777,05;6450,59;2306,06;1443,93;5900,01;16461,57
3;308,0;188,92;23426,0;61419,0;32086,0;21251,0;360,98;3349,17;3183,7;7591,29;2493,3;1566,48;6532,87;18544,92
4;308,0;235,1;28212,0;70825,0;35608,0;22496,0;360,98;4167,85;3833,91;8754,45;2766,7;1657,51;8001,76;21541,4
5;308,0;245,87;30488,0;75533,98;39102,0;24952,0;360,98;4358,78;4143,5;9335,75;3038,36;1838,72;8502,28;23076,09
6;308,0;252,75;30330,0;76214,01;41770,0;26449,01;360,98;4480,75;4122,28;9419,65;3245,98;1949,15;8603,03;23578,79
7;308,0;253,75;31464,57;78568,39;43366,45;27266,58;360,98;4498,48;4276,45;9710,19;3369,79;2009,51;8774,93;24225,4
8;308,0;249,8;30975,0;77791,0;43309,0;27597,0;360,98;4428,45;4210,01;9614,16;3365,35;2034,07;8638,46;24013,02
9;308,0;240,51;28861,0;73111,0;37802,0;24676,0;360,98;4263,76;3922,31;9037,16;2937,28;1818,52;8186,07;22340,01
10;308,0;238,93;29627,0;74137,0;39518,0;25655,0;360,98;4235,75;4026,48;9163,84;3070,39;1890,67;8262,23;22748,11
11;308,0;183,54;22025,0;56390,0;31488,0;20695,0;360,98;3253,8;2993,55;6969,9;2446,51;1525,73;6247,35;17550,47
12;308,0;168,19;20855,0;52527,0;30682,0;20507,0;360,98;2981,67;2834,3;6490,81;2383,04;1512,23;5815,97;16563,03
Total;3696,0;2603,98;317835,57;802082,37;435701,45;281919,6;4331,76;46163,33;43196,36;99134,35;33853,74;20779,63;89359,69;247459,17
