Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;173,0;27,93;3463,0;8687,0;5145,0;3429,0;209,16;567,17;490,49;1067,08;411,6;245,69;1057,66;2991,19
2;173,0;27,36;3174,0;8067,0;4704,0;3133,0;209,16;555,6;449,75;991,07;376,32;224,93;1005,35;2806,83
3;173,0;27,61;3424,0;8717,0;4970,0;3330,0;209,16;560,68;485,4;1070,88;397,6;238,94;1046,08;2962,66
4;173,0;27,68;3321,0;8246,0;4814,0;3246,0;209,16;562,1;470,91;1013,27;385,12;232,96;1033,01;2873,52
5;173,0;28,26;3504,0;8671,0;5003,0;3398,0;209,16;573,88;496,94;1065,07;400,24;243,92;1070,82;2989,21
6;173,0;28,89;3467,0;8560,0;4922,0;3315,0;209,16;586,67;491,97;1051,12;393,77;237,93;1078,64;2970,62
7;173,0;29,59;3668,83;9080,94;5189,08;3488,89;209,16;600,88;520,81;1114,31;415,44;250,83;1121,69;3111,43
8;173,0;29,61;3672,0;9089,0;5229,0;3509,0;209,16;601,29;521,35;1115,43;418,32;252,17;1122,64;3117,72
9;173,0;29,56;3547,0;8815,0;5057,0;3405,0;209,16;600,27;503,58;1081,73;404,56;244,69;1103,85;3043,99
10;173,0;28,76;3566,0;8847,0;5128,0;3493,0;209,16;584,03;506,02;1086,39;410,24;250,61;1090,05;3046,45
11;173,0;27,85;3342,0;8469,0;4936,0;3306,0;209,16;565,55;473,79;1040,17;394,88;237,44;1039,34;2920,99
12;173,0;26,69;3310,0;8447,0;4869,0;3257,0;209,16;541,99;469,27;1037,42;389,52;233,78;1011,26;2881,14
Total;2076,0;339,79;41458,83;103695,94;59966,08;40309,89;2509,92;6900,11;5880,28;12733,94;4797,61;2893,89;12780,39;35715,75
