Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;54,0;26,22;3251,4;8125,11;4411,1;2925,41;63,29;464,83;442,53;1006,26;343,87;215,6;907,36;2536,38
2;54,0;27,45;3184,68;8042,14;4398,45;2953,74;63,29;486,63;433,25;996,11;342,12;217,89;919,88;2539,29
3;54,0;28,33;3513,0;8717,0;4832,0;3202,0;63,29;502,23;477,93;1080,12;375,34;236,4;980,16;2735,31
4;54,0;28,67;3440,0;8829,0;5119,0;3302,0;63,29;508,26;468,0;1093,75;396,68;244,43;976,26;2774,41
5;54,0;31,56;3914,0;9864,0;5736,0;3745,0;63,29;559,5;532,15;1220,98;444,65;276,66;1091,65;3097,23
6;54,0;36,65;4398,0;11193,0;6488,0;4224,0;63,29;649,73;597,57;1384,55;504,46;310,95;1247,3;3510,55
7;54,0;37,87;4696,26;12024,17;6895,76;4422,56;63,29;671,36;637,63;1487,24;535,97;325,8;1308,99;3721,29
8;54,0;37,08;4598,0;11721,0;6697,0;4292,0;63,29;657,35;624,64;1449,63;520,5;316,4;1281,99;3631,81
9;54,0;32,94;3953,0;10074,0;5873,0;3805,0;63,29;583,96;537,63;1246,42;455,43;280,82;1121,59;3167,55
10;54,0;31,84;3948,0;9990,0;5731,0;3787,0;63,29;564,46;536,98;1236,42;443,87;279,87;1101,44;3124,89
11;54,0;29,25;3510,0;8695,0;4978,0;3268,0;63,29;518,54;477,29;1077,78;385,93;241,58;995,83;2764,41
12;54,0;26,37;3270,0;8240,0;4631,0;3050,0;63,29;467,49;444,88;1020,5;359,88;225,03;912,37;2581,07
Total;648,0;374,23;45676,34;115514,42;65790,31;42976,71;759,48;6634,34;6210,48;14299,76;5108,7;3171,43;12844,82;36184,19
