Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;322,28;129,18;13564,0;37351,0;29882,0;15482,0;342,58;843,67;1439,65;3586,73;1870,72;948,8;2283,32;9032,15
2;322,28;130,1;13660,0;36490,0;25342,0;14546,0;342,58;849,68;1449,9;3503,61;1586,22;891,34;2299,58;8623,33
3;322,28;132,95;14226,0;41491,0;26484,0;15817,0;342,58;868,3;1509,26;3980,94;1657,55;968,91;2377,56;9327,54
4;322,28;140,31;8839,5;46324,5;28659,0;15310,0;342,58;916,36;935,43;4433,68;1792,28;938,77;1851,79;9359,1
5;322,28;153,15;10108,0;52310,0;32232,0;16684,0;342,58;1000,22;1069,55;5006,65;2015,64;1024,26;2069,77;10458,9
6;322,28;155,0;10230,0;53001,0;31312,0;17265,0;342,58;1012,31;1082,39;5073,32;1958,0;1060,13;2094,7;10528,73
7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;1933,68;840,69;70627,5;266967,5;173911,0;95104,0;2055,48;5490,54;7486,18;25584,93;10880,41;5832,21;12976,72;57329,75
