Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;344,69;124,79;13102,71;36441,29;28850,81;15110,07;336,76;861,3;1455,83;3695,18;1947,37;998,77;2317,13;9295,21
2;344,69;129,32;13578,92;37170,36;25012,8;13986,17;336,76;892,57;1508,84;3769,06;1688,38;924,51;2401,41;9120,12
3;344,69;139,97;14977,06;45527,04;27279,92;15151,41;336,76;966,07;1663,62;4613,83;1840,93;1001,97;2629,69;10423,18
4;344,69;161,55;10177,39;57085,84;32990,73;15688,92;336,76;1115,02;1127,7;5771,5;2223,65;1040,17;2242,72;11614,8
5;344,69;181,04;11948,88;62675,98;38597,5;17994,86;336,76;1249,54;1323,9;6336,51;2601,42;1193,02;2573,44;13041,15
6;344,69;201,05;13269,36;70169,57;38413,18;19615,76;336,76;1387,65;1470,2;7094,19;2589,07;1300,56;2857,85;14178,43
7;344,69;200,53;12633,22;69309,16;45018,39;20631,04;336,76;1384,06;1399,67;7007,12;3034,27;1367,85;2783,73;14529,73
8;344,69;202,34;13961,71;74937,57;38305,35;20618,22;336,76;1396,55;1547,06;7576,2;2581,81;1367,0;2943,61;14805,38
9;344,69;182,01;12012,98;65215,18;35776,25;18101,33;336,76;1256,23;1331,08;6593,46;2411,34;1200,18;2587,31;13129,05
10;344,69;171,55;11150,63;61766,31;40527,38;18674,22;336,76;1184,04;1235,72;6245,33;2731,96;1237,72;2419,76;12971,53
11;344,69;140,5;15455,05;43295,75;27596,78;15290,03;336,76;969,73;1717,24;4390,31;1862,68;1010,71;2686,97;10287,43
12;344,69;130,36;14339,37;38459,33;25338,45;14867,88;336,76;899,74;1593,17;3899,89;1710,37;982,74;2492,91;9422,67
Total;4136,28;1965,01;156607,28;662053,38;403707,54;205729,91;4041,12;13562,5;17374,03;66992,58;27223,25;13625,2;30936,53;142818,68
