weekday;day;month;year;time;EA+ Geral ALF2A7+A8 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh);EA+ IT ALF2A7+A8 (KWh)
Fri;1;1;2016;00:00;132.52;39.47;79.67
Fri;1;1;2016;00:15;133.61;41.51;79.47
Fri;1;1;2016;00:30;130.95;37.45;79.98
Fri;1;1;2016;00:45;131.69;39.86;78.91
Fri;1;1;2016;01:00;132.23;39.69;79.51
Fri;1;1;2016;01:15;130.08;37.33;79.45
Fri;1;1;2016;01:30;134.03;40.98;79.65
Fri;1;1;2016;01:45;129.91;37.92;79.43
Fri;1;1;2016;02:00;131.25;38.6;79.57
Fri;1;1;2016;02:15;132.58;39.75;79.29
Fri;1;1;2016;02:30;130.49;38.63;79.49
Fri;1;1;2016;02:45;131.61;40.07;79.23
Fri;1;1;2016;03:00;130.4;37.95;79.55
Fri;1;1;2016;03:15;133.02;40.26;79.23
Fri;1;1;2016;03:30;132.04;39.25;79.58
Fri;1;1;2016;03:45;130.12;37.39;79.1
Fri;1;1;2016;04:00;133.33;40.68;79.63
Fri;1;1;2016;04:15;131.12;38.81;79.06
Fri;1;1;2016;04:30;130.67;38.72;79.59
Fri;1;1;2016;04:45;132.96;40.62;79.45
Fri;1;1;2016;05:00;127.93;36.18;79.34
Fri;1;1;2016;05:15;131.7;39.71;78.93
Fri;1;1;2016;05:30;134.18;42.08;79.42
Fri;1;1;2016;05:45;129.27;37.77;79.26
Fri;1;1;2016;06:00;130.12;38.17;79.28
Fri;1;1;2016;06:15;129.63;38.8;79.1
Fri;1;1;2016;06:30;131.35;40.23;79.25
Fri;1;1;2016;06:45;133.43;41.22;79.15
Fri;1;1;2016;07:00;132.76;40.7;79.04
Fri;1;1;2016;07:15;131.14;38.79;79.16
Fri;1;1;2016;07:30;134.15;41.34;79.05
Fri;1;1;2016;07:45;133.22;41.8;79.37
Fri;1;1;2016;08:00;132.8;40.32;79.05
Fri;1;1;2016;08:15;132.47;40.29;79.05
Fri;1;1;2016;08:30;132.39;39.93;79.13
Fri;1;1;2016;08:45;132.57;41.04;78.92
Fri;1;1;2016;09:00;108.16;33.63;64.19
Fri;1;1;2016;09:15;154.85;45.2;94.32
Fri;1;1;2016;09:30;131.42;39.51;79.04
Fri;1;1;2016;09:45;132.1;39.23;79.18
Fri;1;1;2016;10:00;134.29;41.17;79.14
Fri;1;1;2016;10:15;134.64;41.62;79.15
Fri;1;1;2016;10:30;131.17;38.28;79.33
Fri;1;1;2016;10:45;130.83;38.17;79.3
Fri;1;1;2016;11:00;133.29;40.66;79.35
Fri;1;1;2016;11:15;135.91;42.98;79.28
Fri;1;1;2016;11:30;134.53;42.46;79.39
Fri;1;1;2016;11:45;131.66;39.82;79.09
Fri;1;1;2016;12:00;131.84;39.9;79.58
