weekday;day;month;year;time;EA+ GERAL CMB (KWh);EA+ AVAC CMB (KWh);EA+ IT CMB (KWh)
Fri;1;1;2016;00:00;24.0;7.13;15.96
Fri;1;1;2016;00:15;24.0;7.09;15.95
Fri;1;1;2016;00:30;24.0;7.1;15.94
Fri;1;1;2016;00:45;24.0;7.13;15.95
Fri;1;1;2016;01:00;24.0;7.13;15.93
Fri;1;1;2016;01:15;24.0;7.14;15.93
Fri;1;1;2016;01:30;24.0;7.14;15.92
Fri;1;1;2016;01:45;24.0;7.1;15.92
Fri;1;1;2016;02:00;25.0;7.1;15.93
Fri;1;1;2016;02:15;24.0;7.1;15.91
Fri;1;1;2016;02:30;24.0;7.13;15.91
Fri;1;1;2016;02:45;24.0;7.14;15.91
Fri;1;1;2016;03:00;24.0;7.13;15.91
Fri;1;1;2016;03:15;24.0;7.13;15.92
Fri;1;1;2016;03:30;24.0;7.13;15.91
Fri;1;1;2016;03:45;24.0;7.13;15.91
Fri;1;1;2016;04:00;24.0;7.14;15.9
Fri;1;1;2016;04:15;24.0;7.15;15.91
Fri;1;1;2016;04:30;24.0;7.15;15.92
Fri;1;1;2016;04:45;25.0;7.16;15.91
Fri;1;1;2016;05:00;24.0;7.17;15.9
Fri;1;1;2016;05:15;24.0;7.18;15.9
Fri;1;1;2016;05:30;24.0;7.17;15.91
Fri;1;1;2016;05:45;24.0;7.19;15.9
Fri;1;1;2016;06:00;24.0;7.17;15.89
Fri;1;1;2016;06:15;24.0;7.16;15.9
Fri;1;1;2016;06:30;24.0;7.17;15.9
Fri;1;1;2016;06:45;24.0;7.17;15.91
Fri;1;1;2016;07:00;25.0;7.16;15.89
Fri;1;1;2016;07:15;24.0;7.15;15.9
Fri;1;1;2016;07:30;24.0;7.12;15.9
Fri;1;1;2016;07:45;24.0;7.11;15.9
Fri;1;1;2016;08:00;24.0;7.12;15.91
Fri;1;1;2016;08:15;24.0;7.15;15.91
Fri;1;1;2016;08:30;24.0;7.17;15.9
Fri;1;1;2016;08:45;24.0;7.15;15.9
Fri;1;1;2016;09:00;24.0;7.18;15.9
Fri;1;1;2016;09:15;24.0;7.16;15.92
Fri;1;1;2016;09:30;24.0;7.17;15.91
Fri;1;1;2016;09:45;25.0;7.18;15.91
Fri;1;1;2016;10:00;24.0;7.21;15.91
Fri;1;1;2016;10:15;24.0;7.25;15.93
Fri;1;1;2016;10:30;24.0;7.26;15.92
Fri;1;1;2016;10:45;24.0;7.21;15.93
Fri;1;1;2016;11:00;25.0;7.2;15.93
Fri;1;1;2016;11:15;24.0;7.2;15.94
Fri;1;1;2016;11:30;24.0;7.22;15.95
Fri;1;1;2016;11:45;24.0;7.24;15.93
Fri;1;1;2016;12:00;24.0;7.25;15.93
Fri;1;1;2016;12:15;25.0;7.27;15.93
Fri;1;1;2016;12:30;24.0;7.27;15.92
Fri;1;1;2016;12:45;24.0;7.25;15.95
Fri;1;1;2016;13:00;24.0;7.24;15.93
Fri;1;1;2016;13:15;24.0;7.23;15.93
Fri;1;1;2016;13:30;25.0;7.23;15.93
Fri;1;1;2016;13:45;24.0;7.24;15.94
Fri;1;1;2016;14:00;24.0;7.22;15.92
Fri;1;1;2016;14:15;24.0;7.22;15.93
Fri;1;1;2016;14:30;24.0;7.21;15.93
Fri;1;1;2016;14:45;25.0;7.24;15.92
Fri;1;1;2016;15:00;24.0;7.23;15.94
Fri;1;1;2016;15:15;24.0;7.21;15.93
Fri;1;1;2016;15:30;24.0;7.21;15.93
Fri;1;1;2016;15:45;24.0;7.21;15.94
Fri;1;1;2016;16:00;24.0;7.24;15.93
Fri;1;1;2016;16:15;24.0;7.26;15.95
Fri;1;1;2016;16:30;24.0;7.2;15.93
Fri;1;1;2016;16:45;25.0;7.24;15.93
Fri;1;1;2016;17:00;24.0;7.23;15.93
Fri;1;1;2016;17:15;24.0;7.21;15.94
Fri;1;1;2016;17:30;24.0;7.18;15.96
Fri;1;1;2016;17:45;24.0;7.17;15.94
Fri;1;1;2016;18:00;25.0;7.18;15.94
Fri;1;1;2016;18:15;24.0;7.18;15.94
Fri;1;1;2016;18:30;24.0;7.18;15.95
Fri;1;1;2016;18:45;24.0;7.18;15.94
Fri;1;1;2016;19:00;24.0;7.17;15.94
Fri;1;1;2016;19:15;25.0;7.16;15.94
Fri;1;1;2016;19:30;24.0;7.15;15.94
Fri;1;1;2016;19:45;24.0;7.15;15.95
Fri;1;1;2016;20:00;24.0;7.14;15.94
Fri;1;1;2016;20:15;24.0;7.14;15.94
Fri;1;1;2016;20:30;24.0;7.14;15.94
Fri;1;1;2016;20:45;24.0;7.15;15.94
Fri;1;1;2016;21:00;24.0;7.14;15.95
Fri;1;1;2016;21:15;25.0;7.12;15.94
Fri;1;1;2016;21:30;24.0;7.14;15.94
