weekday;day;month;year;time;EA+ GERAL FAR (KWh);EA+ AVAC IT FAR (KWh);EA+ IT FAR (KWh)
Fri;1;1;2016;00:00;13.0;3.24;8.69
Fri;1;1;2016;00:15;13.0;3.22;8.67
Fri;1;1;2016;00:30;12.5;3.43;9.66
Fri;1;1;2016;00:45;13.5;3.97;8.71
Fri;1;1;2016;01:00;13.5;4.28;8.67
Fri;1;1;2016;01:15;12.5;3.22;8.62
Fri;1;1;2016;01:30;13.0;3.26;8.67
Fri;1;1;2016;01:45;12.5;3.26;9.69
Fri;1;1;2016;02:00;12.5;3.25;8.67
Fri;1;1;2016;02:15;13.0;3.49;8.67
Fri;1;1;2016;02:30;14.0;4.39;8.67
Fri;1;1;2016;02:45;13.0;3.6;8.65
Fri;1;1;2016;03:00;13.0;3.26;9.69
Fri;1;1;2016;03:15;12.0;3.24;8.64
Fri;1;1;2016;03:30;13.0;3.25;8.66
Fri;1;1;2016;03:45;13.0;3.37;8.67
Fri;1;1;2016;04:00;13.0;3.78;9.66
Fri;1;1;2016;04:15;14.0;4.37;8.68
Fri;1;1;2016;04:30;12.0;3.25;8.67
Fri;1;1;2016;04:45;13.0;3.25;8.68
Fri;1;1;2016;05:00;12.5;3.31;8.99
Fri;1;1;2016;05:15;12.5;3.31;8.99
Fri;1;1;2016;05:30;13.0;3.31;8.99
Fri;1;1;2016;05:45;13.0;4.01;8.69
Fri;1;1;2016;06:00;14.0;4.27;8.65
Fri;1;1;2016;06:15;13.0;3.25;8.66
Fri;1;1;2016;06:30;12.0;3.25;9.67
Fri;1;1;2016;06:45;13.0;3.26;8.67
Fri;1;1;2016;07:00;13.0;3.26;8.65
Fri;1;1;2016;07:15;13.0;3.52;8.69
Fri;1;1;2016;07:30;13.0;4.41;8.66
Fri;1;1;2016;07:45;13.0;3.27;9.67
Fri;1;1;2016;08:00;13.0;3.26;8.63
Fri;1;1;2016;08:15;12.5;3.41;8.66
Fri;1;1;2016;08:30;13.5;4.13;8.65
