weekday;day;month;year;time;EA+ GERAL MAT (KWh);EA+ AVAC IT MAT (KWh);EA+ IT MAT (KWh)
Fri;1;1;2016;00:00;44.0;8.56;37.78
Fri;1;1;2016;00:15;44.0;8.17;37.83
Fri;1;1;2016;00:30;45.0;8.15;38.8
Fri;1;1;2016;00:45;44.0;8.17;37.8
Fri;1;1;2016;01:00;44.0;8.16;37.71
Fri;1;1;2016;01:15;45.0;8.21;37.74
Fri;1;1;2016;01:30;43.0;8.2;38.76
Fri;1;1;2016;01:45;45.0;8.18;37.77
Fri;1;1;2016;02:00;44.0;8.17;37.76
Fri;1;1;2016;02:15;44.0;8.19;38.76
Fri;1;1;2016;02:30;45.0;8.72;37.66
Fri;1;1;2016;02:45;46.0;9.92;37.64
Fri;1;1;2016;03:00;46.0;9.92;37.63
Fri;1;1;2016;03:15;47.0;10.27;39.9
Fri;1;1;2016;03:30;44.0;9.59;36.38
Fri;1;1;2016;03:45;46.0;9.92;37.63
Fri;1;1;2016;04:00;45.0;8.36;38.63
Fri;1;1;2016;04:15;43.0;8.14;37.52
Fri;1;1;2016;04:30;45.0;8.13;37.71
Fri;1;1;2016;04:45;44.0;8.11;38.5
Fri;1;1;2016;05:00;44.0;8.18;37.58
Fri;1;1;2016;05:15;44.0;8.19;37.57
Fri;1;1;2016;05:30;44.0;8.18;37.51
Fri;1;1;2016;05:45;44.0;8.18;38.57
Fri;1;1;2016;06:00;44.0;8.18;37.53
Fri;1;1;2016;06:15;44.0;8.15;37.49
Fri;1;1;2016;06:30;44.0;8.21;38.54
Fri;1;1;2016;06:45;47.0;11.09;37.6
Fri;1;1;2016;07:00;49.0;12.8;37.53
Fri;1;1;2016;07:15;48.0;12.83;37.56
Fri;1;1;2016;07:30;49.0;12.81;38.63
Fri;1;1;2016;07:45;49.0;13.1;37.55
Fri;1;1;2016;08:00;49.0;12.74;37.65
Fri;1;1;2016;08:15;50.0;13.77;38.74
Fri;1;1;2016;08:30;50.0;13.88;37.84
Fri;1;1;2016;08:45;49.0;13.21;37.68
Fri;1;1;2016;09:00;51.0;14.88;38.65
Fri;1;1;2016;09:15;49.0;13.18;37.87
Fri;1;1;2016;09:30;51.0;14.64;37.88
Fri;1;1;2016;09:45;48.0;12.54;38.72
Fri;1;1;2016;10:00;52.0;15.11;37.86
Fri;1;1;2016;10:15;50.0;14.17;37.84
Fri;1;1;2016;10:30;52.0;15.2;38.93
Fri;1;1;2016;10:45;51.0;15.34;37.82
Fri;1;1;2016;11:00;52.0;15.35;37.84
Fri;1;1;2016;11:15;52.0;15.36;39.04
Fri;1;1;2016;11:30;51.0;15.33;38.04
Fri;1;1;2016;11:45;52.0;15.34;37.9
Fri;1;1;2016;12:00;51.0;15.35;39.05
Fri;1;1;2016;12:15;53.0;16.24;38.06
Fri;1;1;2016;12:30;53.0;16.24;38.03
Fri;1;1;2016;12:45;52.0;16.32;38.95
Fri;1;1;2016;13:00;53.0;16.31;37.91
Fri;1;1;2016;13:15;52.0;15.75;38.05
Fri;1;1;2016;13:30;52.0;15.23;39.09
Fri;1;1;2016;13:45;51.0;15.48;37.88
Fri;1;1;2016;14:00;51.0;15.06;37.9
Fri;1;1;2016;14:15;52.0;15.51;39.03
Fri;1;1;2016;14:30;52.0;15.49;38.07
Fri;1;1;2016;14:45;52.0;15.53;37.87
Fri;1;1;2016;15:00;51.0;15.16;39.1
Fri;1;1;2016;15:15;50.0;13.53;38.03
Fri;1;1;2016;15:30;49.0;12.79;39.02
Fri;1;1;2016;15:45;49.0;12.06;37.85
Fri;1;1;2016;16:00;48.0;12.4;38.08
Fri;1;1;2016;16:15;48.0;11.65;39.13
Fri;1;1;2016;16:30;49.0;12.74;37.86
Fri;1;1;2016;16:45;48.0;11.64;37.94
Fri;1;1;2016;17:00;49.0;12.87;38.89
Fri;1;1;2016;17:15;48.0;11.63;37.96
Fri;1;1;2016;17:30;49.0;13.1;37.97
