weekday;day;month;year;time;EA+ GERAL PDG (KWh);EA+ AVAC PDG (KWh);EA+ IT PDG (KWh)
Fri;1;1;2016;00:00;6.0;1.95;3.77
Fri;1;1;2016;00:15;5.0;1.96;3.76
Fri;1;1;2016;00:30;6.0;2.23;3.77
Fri;1;1;2016;00:45;6.0;2.33;3.77
Fri;1;1;2016;01:00;6.0;2.21;3.78
Fri;1;1;2016;01:15;6.0;2.12;3.76
Fri;1;1;2016;01:30;6.0;1.73;3.77
Fri;1;1;2016;01:45;6.0;2.73;3.77
Fri;1;1;2016;02:00;5.0;0.76;3.77
Fri;1;1;2016;02:15;7.0;3.13;3.77
Fri;1;1;2016;02:30;5.0;1.31;3.77
Fri;1;1;2016;02:45;7.0;2.78;3.76
Fri;1;1;2016;03:00;5.0;1.8;3.77
Fri;1;1;2016;03:15;6.0;2.19;3.77
Fri;1;1;2016;03:30;6.0;2.23;3.76
Fri;1;1;2016;03:45;6.0;1.54;3.77
Fri;1;1;2016;04:00;6.0;2.13;3.77
Fri;1;1;2016;04:15;6.0;2.97;3.76
Fri;1;1;2016;04:30;5.0;1.23;3.76
Fri;1;1;2016;04:45;6.0;2.33;3.77
Fri;1;1;2016;05:00;6.0;1.37;3.77
Fri;1;1;2016;05:15;6.0;2.91;3.76
Fri;1;1;2016;05:30;7.0;2.55;3.77
Fri;1;1;2016;05:45;4.0;0.86;3.77
Fri;1;1;2016;06:00;7.0;2.69;3.76
Fri;1;1;2016;06:15;5.0;1.9;3.77
Fri;1;1;2016;06:30;6.0;1.76;3.77
Fri;1;1;2016;06:45;6.0;2.48;3.77
Fri;1;1;2016;07:00;6.0;1.97;3.76
Fri;1;1;2016;07:15;6.0;2.48;3.77
Fri;1;1;2016;07:30;6.0;2.04;3.77
Fri;1;1;2016;07:45;5.0;0.81;3.76
Fri;1;1;2016;08:00;7.0;3.27;3.77
Fri;1;1;2016;08:15;5.0;1.24;3.76
Fri;1;1;2016;08:30;7.0;3.18;3.77
Fri;1;1;2016;08:45;4.0;0.75;3.76
Fri;1;1;2016;09:00;7.0;2.69;3.77
Fri;1;1;2016;09:15;5.0;1.91;3.76
Fri;1;1;2016;09:30;6.0;1.95;3.76
Fri;1;1;2016;09:45;7.0;2.8;3.76
