weekday;day;month;year;time;EA+ GERAL PTM (KWh);EA+ AVAC IT PTM (KWh);EA+ IT PTM (KWh)
Fri;1;1;2016;00:00;4.0;0.9;2.18
Fri;1;1;2016;00:15;5.0;1.76;2.17
Fri;1;1;2016;00:30;5.0;0.95;2.18
Fri;1;1;2016;00:45;4.0;1.38;2.17
Fri;1;1;2016;01:00;5.0;1.57;2.18
Fri;1;1;2016;01:15;5.0;0.92;2.17
Fri;1;1;2016;01:30;5.0;1.47;2.18
Fri;1;1;2016;01:45;5.0;1.54;2.2
Fri;1;1;2016;02:00;4.0;0.84;2.2
Fri;1;1;2016;02:15;5.0;1.57;2.17
Fri;1;1;2016;02:30;5.0;1.31;2.18
Fri;1;1;2016;02:45;4.0;1.08;2.17
Fri;1;1;2016;03:00;5.0;1.49;2.18
Fri;1;1;2016;03:15;5.0;0.96;2.17
Fri;1;1;2016;03:30;5.0;1.35;2.17
Fri;1;1;2016;03:45;4.0;1.29;2.17
Fri;1;1;2016;04:00;5.0;1.03;2.17
Fri;1;1;2016;04:15;5.0;1.53;2.17
Fri;1;1;2016;04:30;5.0;1.23;2.18
Fri;1;1;2016;04:45;4.0;1.02;2.16
Fri;1;1;2016;05:00;5.0;1.6;2.17
Fri;1;1;2016;05:15;4.0;0.91;2.17
Fri;1;1;2016;05:30;5.0;1.47;2.16
Fri;1;1;2016;05:45;5.0;1.39;2.18
Fri;1;1;2016;06:00;5.0;0.93;2.17
Fri;1;1;2016;06:15;4.0;1.29;2.18
Fri;1;1;2016;06:30;5.0;1.34;2.17
Fri;1;1;2016;06:45;5.0;1.05;2.17
Fri;1;1;2016;07:00;4.0;1.47;2.17
Fri;1;1;2016;07:15;5.0;0.82;2.17
Fri;1;1;2016;07:30;5.0;1.75;2.16
Fri;1;1;2016;07:45;4.0;0.73;2.17
Fri;1;1;2016;08:00;5.0;1.64;2.17
Fri;1;1;2016;08:15;4.0;1.41;2.17
Fri;1;1;2016;08:30;4.0;0.92;2.18
Fri;1;1;2016;08:45;5.0;1.4;2.17
Fri;1;1;2016;09:00;5.0;1.37;2.17
Fri;1;1;2016;09:15;4.0;1.03;2.18
Fri;1;1;2016;09:30;5.0;1.55;2.17
Fri;1;1;2016;09:45;4.0;1.21;2.18
Fri;1;1;2016;10:00;5.0;1.1;2.17
Fri;1;1;2016;10:15;5.0;1.72;2.17
Fri;1;1;2016;10:30;4.0;1.0;2.17
Fri;1;1;2016;10:45;5.0;1.27;2.18
Fri;1;1;2016;11:00;5.0;1.74;2.17
Fri;1;1;2016;11:15;4.0;0.98;2.17
Fri;1;1;2016;11:30;5.0;1.47;2.18
Fri;1;1;2016;11:45;4.0;1.35;2.17
Fri;1;1;2016;12:00;4.67;1.36;2.17
Fri;1;1;2016;12:15;4.67;1.36;2.17
Fri;1;1;2016;12:30;4.67;1.36;2.17
Fri;1;1;2016;12:45;5.0;1.33;2.18
Fri;1;1;2016;13:00;5.0;1.57;2.18
Fri;1;1;2016;13:15;4.0;1.25;2.19
Fri;1;1;2016;13:30;5.0;1.38;2.17
Fri;1;1;2016;13:45;5.0;1.83;2.17
Fri;1;1;2016;14:00;4.0;1.14;2.18
Fri;1;1;2016;14:15;5.0;1.38;2.17
Fri;1;1;2016;14:30;5.0;1.82;2.17
Fri;1;1;2016;14:45;5.0;1.25;2.17
Fri;1;1;2016;15:00;4.0;1.3;2.17
Fri;1;1;2016;15:15;5.0;1.93;2.17
Fri;1;1;2016;15:30;5.0;1.4;2.17
Fri;1;1;2016;15:45;5.0;1.41;2.17
Fri;1;1;2016;16:00;4.0;1.36;2.18
Fri;1;1;2016;16:15;5.0;1.83;2.18
Fri;1;1;2016;16:30;5.0;1.53;2.17
Fri;1;1;2016;16:45;5.0;1.22;2.17
Fri;1;1;2016;17:00;5.0;1.95;2.18
Fri;1;1;2016;17:15;5.0;1.09;2.17
Fri;1;1;2016;17:30;5.0;1.92;2.17
Fri;1;1;2016;17:45;5.0;1.52;2.17
Fri;1;1;2016;18:00;5.0;1.51;2.18
Fri;1;1;2016;18:15;5.0;1.38;2.17
Fri;1;1;2016;18:30;5.0;1.91;2.18
Fri;1;1;2016;18:45;5.0;1.04;2.17
Fri;1;1;2016;19:00;5.0;1.78;2.18
Fri;1;1;2016;19:15;5.0;1.47;2.17
Fri;1;1;2016;19:30;5.0;1.5;2.18
Fri;1;1;2016;19:45;4.0;1.28;2.18
Fri;1;1;2016;20:00;6.0;1.78;2.17
Fri;1;1;2016;20:15;5.0;1.46;2.19
Fri;1;1;2016;20:30;5.0;1.81;2.18
Fri;1;1;2016;20:45;5.0;1.18;2.18
Fri;1;1;2016;21:00;4.0;1.24;2.18
Fri;1;1;2016;21:15;6.0;1.91;2.17
