weekday;day;month;year;time;EA+ Geral (kWh);EA+ AVAC IT SNT (KWh);EA+ IT SNT (KWh)
Fri;1;1;2016;00:00;30.740000000000002;3.47;24.63
Fri;1;1;2016;00:15;30.76;3.49;24.67
Fri;1;1;2016;00:30;30.75;3.49;24.63
Fri;1;1;2016;00:45;30.229999999999997;2.98;24.64
Fri;1;1;2016;01:00;30.15;2.93;24.61
Fri;1;1;2016;01:15;30.189999999999998;2.94;24.64
Fri;1;1;2016;01:30;30.159999999999997;2.92;24.58
Fri;1;1;2016;01:45;30.21;2.93;24.69
Fri;1;1;2016;02:00;30.08;2.92;24.58
Fri;1;1;2016;02:15;30.15;2.93;24.6
Fri;1;1;2016;02:30;30.119999999999997;2.93;24.57
Fri;1;1;2016;02:45;30.18;2.94;24.61
Fri;1;1;2016;03:00;30.12;2.93;24.58
Fri;1;1;2016;03:15;30.130000000000003;2.93;24.61
Fri;1;1;2016;03:30;30.13;2.92;24.6
Fri;1;1;2016;03:45;30.14;2.92;24.6
Fri;1;1;2016;04:00;30.16;2.91;24.59
Fri;1;1;2016;04:15;30.07;2.9;24.59
Fri;1;1;2016;04:30;30.03;2.88;24.55
Fri;1;1;2016;04:45;30.09;2.9;24.6
Fri;1;1;2016;05:00;30.08;2.89;24.61
Fri;1;1;2016;05:15;30.060000000000002;2.89;24.62
Fri;1;1;2016;05:30;30.05;2.89;24.61
Fri;1;1;2016;05:45;30.07;2.89;24.61
Fri;1;1;2016;06:00;29.979999999999997;2.88;24.52
Fri;1;1;2016;06:15;30.09;2.93;24.57
Fri;1;1;2016;06:30;30.1;2.92;24.57
Fri;1;1;2016;06:45;30.119999999999997;2.92;24.62
Fri;1;1;2016;07:00;30.12;2.93;24.56
Fri;1;1;2016;07:15;30.2;2.94;24.6
Fri;1;1;2016;07:30;30.240000000000002;2.94;24.59
Fri;1;1;2016;07:45;29.89;2.92;24.58
Fri;1;1;2016;08:00;29.82;2.9;24.6
Fri;1;1;2016;08:15;29.85;2.9;24.6
Fri;1;1;2016;08:30;29.869999999999997;2.9;24.61
Fri;1;1;2016;08:45;29.849999999999998;2.89;24.6
