weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;22.22;I;vazio;0.0479;0.0298;1.06;0.66;1.73
Fri;1.0;1.0;2016.0;00:15;21.91;I;vazio;0.0479;0.0298;1.05;0.65;1.7
Fri;1.0;1.0;2016.0;00:30;24.14;I;vazio;0.0479;0.0298;1.16;0.72;1.88
Fri;1.0;1.0;2016.0;00:45;24.0;I;vazio;0.0479;0.0298;1.15;0.72;1.86
Fri;1.0;1.0;2016.0;01:00;22.08;I;vazio;0.0479;0.0298;1.06;0.66;1.72
Fri;1.0;1.0;2016.0;01:15;24.65;I;vazio;0.0479;0.0298;1.18;0.73;1.92
Fri;1.0;1.0;2016.0;01:30;22.22;I;vazio;0.0479;0.0298;1.06;0.66;1.73
Fri;1.0;1.0;2016.0;01:45;23.09;I;vazio;0.0479;0.0298;1.11;0.69;1.79
Fri;1.0;1.0;2016.0;02:00;24.68;I;super-vazio;0.0464;0.0273;1.15;0.67;1.82
Fri;1.0;1.0;2016.0;02:15;22.78;I;super-vazio;0.0464;0.0273;1.06;0.62;1.68
Fri;1.0;1.0;2016.0;02:30;22.16;I;super-vazio;0.0464;0.0273;1.03;0.6;1.63
Fri;1.0;1.0;2016.0;02:45;21.99;I;super-vazio;0.0464;0.0273;1.02;0.6;1.62
Fri;1.0;1.0;2016.0;03:00;21.65;I;super-vazio;0.0464;0.0273;1.0;0.59;1.6
Fri;1.0;1.0;2016.0;03:15;23.8;I;super-vazio;0.0464;0.0273;1.1;0.65;1.75
Fri;1.0;1.0;2016.0;03:30;22.93;I;super-vazio;0.0464;0.0273;1.06;0.63;1.69
Fri;1.0;1.0;2016.0;03:45;22.55;I;super-vazio;0.0464;0.0273;1.05;0.62;1.66
Fri;1.0;1.0;2016.0;04:00;24.61;I;super-vazio;0.0464;0.0273;1.14;0.67;1.81
Fri;1.0;1.0;2016.0;04:15;23.03;I;super-vazio;0.0464;0.0273;1.07;0.63;1.7
Fri;1.0;1.0;2016.0;04:30;22.1;I;super-vazio;0.0464;0.0273;1.03;0.6;1.63
Fri;1.0;1.0;2016.0;04:45;22.7;I;super-vazio;0.0464;0.0273;1.05;0.62;1.67
Fri;1.0;1.0;2016.0;05:00;24.09;I;super-vazio;0.0464;0.0273;1.12;0.66;1.78
Fri;1.0;1.0;2016.0;05:15;23.57;I;super-vazio;0.0464;0.0273;1.09;0.64;1.74
Fri;1.0;1.0;2016.0;05:30;21.25;I;super-vazio;0.0464;0.0273;0.99;0.58;1.57
Fri;1.0;1.0;2016.0;05:45;25.1;I;super-vazio;0.0464;0.0273;1.16;0.69;1.85
Fri;1.0;1.0;2016.0;06:00;20.84;I;vazio;0.0479;0.0298;1.0;0.62;1.62
Fri;1.0;1.0;2016.0;06:15;22.63;I;vazio;0.0479;0.0298;1.08;0.67;1.76
Fri;1.0;1.0;2016.0;06:30;22.65;I;vazio;0.0479;0.0298;1.08;0.67;1.76
Fri;1.0;1.0;2016.0;06:45;24.06;I;vazio;0.0479;0.0298;1.15;0.72;1.87
Fri;1.0;1.0;2016.0;07:00;22.32;I;vazio;0.0479;0.0298;1.07;0.67;1.73
Fri;1.0;1.0;2016.0;07:15;21.25;I;vazio;0.0479;0.0298;1.02;0.63;1.65
Fri;1.0;1.0;2016.0;07:30;25.19;I;vazio;0.0479;0.0298;1.21;0.75;1.96
Fri;1.0;1.0;2016.0;07:45;23.24;I;vazio;0.0479;0.0298;1.11;0.69;1.81
Fri;1.0;1.0;2016.0;08:00;23.47;I;cheia;0.0663;0.0573;1.56;1.34;2.9
Fri;1.0;1.0;2016.0;08:15;22.06;I;cheia;0.0663;0.0573;1.46;1.26;2.73
Fri;1.0;1.0;2016.0;08:30;1.79;I;cheia;0.0663;0.0573;0.12;0.1;0.22
Fri;1.0;1.0;2016.0;08:45;0.84;I;cheia;0.0663;0.0573;0.06;0.05;0.1
Fri;1.0;1.0;2016.0;09:00;66.88;I;ponta;0.0696;0.0663;4.65;4.43;9.09
Fri;1.0;1.0;2016.0;09:15;22.66;I;ponta;0.0696;0.0663;1.58;1.5;3.08
Fri;1.0;1.0;2016.0;09:30;21.78;I;ponta;0.0696;0.0663;1.52;1.44;2.96
Fri;1.0;1.0;2016.0;09:45;23.36;I;ponta;0.0696;0.0663;1.63;1.55;3.17
Fri;1.0;1.0;2016.0;10:00;23.18;I;ponta;0.0696;0.0663;1.61;1.54;3.15
Fri;1.0;1.0;2016.0;10:15;21.4;I;ponta;0.0696;0.0663;1.49;1.42;2.91
Fri;1.0;1.0;2016.0;10:30;22.81;I;cheia;0.0663;0.0573;1.51;1.31;2.82
Fri;1.0;1.0;2016.0;10:45;24.67;I;cheia;0.0663;0.0573;1.64;1.41;3.05
Fri;1.0;1.0;2016.0;11:00;21.57;I;cheia;0.0663;0.0573;1.43;1.24;2.67
Fri;1.0;1.0;2016.0;11:15;24.84;I;cheia;0.0663;0.0573;1.65;1.42;3.07
Fri;1.0;1.0;2016.0;11:30;24.03;I;cheia;0.0663;0.0573;1.59;1.38;2.97
Fri;1.0;1.0;2016.0;11:45;22.92;I;cheia;0.0663;0.0573;1.52;1.31;2.83
Fri;1.0;1.0;2016.0;12:00;23.2;I;cheia;0.0663;0.0573;1.54;1.33;2.87
Fri;1.0;1.0;2016.0;12:15;21.45;I;cheia;0.0663;0.0573;1.42;1.23;2.65
Fri;1.0;1.0;2016.0;12:30;22.26;I;cheia;0.0663;0.0573;1.48;1.28;2.75
Fri;1.0;1.0;2016.0;12:45;23.96;I;cheia;0.0663;0.0573;1.59;1.37;2.96
Fri;1.0;1.0;2016.0;13:00;23.17;I;cheia;0.0663;0.0573;1.54;1.33;2.86
Fri;1.0;1.0;2016.0;13:15;22.42;I;cheia;0.0663;0.0573;1.49;1.28;2.77
Fri;1.0;1.0;2016.0;13:30;22.26;I;cheia;0.0663;0.0573;1.48;1.28;2.75
Fri;1.0;1.0;2016.0;13:45;22.51;I;cheia;0.0663;0.0573;1.49;1.29;2.78
Fri;1.0;1.0;2016.0;14:00;25.85;I;cheia;0.0663;0.0573;1.71;1.48;3.2
Fri;1.0;1.0;2016.0;14:15;23.3;I;cheia;0.0663;0.0573;1.54;1.34;2.88
Fri;1.0;1.0;2016.0;14:30;23.05;I;cheia;0.0663;0.0573;1.53;1.32;2.85
Fri;1.0;1.0;2016.0;14:45;24.16;I;cheia;0.0663;0.0573;1.6;1.38;2.99
Fri;1.0;1.0;2016.0;15:00;22.46;I;cheia;0.0663;0.0573;1.49;1.29;2.78
Fri;1.0;1.0;2016.0;15:15;24.55;I;cheia;0.0663;0.0573;1.63;1.41;3.03
Fri;1.0;1.0;2016.0;15:30;22.98;I;cheia;0.0663;0.0573;1.52;1.32;2.84
Fri;1.0;1.0;2016.0;15:45;22.81;I;cheia;0.0663;0.0573;1.51;1.31;2.82
Fri;1.0;1.0;2016.0;16:00;24.71;I;cheia;0.0663;0.0573;1.64;1.42;3.05
Fri;1.0;1.0;2016.0;16:15;21.51;I;cheia;0.0663;0.0573;1.43;1.23;2.66
Fri;1.0;1.0;2016.0;16:30;24.69;I;cheia;0.0663;0.0573;1.64;1.41;3.05
Fri;1.0;1.0;2016.0;16:45;22.88;I;cheia;0.0663;0.0573;1.52;1.31;2.83
Fri;1.0;1.0;2016.0;17:00;22.18;I;cheia;0.0663;0.0573;1.47;1.27;2.74
Fri;1.0;1.0;2016.0;17:15;21.44;I;cheia;0.0663;0.0573;1.42;1.23;2.65
Fri;1.0;1.0;2016.0;17:30;22.14;I;cheia;0.0663;0.0573;1.47;1.27;2.74
Fri;1.0;1.0;2016.0;17:45;22.16;I;cheia;0.0663;0.0573;1.47;1.27;2.74
Fri;1.0;1.0;2016.0;18:00;22.76;I;ponta;0.0696;0.0663;1.58;1.51;3.09
Fri;1.0;1.0;2016.0;18:15;23.19;I;ponta;0.0696;0.0663;1.61;1.54;3.15
Fri;1.0;1.0;2016.0;18:30;22.73;I;ponta;0.0696;0.0663;1.58;1.51;3.09
Fri;1.0;1.0;2016.0;18:45;21.42;I;ponta;0.0696;0.0663;1.49;1.42;2.91
Fri;1.0;1.0;2016.0;19:00;22.75;I;ponta;0.0696;0.0663;1.58;1.51;3.09
Fri;1.0;1.0;2016.0;19:15;22.79;I;ponta;0.0696;0.0663;1.59;1.51;3.1
Fri;1.0;1.0;2016.0;19:30;24.36;I;ponta;0.0696;0.0663;1.7;1.62;3.31
Fri;1.0;1.0;2016.0;19:45;22.92;I;ponta;0.0696;0.0663;1.6;1.52;3.11
Fri;1.0;1.0;2016.0;20:00;21.67;I;ponta;0.0696;0.0663;1.51;1.44;2.94
Fri;1.0;1.0;2016.0;20:15;21.63;I;ponta;0.0696;0.0663;1.51;1.43;2.94
Fri;1.0;1.0;2016.0;20:30;21.98;I;cheia;0.0663;0.0573;1.46;1.26;2.72
Fri;1.0;1.0;2016.0;20:45;22.15;I;cheia;0.0663;0.0573;1.47;1.27;2.74
Fri;1.0;1.0;2016.0;21:00;23.77;I;cheia;0.0663;0.0573;1.58;1.36;2.94
Fri;1.0;1.0;2016.0;21:15;20.86;I;cheia;0.0663;0.0573;1.38;1.2;2.58
Fri;1.0;1.0;2016.0;21:30;21.55;I;cheia;0.0663;0.0573;1.43;1.23;2.66
Fri;1.0;1.0;2016.0;21:45;22.14;I;cheia;0.0663;0.0573;1.47;1.27;2.74
Fri;1.0;1.0;2016.0;22:00;22.85;I;vazio;0.0479;0.0298;1.09;0.68;1.78
Fri;1.0;1.0;2016.0;22:15;23.35;I;vazio;0.0479;0.0298;1.12;0.7;1.81
Fri;1.0;1.0;2016.0;22:30;22.74;I;vazio;0.0479;0.0298;1.09;0.68;1.77
Fri;1.0;1.0;2016.0;22:45;21.76;I;vazio;0.0479;0.0298;1.04;0.65;1.69
Fri;1.0;1.0;2016.0;23:00;24.04;I;vazio;0.0479;0.0298;1.15;0.72;1.87
