weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;26.3;I;vazio;0.045;0.0225;1.18;0.59;1.78
Fri;1.0;1.0;2016.0;00:15;25.37;I;vazio;0.045;0.0225;1.14;0.57;1.71
Fri;1.0;1.0;2016.0;00:30;24.86;I;vazio;0.045;0.0225;1.12;0.56;1.68
Fri;1.0;1.0;2016.0;00:45;25.4;I;vazio;0.045;0.0225;1.14;0.57;1.71
Fri;1.0;1.0;2016.0;01:00;24.94;I;vazio;0.045;0.0225;1.12;0.56;1.68
Fri;1.0;1.0;2016.0;01:15;30.14;I;vazio;0.045;0.0225;1.36;0.68;2.03
Fri;1.0;1.0;2016.0;01:30;25.5;I;vazio;0.045;0.0225;1.15;0.57;1.72
Fri;1.0;1.0;2016.0;01:45;25.51;I;vazio;0.045;0.0225;1.15;0.57;1.72
Fri;1.0;1.0;2016.0;02:00;24.74;I;super-vazio;0.0444;0.0217;1.1;0.54;1.64
Fri;1.0;1.0;2016.0;02:15;25.58;I;super-vazio;0.0444;0.0217;1.14;0.56;1.69
Fri;1.0;1.0;2016.0;02:30;27.15;I;super-vazio;0.0444;0.0217;1.21;0.59;1.79
Fri;1.0;1.0;2016.0;02:45;25.61;I;super-vazio;0.0444;0.0217;1.14;0.56;1.69
Fri;1.0;1.0;2016.0;03:00;24.81;I;super-vazio;0.0444;0.0217;1.1;0.54;1.64
Fri;1.0;1.0;2016.0;03:15;25.32;I;super-vazio;0.0444;0.0217;1.12;0.55;1.67
Fri;1.0;1.0;2016.0;03:30;26.06;I;super-vazio;0.0444;0.0217;1.16;0.57;1.72
Fri;1.0;1.0;2016.0;03:45;27.57;I;super-vazio;0.0444;0.0217;1.22;0.6;1.82
Fri;1.0;1.0;2016.0;04:00;24.88;I;super-vazio;0.0444;0.0217;1.1;0.54;1.64
Fri;1.0;1.0;2016.0;04:15;25.21;I;super-vazio;0.0444;0.0217;1.12;0.55;1.67
Fri;1.0;1.0;2016.0;04:30;28.59;I;super-vazio;0.0444;0.0217;1.27;0.62;1.89
Fri;1.0;1.0;2016.0;04:45;25.06;I;super-vazio;0.0444;0.0217;1.11;0.54;1.66
Fri;1.0;1.0;2016.0;05:00;25.1;I;super-vazio;0.0444;0.0217;1.11;0.54;1.66
Fri;1.0;1.0;2016.0;05:15;27.0;I;super-vazio;0.0444;0.0217;1.2;0.59;1.78
Fri;1.0;1.0;2016.0;05:30;27.49;I;super-vazio;0.0444;0.0217;1.22;0.6;1.82
Fri;1.0;1.0;2016.0;05:45;24.77;I;super-vazio;0.0444;0.0217;1.1;0.54;1.64
Fri;1.0;1.0;2016.0;06:00;25.44;I;vazio;0.045;0.0225;1.14;0.57;1.72
Fri;1.0;1.0;2016.0;06:15;25.15;I;vazio;0.045;0.0225;1.13;0.57;1.7
Fri;1.0;1.0;2016.0;06:30;29.5;I;vazio;0.045;0.0225;1.33;0.66;1.99
Fri;1.0;1.0;2016.0;06:45;24.56;I;vazio;0.045;0.0225;1.11;0.55;1.66
Fri;1.0;1.0;2016.0;07:00;26.21;I;cheia;0.0605;0.0409;1.59;1.07;2.66
Fri;1.0;1.0;2016.0;07:15;27.26;I;cheia;0.0605;0.0409;1.65;1.11;2.76
Fri;1.0;1.0;2016.0;07:30;26.22;I;cheia;0.0605;0.0409;1.59;1.07;2.66
Fri;1.0;1.0;2016.0;07:45;25.49;I;cheia;0.0605;0.0409;1.54;1.04;2.58
Fri;1.0;1.0;2016.0;08:00;26.25;I;cheia;0.0605;0.0409;1.59;1.07;2.66
Fri;1.0;1.0;2016.0;08:15;28.03;I;cheia;0.0605;0.0409;1.7;1.15;2.84
Fri;1.0;1.0;2016.0;08:30;28.25;I;cheia;0.0605;0.0409;1.71;1.16;2.86
Fri;1.0;1.0;2016.0;08:45;25.97;I;cheia;0.0605;0.0409;1.57;1.06;2.63
Fri;1.0;1.0;2016.0;09:00;25.9;I;cheia;0.0605;0.0409;1.57;1.06;2.63
Fri;1.0;1.0;2016.0;09:15;28.25;I;cheia;0.0605;0.0409;1.71;1.16;2.86
Fri;1.0;1.0;2016.0;09:30;25.31;I;ponta;0.0638;0.0473;1.61;1.2;2.81
Fri;1.0;1.0;2016.0;09:45;25.68;I;ponta;0.0638;0.0473;1.64;1.21;2.85
Fri;1.0;1.0;2016.0;10:00;25.39;I;ponta;0.0638;0.0473;1.62;1.2;2.82
Fri;1.0;1.0;2016.0;10:15;28.98;I;ponta;0.0638;0.0473;1.85;1.37;3.22
Fri;1.0;1.0;2016.0;10:30;25.08;I;ponta;0.0638;0.0473;1.6;1.19;2.79
Fri;1.0;1.0;2016.0;10:45;25.97;I;ponta;0.0638;0.0473;1.66;1.23;2.89
Fri;1.0;1.0;2016.0;11:00;30.56;I;ponta;0.0638;0.0473;1.95;1.45;3.4
Fri;1.0;1.0;2016.0;11:15;26.25;I;ponta;0.0638;0.0473;1.67;1.24;2.92
Fri;1.0;1.0;2016.0;11:30;25.29;I;ponta;0.0638;0.0473;1.61;1.2;2.81
Fri;1.0;1.0;2016.0;11:45;25.68;I;ponta;0.0638;0.0473;1.64;1.21;2.85
Fri;1.0;1.0;2016.0;12:00;30.6;I;cheia;0.0605;0.0409;1.85;1.25;3.1
Fri;1.0;1.0;2016.0;12:15;26.7;I;cheia;0.0605;0.0409;1.62;1.09;2.71
Fri;1.0;1.0;2016.0;12:30;26.04;I;cheia;0.0605;0.0409;1.58;1.07;2.64
Fri;1.0;1.0;2016.0;12:45;25.51;I;cheia;0.0605;0.0409;1.54;1.04;2.59
Fri;1.0;1.0;2016.0;13:00;31.74;I;cheia;0.0605;0.0409;1.92;1.3;3.22
Fri;1.0;1.0;2016.0;13:15;27.1;I;cheia;0.0605;0.0409;1.64;1.11;2.75
Fri;1.0;1.0;2016.0;13:30;26.43;I;cheia;0.0605;0.0409;1.6;1.08;2.68
Fri;1.0;1.0;2016.0;13:45;29.13;I;cheia;0.0605;0.0409;1.76;1.19;2.95
Fri;1.0;1.0;2016.0;14:00;28.52;I;cheia;0.0605;0.0409;1.73;1.17;2.89
Fri;1.0;1.0;2016.0;14:15;25.13;I;cheia;0.0605;0.0409;1.52;1.03;2.55
Fri;1.0;1.0;2016.0;14:30;26.27;I;cheia;0.0605;0.0409;1.59;1.07;2.66
Fri;1.0;1.0;2016.0;14:45;29.68;I;cheia;0.0605;0.0409;1.8;1.21;3.01
Fri;1.0;1.0;2016.0;15:00;27.48;I;cheia;0.0605;0.0409;1.66;1.12;2.79
Fri;1.0;1.0;2016.0;15:15;26.18;I;cheia;0.0605;0.0409;1.58;1.07;2.65
Fri;1.0;1.0;2016.0;15:30;25.9;I;cheia;0.0605;0.0409;1.57;1.06;2.63
Fri;1.0;1.0;2016.0;15:45;25.28;I;cheia;0.0605;0.0409;1.53;1.03;2.56
Fri;1.0;1.0;2016.0;16:00;26.16;I;cheia;0.0605;0.0409;1.58;1.07;2.65
Fri;1.0;1.0;2016.0;16:15;30.76;I;cheia;0.0605;0.0409;1.86;1.26;3.12
Fri;1.0;1.0;2016.0;16:30;25.58;I;cheia;0.0605;0.0409;1.55;1.05;2.59
Fri;1.0;1.0;2016.0;16:45;25.67;I;cheia;0.0605;0.0409;1.55;1.05;2.6
Fri;1.0;1.0;2016.0;17:00;30.05;I;cheia;0.0605;0.0409;1.82;1.23;3.05
Fri;1.0;1.0;2016.0;17:15;25.8;I;cheia;0.0605;0.0409;1.56;1.06;2.62
Fri;1.0;1.0;2016.0;17:30;26.85;I;cheia;0.0605;0.0409;1.62;1.1;2.72
Fri;1.0;1.0;2016.0;17:45;27.15;I;cheia;0.0605;0.0409;1.64;1.11;2.75
Fri;1.0;1.0;2016.0;18:00;25.09;I;cheia;0.0605;0.0409;1.52;1.03;2.54
Fri;1.0;1.0;2016.0;18:15;25.46;I;cheia;0.0605;0.0409;1.54;1.04;2.58
Fri;1.0;1.0;2016.0;18:30;27.22;I;ponta;0.0638;0.0473;1.74;1.29;3.02
Fri;1.0;1.0;2016.0;18:45;25.75;I;ponta;0.0638;0.0473;1.64;1.22;2.86
Fri;1.0;1.0;2016.0;19:00;24.98;I;ponta;0.0638;0.0473;1.59;1.18;2.78
Fri;1.0;1.0;2016.0;19:15;25.32;I;ponta;0.0638;0.0473;1.62;1.2;2.81
Fri;1.0;1.0;2016.0;19:30;25.9;I;ponta;0.0638;0.0473;1.65;1.23;2.88
Fri;1.0;1.0;2016.0;19:45;30.35;I;ponta;0.0638;0.0473;1.94;1.44;3.37
Fri;1.0;1.0;2016.0;20:00;25.16;I;ponta;0.0638;0.0473;1.61;1.19;2.8
Fri;1.0;1.0;2016.0;20:15;24.99;I;ponta;0.0638;0.0473;1.59;1.18;2.78
Fri;1.0;1.0;2016.0;20:30;25.28;I;ponta;0.0638;0.0473;1.61;1.2;2.81
