weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;63.04;I;vazio;0.045;0.0225;2.84;1.42;4.26
Fri;1.0;1.0;2016.0;00:15;65.44;I;vazio;0.045;0.0225;2.94;1.47;4.42
Fri;1.0;1.0;2016.0;00:30;70.03;I;vazio;0.045;0.0225;3.15;1.58;4.73
Fri;1.0;1.0;2016.0;00:45;69.99;I;vazio;0.045;0.0225;3.15;1.57;4.72
Fri;1.0;1.0;2016.0;01:00;70.01;I;vazio;0.045;0.0225;3.15;1.58;4.73
Fri;1.0;1.0;2016.0;01:15;69.99;I;vazio;0.045;0.0225;3.15;1.57;4.72
Fri;1.0;1.0;2016.0;01:30;69.99;I;vazio;0.045;0.0225;3.15;1.57;4.72
Fri;1.0;1.0;2016.0;01:45;69.97;I;vazio;0.045;0.0225;3.15;1.57;4.72
Fri;1.0;1.0;2016.0;02:00;69.86;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;02:15;69.89;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;02:30;69.89;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;02:45;69.87;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;03:00;69.89;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;03:15;69.79;I;super-vazio;0.0444;0.0217;3.1;1.51;4.61
Fri;1.0;1.0;2016.0;03:30;69.82;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;03:45;69.79;I;super-vazio;0.0444;0.0217;3.1;1.51;4.61
Fri;1.0;1.0;2016.0;04:00;69.85;I;super-vazio;0.0444;0.0217;3.1;1.52;4.62
Fri;1.0;1.0;2016.0;04:15;70.36;I;super-vazio;0.0444;0.0217;3.12;1.53;4.65
Fri;1.0;1.0;2016.0;04:30;71.78;I;super-vazio;0.0444;0.0217;3.19;1.56;4.74
Fri;1.0;1.0;2016.0;04:45;71.75;I;super-vazio;0.0444;0.0217;3.19;1.56;4.74
Fri;1.0;1.0;2016.0;05:00;71.71;I;super-vazio;0.0444;0.0217;3.18;1.56;4.74
Fri;1.0;1.0;2016.0;05:15;71.75;I;super-vazio;0.0444;0.0217;3.19;1.56;4.74
Fri;1.0;1.0;2016.0;05:30;71.74;I;super-vazio;0.0444;0.0217;3.19;1.56;4.74
Fri;1.0;1.0;2016.0;05:45;71.73;I;super-vazio;0.0444;0.0217;3.18;1.56;4.74
Fri;1.0;1.0;2016.0;06:00;71.69;I;vazio;0.045;0.0225;3.23;1.61;4.84
Fri;1.0;1.0;2016.0;06:15;71.72;I;vazio;0.045;0.0225;3.23;1.61;4.84
Fri;1.0;1.0;2016.0;06:30;72.17;I;vazio;0.045;0.0225;3.25;1.62;4.87
Fri;1.0;1.0;2016.0;06:45;73.13;I;vazio;0.045;0.0225;3.29;1.65;4.94
Fri;1.0;1.0;2016.0;07:00;73.24;I;cheia;0.0605;0.0409;4.43;3.0;7.43
Fri;1.0;1.0;2016.0;07:15;73.18;I;cheia;0.0605;0.0409;4.43;2.99;7.42
Fri;1.0;1.0;2016.0;07:30;73.02;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;07:45;71.03;I;cheia;0.0605;0.0409;4.3;2.91;7.2
Fri;1.0;1.0;2016.0;08:00;70.54;I;cheia;0.0605;0.0409;4.27;2.89;7.15
Fri;1.0;1.0;2016.0;08:15;71.31;I;cheia;0.0605;0.0409;4.31;2.92;7.23
Fri;1.0;1.0;2016.0;08:30;72.67;I;cheia;0.0605;0.0409;4.4;2.97;7.37
Fri;1.0;1.0;2016.0;08:45;70.04;I;cheia;0.0605;0.0409;4.24;2.86;7.1
Fri;1.0;1.0;2016.0;09:00;73.11;I;cheia;0.0605;0.0409;4.42;2.99;7.41
Fri;1.0;1.0;2016.0;09:15;73.16;I;cheia;0.0605;0.0409;4.43;2.99;7.42
Fri;1.0;1.0;2016.0;09:30;72.97;I;ponta;0.0638;0.0473;4.66;3.45;8.11
Fri;1.0;1.0;2016.0;09:45;73.75;I;ponta;0.0638;0.0473;4.71;3.49;8.19
Fri;1.0;1.0;2016.0;10:00;72.87;I;ponta;0.0638;0.0473;4.65;3.45;8.1
Fri;1.0;1.0;2016.0;10:15;72.83;I;ponta;0.0638;0.0473;4.65;3.44;8.09
Fri;1.0;1.0;2016.0;10:30;72.8;I;ponta;0.0638;0.0473;4.64;3.44;8.09
Fri;1.0;1.0;2016.0;10:45;72.76;I;ponta;0.0638;0.0473;4.64;3.44;8.08
Fri;1.0;1.0;2016.0;11:00;72.82;I;ponta;0.0638;0.0473;4.65;3.44;8.09
Fri;1.0;1.0;2016.0;11:15;73.8;I;ponta;0.0638;0.0473;4.71;3.49;8.2
Fri;1.0;1.0;2016.0;11:30;72.82;I;ponta;0.0638;0.0473;4.65;3.44;8.09
Fri;1.0;1.0;2016.0;11:45;72.77;I;ponta;0.0638;0.0473;4.64;3.44;8.08
Fri;1.0;1.0;2016.0;12:00;72.82;I;cheia;0.0605;0.0409;4.41;2.98;7.38
Fri;1.0;1.0;2016.0;12:15;72.82;I;cheia;0.0605;0.0409;4.41;2.98;7.38
Fri;1.0;1.0;2016.0;12:30;72.81;I;cheia;0.0605;0.0409;4.41;2.98;7.38
Fri;1.0;1.0;2016.0;12:45;73.84;I;cheia;0.0605;0.0409;4.47;3.02;7.49
Fri;1.0;1.0;2016.0;13:00;72.91;I;cheia;0.0605;0.0409;4.41;2.98;7.39
Fri;1.0;1.0;2016.0;13:15;72.98;I;cheia;0.0605;0.0409;4.42;2.98;7.4
Fri;1.0;1.0;2016.0;13:30;72.92;I;cheia;0.0605;0.0409;4.41;2.98;7.39
Fri;1.0;1.0;2016.0;13:45;72.99;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;14:00;74.02;I;cheia;0.0605;0.0409;4.48;3.03;7.51
Fri;1.0;1.0;2016.0;14:15;72.99;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;14:30;73.0;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;14:45;73.01;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;15:00;74.12;I;cheia;0.0605;0.0409;4.48;3.03;7.52
Fri;1.0;1.0;2016.0;15:15;72.98;I;cheia;0.0605;0.0409;4.42;2.98;7.4
Fri;1.0;1.0;2016.0;15:30;73.12;I;cheia;0.0605;0.0409;4.42;2.99;7.41
Fri;1.0;1.0;2016.0;15:45;73.06;I;cheia;0.0605;0.0409;4.42;2.99;7.41
Fri;1.0;1.0;2016.0;16:00;73.01;I;cheia;0.0605;0.0409;4.42;2.99;7.4
Fri;1.0;1.0;2016.0;16:15;72.97;I;cheia;0.0605;0.0409;4.41;2.98;7.4
Fri;1.0;1.0;2016.0;16:30;72.91;I;cheia;0.0605;0.0409;4.41;2.98;7.39
Fri;1.0;1.0;2016.0;16:45;72.93;I;cheia;0.0605;0.0409;4.41;2.98;7.4
Fri;1.0;1.0;2016.0;17:00;71.94;I;cheia;0.0605;0.0409;4.35;2.94;7.29
Fri;1.0;1.0;2016.0;17:15;72.94;I;cheia;0.0605;0.0409;4.41;2.98;7.4
Fri;1.0;1.0;2016.0;17:30;72.86;I;cheia;0.0605;0.0409;4.41;2.98;7.39
Fri;1.0;1.0;2016.0;17:45;72.79;I;cheia;0.0605;0.0409;4.4;2.98;7.38
Fri;1.0;1.0;2016.0;18:00;72.38;I;cheia;0.0605;0.0409;4.38;2.96;7.34
Fri;1.0;1.0;2016.0;18:15;71.96;I;cheia;0.0605;0.0409;4.35;2.94;7.3
Fri;1.0;1.0;2016.0;18:30;69.9;I;ponta;0.0638;0.0473;4.46;3.31;7.77
Fri;1.0;1.0;2016.0;18:45;71.71;I;ponta;0.0638;0.0473;4.58;3.39;7.97
Fri;1.0;1.0;2016.0;19:00;70.86;I;ponta;0.0638;0.0473;4.52;3.35;7.87
Fri;1.0;1.0;2016.0;19:15;71.7;I;ponta;0.0638;0.0473;4.57;3.39;7.97
Fri;1.0;1.0;2016.0;19:30;72.09;I;ponta;0.0638;0.0473;4.6;3.41;8.01
Fri;1.0;1.0;2016.0;19:45;70.21;I;ponta;0.0638;0.0473;4.48;3.32;7.8
Fri;1.0;1.0;2016.0;20:00;72.5;I;ponta;0.0638;0.0473;4.63;3.43;8.05
Fri;1.0;1.0;2016.0;20:15;72.52;I;ponta;0.0638;0.0473;4.63;3.43;8.06
Fri;1.0;1.0;2016.0;20:30;71.79;I;ponta;0.0638;0.0473;4.58;3.4;7.98
