weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;00:15;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;00:30;45.0;I;vazio;0.0479;0.0298;2.16;1.34;3.5
Fri;1.0;1.0;2016.0;00:45;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;01:00;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;01:15;45.0;I;vazio;0.0479;0.0298;2.16;1.34;3.5
Fri;1.0;1.0;2016.0;01:30;43.0;I;vazio;0.0479;0.0298;2.06;1.28;3.34
Fri;1.0;1.0;2016.0;01:45;45.0;I;vazio;0.0479;0.0298;2.16;1.34;3.5
Fri;1.0;1.0;2016.0;02:00;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;02:15;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;02:30;45.0;I;super-vazio;0.0464;0.0273;2.09;1.23;3.32
Fri;1.0;1.0;2016.0;02:45;46.0;I;super-vazio;0.0464;0.0273;2.13;1.26;3.39
Fri;1.0;1.0;2016.0;03:00;46.0;I;super-vazio;0.0464;0.0273;2.13;1.26;3.39
Fri;1.0;1.0;2016.0;03:15;47.0;I;super-vazio;0.0464;0.0273;2.18;1.28;3.46
Fri;1.0;1.0;2016.0;03:30;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;03:45;46.0;I;super-vazio;0.0464;0.0273;2.13;1.26;3.39
Fri;1.0;1.0;2016.0;04:00;45.0;I;super-vazio;0.0464;0.0273;2.09;1.23;3.32
Fri;1.0;1.0;2016.0;04:15;43.0;I;super-vazio;0.0464;0.0273;2.0;1.17;3.17
Fri;1.0;1.0;2016.0;04:30;45.0;I;super-vazio;0.0464;0.0273;2.09;1.23;3.32
Fri;1.0;1.0;2016.0;04:45;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;05:00;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;05:15;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;05:30;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;05:45;44.0;I;super-vazio;0.0464;0.0273;2.04;1.2;3.24
Fri;1.0;1.0;2016.0;06:00;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;06:15;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;06:30;44.0;I;vazio;0.0479;0.0298;2.11;1.31;3.42
Fri;1.0;1.0;2016.0;06:45;47.0;I;vazio;0.0479;0.0298;2.25;1.4;3.65
Fri;1.0;1.0;2016.0;07:00;49.0;I;vazio;0.0479;0.0298;2.35;1.46;3.81
Fri;1.0;1.0;2016.0;07:15;48.0;I;vazio;0.0479;0.0298;2.3;1.43;3.73
Fri;1.0;1.0;2016.0;07:30;49.0;I;vazio;0.0479;0.0298;2.35;1.46;3.81
Fri;1.0;1.0;2016.0;07:45;49.0;I;vazio;0.0479;0.0298;2.35;1.46;3.81
Fri;1.0;1.0;2016.0;08:00;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;08:15;50.0;I;cheia;0.0663;0.0573;3.32;2.87;6.18
Fri;1.0;1.0;2016.0;08:30;50.0;I;cheia;0.0663;0.0573;3.32;2.87;6.18
Fri;1.0;1.0;2016.0;08:45;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;09:00;51.0;I;ponta;0.0696;0.0663;3.55;3.38;6.93
Fri;1.0;1.0;2016.0;09:15;49.0;I;ponta;0.0696;0.0663;3.41;3.25;6.66
Fri;1.0;1.0;2016.0;09:30;51.0;I;ponta;0.0696;0.0663;3.55;3.38;6.93
Fri;1.0;1.0;2016.0;09:45;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;10:00;52.0;I;ponta;0.0696;0.0663;3.62;3.45;7.07
Fri;1.0;1.0;2016.0;10:15;50.0;I;ponta;0.0696;0.0663;3.48;3.32;6.8
Fri;1.0;1.0;2016.0;10:30;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;10:45;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;11:00;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;11:15;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;11:30;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;11:45;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;12:00;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;12:15;53.0;I;cheia;0.0663;0.0573;3.51;3.04;6.55
Fri;1.0;1.0;2016.0;12:30;53.0;I;cheia;0.0663;0.0573;3.51;3.04;6.55
Fri;1.0;1.0;2016.0;12:45;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;13:00;53.0;I;cheia;0.0663;0.0573;3.51;3.04;6.55
Fri;1.0;1.0;2016.0;13:15;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;13:30;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;13:45;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;14:00;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;14:15;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;14:30;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;14:45;52.0;I;cheia;0.0663;0.0573;3.45;2.98;6.43
Fri;1.0;1.0;2016.0;15:00;51.0;I;cheia;0.0663;0.0573;3.38;2.92;6.3
Fri;1.0;1.0;2016.0;15:15;50.0;I;cheia;0.0663;0.0573;3.32;2.87;6.18
Fri;1.0;1.0;2016.0;15:30;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;15:45;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;16:00;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;16:15;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;16:30;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;16:45;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;17:00;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;17:15;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;17:30;49.0;I;cheia;0.0663;0.0573;3.25;2.81;6.06
Fri;1.0;1.0;2016.0;17:45;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;18:00;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;18:15;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;18:30;49.0;I;ponta;0.0696;0.0663;3.41;3.25;6.66
Fri;1.0;1.0;2016.0;18:45;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;19:00;47.0;I;ponta;0.0696;0.0663;3.27;3.12;6.39
Fri;1.0;1.0;2016.0;19:15;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;19:30;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;19:45;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;20:00;47.0;I;ponta;0.0696;0.0663;3.27;3.12;6.39
Fri;1.0;1.0;2016.0;20:15;48.0;I;ponta;0.0696;0.0663;3.34;3.18;6.52
Fri;1.0;1.0;2016.0;20:30;48.0;I;cheia;0.0663;0.0573;3.18;2.75;5.93
Fri;1.0;1.0;2016.0;20:45;47.0;I;cheia;0.0663;0.0573;3.12;2.69;5.81
