weekday;day;month;year;time;EA+ Geral (kWh);Sazonalidade;Periodo Tarifario;Energia;Energia Redes;Energia Total;Energia Redes Total;Total
Fri;1.0;1.0;2016.0;00:00;47.0;I;vazio;0.045;0.0225;2.11;1.06;3.17
Fri;1.0;1.0;2016.0;00:15;47.0;I;vazio;0.045;0.0225;2.11;1.06;3.17
Fri;1.0;1.0;2016.0;00:30;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;00:45;49.0;I;vazio;0.045;0.0225;2.21;1.1;3.31
Fri;1.0;1.0;2016.0;01:00;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;01:15;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;01:30;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;01:45;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;02:00;49.0;I;super-vazio;0.0444;0.0217;2.18;1.06;3.24
Fri;1.0;1.0;2016.0;02:15;47.0;I;super-vazio;0.0444;0.0217;2.09;1.02;3.11
Fri;1.0;1.0;2016.0;02:30;46.0;I;super-vazio;0.0444;0.0217;2.04;1.0;3.04
Fri;1.0;1.0;2016.0;02:45;49.0;I;super-vazio;0.0444;0.0217;2.18;1.06;3.24
Fri;1.0;1.0;2016.0;03:00;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;03:15;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;03:30;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;03:45;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;04:00;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;04:15;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;04:30;49.0;I;super-vazio;0.0444;0.0217;2.18;1.06;3.24
Fri;1.0;1.0;2016.0;04:45;46.0;I;super-vazio;0.0444;0.0217;2.04;1.0;3.04
Fri;1.0;1.0;2016.0;05:00;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;05:15;49.0;I;super-vazio;0.0444;0.0217;2.18;1.06;3.24
Fri;1.0;1.0;2016.0;05:30;49.0;I;super-vazio;0.0444;0.0217;2.18;1.06;3.24
Fri;1.0;1.0;2016.0;05:45;48.0;I;super-vazio;0.0444;0.0217;2.13;1.04;3.17
Fri;1.0;1.0;2016.0;06:00;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;06:15;49.0;I;vazio;0.045;0.0225;2.21;1.1;3.31
Fri;1.0;1.0;2016.0;06:30;48.0;I;vazio;0.045;0.0225;2.16;1.08;3.24
Fri;1.0;1.0;2016.0;06:45;50.0;I;vazio;0.045;0.0225;2.25;1.13;3.38
Fri;1.0;1.0;2016.0;07:00;47.0;I;cheia;0.0605;0.0409;2.84;1.92;4.77
Fri;1.0;1.0;2016.0;07:15;48.0;I;cheia;0.0605;0.0409;2.9;1.96;4.87
Fri;1.0;1.0;2016.0;07:30;50.0;I;cheia;0.0605;0.0409;3.03;2.05;5.07
Fri;1.0;1.0;2016.0;07:45;48.0;I;cheia;0.0605;0.0409;2.9;1.96;4.87
Fri;1.0;1.0;2016.0;08:00;47.0;I;cheia;0.0605;0.0409;2.84;1.92;4.77
Fri;1.0;1.0;2016.0;08:15;47.0;I;cheia;0.0605;0.0409;2.84;1.92;4.77
Fri;1.0;1.0;2016.0;08:30;49.0;I;cheia;0.0605;0.0409;2.96;2.0;4.97
Fri;1.0;1.0;2016.0;08:45;49.0;I;cheia;0.0605;0.0409;2.96;2.0;4.97
Fri;1.0;1.0;2016.0;09:00;49.0;I;cheia;0.0605;0.0409;2.96;2.0;4.97
Fri;1.0;1.0;2016.0;09:15;48.0;I;cheia;0.0605;0.0409;2.9;1.96;4.87
Fri;1.0;1.0;2016.0;09:30;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;09:45;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;10:00;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;10:15;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;10:30;50.0;I;ponta;0.0638;0.0473;3.19;2.37;5.56
Fri;1.0;1.0;2016.0;10:45;47.0;I;ponta;0.0638;0.0473;3.0;2.22;5.22
Fri;1.0;1.0;2016.0;11:00;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;11:15;48.0;I;ponta;0.0638;0.0473;3.06;2.27;5.33
Fri;1.0;1.0;2016.0;11:30;49.0;I;ponta;0.0638;0.0473;3.13;2.32;5.44
Fri;1.0;1.0;2016.0;11:45;47.0;I;ponta;0.0638;0.0473;3.0;2.22;5.22
Fri;1.0;1.0;2016.0;12:00;50.0;I;cheia;0.0605;0.0409;3.03;2.05;5.07
Fri;1.0;1.0;2016.0;12:15;49.0;I;cheia;0.0605;0.0409;2.96;2.0;4.97
