WiseMetering realtime, exported on November 19, 2016 17:27, by Pedro Castanheira of Vodafone.;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;
;;;;;;;;;
weekday;day;month;year;time;EA+ AVAC DTCs (KWh);EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh)
Fri;01;01;2016;00:00;72,98;12;12,4;9,11;39,47
Fri;01;01;2016;00:15;72,85;9,1;13,45;8,79;41,51
Fri;01;01;2016;00:30;72,61;11,5;12,78;10,88;37,45
Fri;01;01;2016;00:45;73,13;9,9;12,51;10,86;39,86
Fri;01;01;2016;01:00;70,81;9,2;12,91;9,01;39,69
Fri;01;01;2016;01:15;72,72;11,7;12,23;11,46;37,33
Fri;01;01;2016;01:30;68;7,4;10,59;9,03;40,98
Fri;01;01;2016;01:45;73,39;12,7;12,86;9,92;37,92
Fri;01;01;2016;02:00;71,4;6,8;14,49;11,52;38,6
Fri;01;01;2016;02:15;75,01;12,7;12,92;9,64;39,75
Fri;01;01;2016;02:30;68,43;8;13,02;8,77;38,63
Fri;01;01;2016;02:45;72,92;11,1;12,89;8,85;40,07
Fri;01;01;2016;03:00;70,49;10,1;13,98;8,46;37,95
Fri;01;01;2016;03:15;73,92;10,1;12,88;10,68;40,26
Fri;01;01;2016;03:30;72,43;10,8;12,64;9,74;39,25
Fri;01;01;2016;03:45;67,84;8,3;12,8;9,35;37,39
Fri;01;01;2016;04:00;77,9;12,4;13,39;11,44;40,68
Fri;01;01;2016;04:15;68,38;7;12,69;9,88;38,81
Fri;01;01;2016;04:30;72,33;11,8;12,85;8,96;38,72
Fri;01;01;2016;04:45;71,65;7,7;13,74;9,59;40,62
Fri;01;01;2016;05:00;72,49;12,4;13,01;10,9;36,18
Fri;01;01;2016;05:15;71,82;8,8;12,82;10,49;39,71
Fri;01;01;2016;05:30;74,34;10,5;13,61;8,15;42,08
Fri;01;01;2016;05:45;72,03;9,4;12,97;11,9;37,77
Fri;01;01;2016;06:00;68,51;9,6;13,02;7,72;38,17
Fri;01;01;2016;06:15;71,6;10,5;12,8;9,5;38,8
Fri;01;01;2016;06:30;71,17;7,5;13,94;9,5;40,23
Fri;01;01;2016;06:45;76,07;12,1;11,87;10,88;41,22
Fri;01;01;2016;07:00;69,67;9,5;10,28;9,19;40,7
Fri;01;01;2016;07:15;69,62;9,2;13,54;8,09;38,79
Fri;01;01;2016;07:30;77,69;11,2;13,11;12,03;41,34
Fri;01;01;2016;07:45;72,62;7,7;13,01;10,11;41,8
Fri;01;01;2016;08:00;76,3;11,8;13,83;10,35;40,32
Fri;01;01;2016;08:15;70,22;8,6;12,36;8,98;40,29
Fri;01;01;2016;08:30;63,33;10,1;12,45;0,85;39,93
Fri;01;01;2016;08:45;64,85;10,4;13,01;0,4;41,04
Fri;01;01;2016;09:00;83,59;8,2;12,95;28,81;33,63
Fri;01;01;2016;09:15;79,03;11,7;12,62;9,51;45,2
Fri;01;01;2016;09:30;68,41;7,8;12,45;8,65;39,51
Fri;01;01;2016;09:45;74,67;11,3;13,8;10,35;39,23
Fri;01;01;2016;10:00;73,06;9,3;12,37;10,22;41,17
Fri;01;01;2016;10:15;72,01;9,5;12,34;8,54;41,62
Fri;01;01;2016;10:30;71,4;10,6;12,58;9,94;38,28
Fri;01;01;2016;10:45;73,06;9,4;13,67;11,81;38,17
Fri;01;01;2016;11:00;71,75;9,9;12,43;8,76;40,66
Fri;01;01;2016;11:15;75,67;8,5;12,29;11,9;42,98
Fri;01;01;2016;11:30;76,93;10,8;12,45;11,22;42,46
Fri;01;01;2016;11:45;71,93;8,4;13,66;10,05;39,82
Fri;01;01;2016;12:00;72,57;10,3;12,04;10,33;39,9
Fri;01;01;2016;12:15;72,23;9,6;12,45;8,58;41,6
Fri;01;01;2016;12:30;70,06;8,9;12,2;9,39;39,57
Fri;01;01;2016;12:45;72,68;11,1;12,42;10,8;38,36
Fri;01;01;2016;13:00;73,7;8,1;13,49;10,28;41,83
Fri;01;01;2016;13:15;73,49;10,1;12,75;9,45;41,19
Fri;01;01;2016;13:30;71,12;9,8;12,13;9,44;39,75
Fri;01;01;2016;13:45;73,09;9,8;12,87;9,62;40,8
