Vodafone - Realtime Data;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;
At: January 30, 2018 17:18 (Europe/Lisbon);;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;
Rate: 15 minutes;;;;;;;;;
Exported by WiseMetering;;;;;;;;;
;;;;;;;;;
weekday;day;month;year;time;EA+ AVAC IT DTCs (KWh);EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh)
Sun;01;01;2017;00:00;67,51;9,5;12,07;10,75;35,2
Sun;01;01;2017;00:15;67,13;9,4;13,2;9,79;34,73
Sun;01;01;2017;00:30;66,96;10,3;12,01;9,56;35,08
Sun;01;01;2017;00:45;67,6;9,3;12,29;10,96;35,05
Sun;01;01;2017;01:00;67,84;11;13,47;9,38;33,99
Sun;01;01;2017;01:15;64,13;8,6;11,9;10,31;33,32
Sun;01;01;2017;01:30;64,89;10,1;12,1;9,08;33,61
Sun;01;01;2017;01:45;67,37;9,3;13,16;10,19;34,72
Sun;01;01;2017;02:00;67,26;9,7;11,99;9,89;35,67
Sun;01;01;2017;02:15;68,55;9,4;13,26;10,6;35,29
Sun;01;01;2017;02:30;67,93;9,8;12,34;10,13;35,66
Sun;01;01;2017;02:45;69,57;9,3;12,42;10,55;37,31
Sun;01;01;2017;03:00;66,07;9,6;13,23;10,25;32,98
Sun;01;01;2017;03:15;63,38;9,4;11,88;9,21;32,89
Sun;01;01;2017;03:30;69,66;9,4;12,75;9,98;37,54
Sun;01;01;2017;03:45;65,49;9,6;12,64;10,15;33,1
Sun;01;01;2017;04:00;64,33;9,4;12,05;10;32,88
Sun;01;01;2017;04:15;66,58;10,2;13,26;9,88;33,25
Sun;01;01;2017;04:30;68,73;9,2;12,11;10,07;37,35
Sun;01;01;2017;04:45;66,39;9,9;11,97;10,38;34,14
Sun;01;01;2017;05:00;65,49;9,7;13,49;9,56;32,73
Sun;01;01;2017;05:15;63,72;9,6;11,78;10,18;32,17
Sun;01;01;2017;05:30;68,8;9,6;12,24;10,39;36,58
Sun;01;01;2017;05:45;65,22;9,4;13,29;9;33,53
Sun;01;01;2017;06:00;70,56;9,8;11,83;10,97;37,96
Sun;01;01;2017;06:15;70,32;9,4;12,81;9,25;38,86
Sun;01;01;2017;06:30;67,08;9,9;12,42;10,54;34,22
Sun;01;01;2017;06:45;64,57;8,6;12,27;9,01;34,7
Sun;01;01;2017;07:00;71,9;10,1;13,18;11,13;37,49
Sun;01;01;2017;07:15;65,75;10,6;11,87;9,79;33,49
Sun;01;01;2017;07:30;65,15;9,3;12,35;9,59;33,91
Sun;01;01;2017;07:45;71,67;9,8;13,44;9,85;38,58
Sun;01;01;2017;08:00;67,64;9,2;11,88;10,57;35,98
Sun;01;01;2017;08:15;65,96;9,8;12,92;10,21;33,03
Sun;01;01;2017;08:30;65,67;9,3;12,17;8,88;35,33
Sun;01;01;2017;08:45;68,23;9,9;12,32;10,17;35,84
Sun;01;01;2017;09:00;67,01;9,2;13,13;10,32;34,36
Sun;01;01;2017;09:15;72,06;9,6;12,3;10,02;40,14
Sun;01;01;2017;09:30;69,13;9,4;11,77;11,05;36,92
Sun;01;01;2017;09:45;66,76;9,4;13,68;9,17;34,51
Sun;01;01;2017;10:00;70,25;10,5;11,83;10,3;37,62
Sun;01;01;2017;10:15;65,93;9,4;11,99;10,57;33,97
Sun;01;01;2017;10:30;69,67;9,9;13,14;9,43;37,2
Sun;01;01;2017;10:45;67,22;9,5;12,04;10,17;35,51
Sun;01;01;2017;11:00;64,74;9,7;12,01;9,34;33,7
Sun;01;01;2017;11:15;70,91;9,5;13,69;9,64;38,08
Sun;01;01;2017;11:30;68,31;9,8;11,98;11,37;35,16
Sun;01;01;2017;11:45;64,71;9,3;12,29;9,14;33,98
Sun;01;01;2017;12:00;72,96;9,5;13,62;10,21;39,63
Sun;01;01;2017;12:15;71,86;10,8;11,86;10,5;38,7
Sun;01;01;2017;12:30;65;9,4;12,76;9,29;33,55
Sun;01;01;2017;12:45;68,82;10;12,97;11,32;34,53
Sun;01;01;2017;13:00;67,05;9,4;12,17;9,1;36,38
Sun;01;01;2017;13:15;67,54;9,8;13,01;9,96;34,77
Sun;01;01;2017;13:30;68,57;9,7;12,95;10,36;35,56
Sun;01;01;2017;13:45;67,93;9,6;12,32;10,28;35,72
Sun;01;01;2017;14:00;68,29;10;13,28;9,8;35,2
Sun;01;01;2017;14:15;67,36;9,6;12,72;10,15;34,88
Sun;01;01;2017;14:30;67,43;10,1;12,27;11,07;33,99
Sun;01;01;2017;14:45;67,31;9,4;14,19;9,56;34,16
Sun;01;01;2017;15:00;67,1;10,2;12,32;10,52;34,07
Sun;01;01;2017;15:15;66,08;9,6;12,34;9,25;34,9
Sun;01;01;2017;15:30;70,55;9,9;13,51;10,81;36,34
Sun;01;01;2017;15:45;69,29;9,7;12,13;10,2;37,26
Sun;01;01;2017;16:00;66,42;9,9;12,26;10,21;34,05
Sun;01;01;2017;16:15;69,11;10;13,66;10,67;34,78
Sun;01;01;2017;16:30;67,86;9,6;12,17;9,26;36,83
Sun;01;01;2017;16:45;67,75;10,1;12,53;10,69;34,44
Sun;01;01;2017;17:00;67,4;9,6;13,27;9,54;35
Sun;01;01;2017;17:15;68,3;9,8;11,89;10,59;36,03
Sun;01;01;2017;17:30;67,1;9,8;12,78;10,01;34,52
Sun;01;01;2017;17:45;67,56;9,6;12,93;9,93;35,1
Sun;01;01;2017;18:00;67,92;9,8;12,07;10,92;35,14
Sun;01;01;2017;18:15;68,74;9,6;12,56;9,66;36,92
Sun;01;01;2017;18:30;55,86;9,8;2,03;11,15;32,87
Sun;01;01;2017;18:45;76,4;9,5;23,14;9,53;34,24
Sun;01;01;2017;19:00;68,6;10,1;12,89;9,63;35,97
Sun;01;01;2017;19:15;67,41;9,4;12,89;10,48;34,64
Sun;01;01;2017;19:30;66,92;9,9;12,05;10,06;34,91
Sun;01;01;2017;19:45;67,03;9,7;12,94;10,47;33,92
Sun;01;01;2017;20:00;67;9,8;12,7;9,82;34,68
Sun;01;01;2017;20:15;65,91;9,8;12,12;10,37;33,62
Sun;01;01;2017;20:30;66,49;9,5;13,14;10,17;33,67
Sun;01;01;2017;20:45;66,22;10,2;12,37;9,47;34,18
Sun;01;01;2017;21:00;65,93;9;12,01;10,85;34,07
Sun;01;01;2017;21:15;67,83;10,2;13,48;8,84;35,31
Sun;01;01;2017;21:30;66,64;9,7;11,87;10,89;34,18
Sun;01;01;2017;21:45;66,08;10;12,06;9,94;34,09
Sun;01;01;2017;22:00;67,65;9,4;13,9;10,66;33,68
Sun;01;01;2017;22:15;65,33;10,1;11,86;9,94;33,42
Sun;01;01;2017;22:30;64,46;9,9;11,76;10,64;32,16
Sun;01;01;2017;22:45;68,53;9,9;13,26;10,11;35,26
Sun;01;01;2017;23:00;66,24;9,9;11,82;9,86;34,67
Sun;01;01;2017;23:15;65,56;9,7;12,51;10,53;32,82
Sun;01;01;2017;23:30;67,57;10;12,82;10,09;34,66
Sun;01;01;2017;23:45;65,88;9,6;12,09;10,42;33,77
Mon;02;01;2017;00:00;66,38;10,3;12,86;9,48;33,74
Mon;02;01;2017;00:15;69,21;9,8;12,61;10,71;36,09
Mon;02;01;2017;00:30;66,8;10;11,97;10,14;34,69
Mon;02;01;2017;00:45;67,22;10,2;13,33;9,37;34,31
Mon;02;01;2017;01:00;67;10,1;12,02;10,34;34,54
Mon;02;01;2017;01:15;68,08;11,3;11,87;9,74;35,17
Mon;02;01;2017;01:30;68,35;10;13,66;10,35;34,34
Mon;02;01;2017;01:45;67,51;10,6;11,99;10,65;34,27
Mon;02;01;2017;02:00;68,27;11,8;12,03;9,53;34,91
Mon;02;01;2017;02:15;71,46;11,5;13,67;10,83;35,46
Mon;02;01;2017;02:30;67,2;11,5;11,5;9,66;34,54
Mon;02;01;2017;02:45;66,86;10,8;12,42;9,33;34,31
Mon;02;01;2017;03:00;54,82;11,5;13,54;11,22;18,56
Mon;02;01;2017;03:15;66,91;10,7;11,67;9,61;34,93
Mon;02;01;2017;03:30;72,04;11,1;12,29;10,8;37,86
Mon;02;01;2017;03:45;69,08;10,7;13,29;10,16;34,93
Mon;02;01;2017;04:00;69,43;11,8;11,85;9,55;36,23
Mon;02;01;2017;04:15;67,43;10;12,61;11,04;33,78
Mon;02;01;2017;04:30;67,72;11,7;12,94;9,41;33,67
Mon;02;01;2017;04:45;67,44;10,2;12,18;10,07;34,99
Mon;02;01;2017;05:00;68,27;10,8;12,83;10,54;34,1
Mon;02;01;2017;05:15;68,12;11,6;12,72;9,99;33,81
Mon;02;01;2017;05:30;67,47;10,3;12,18;9,6;35,39
Mon;02;01;2017;05:45;70,98;11,8;13;10,68;35,5
Mon;02;01;2017;06:00;65,99;10,3;12,38;9,16;34,15
Mon;02;01;2017;06:15;69,39;11,5;12,19;10,33;35,37
Mon;02;01;2017;06:30;71,26;10,5;13,23;10,38;37,15
Mon;02;01;2017;06:45;67,89;11,3;11,76;9,77;35,06
Mon;02;01;2017;07:00;69,07;11;12,91;10,56;34,59
Mon;02;01;2017;07:15;68,21;10,2;12,39;10,73;34,9
Mon;02;01;2017;07:30;67,46;11,7;12,63;9,15;33,97
Mon;02;01;2017;07:45;67,69;10,3;13,15;10,7;33,53
Mon;02;01;2017;08:00;68,23;11,5;12,25;10,34;34,14
Mon;02;01;2017;08:15;67,57;9,9;11,97;9,57;36,13
Mon;02;01;2017;08:30;62,21;2,1;13,75;11,19;35,17
Mon;02;01;2017;08:45;70,93;14;11,78;10,16;34,98
Mon;02;01;2017;09:00;69,12;11,5;12,26;9,19;36,17
Mon;02;01;2017;09:15;69,55;10,4;13,55;10,64;34,96
Mon;02;01;2017;09:30;67,42;10,9;12,05;10,18;34,29
Mon;02;01;2017;09:45;66,55;9,7;13,13;9,24;34,49
Mon;02;01;2017;10:00;68,42;10,5;12,9;10,14;34,87
Mon;02;01;2017;10:15;67,57;9,4;12,47;10,29;35,41
Mon;02;01;2017;10:30;68,51;11,2;12,72;9,1;35,49
Mon;02;01;2017;10:45;69,01;9,5;12,96;10,57;35,98
Mon;02;01;2017;11:00;70,77;10,8;13,02;10,79;36,16
Mon;02;01;2017;11:15;67,78;9,8;12,56;9,67;35,75
Mon;02;01;2017;11:30;71,08;11,7;12,68;10,93;35,78
Mon;02;01;2017;11:45;68,91;10,7;12,38;10,65;35,17
Mon;02;01;2017;12:00;69,8;12,4;13,59;9,15;34,66
Mon;02;01;2017;12:15;68,02;10,5;12,14;10,7;34,68
Mon;02;01;2017;12:30;67,71;8,7;12,26;11,24;35,51
Mon;02;01;2017;12:45;67,22;8,3;13,92;8,98;36,03
Mon;02;01;2017;13:00;70,02;10,8;12,34;11;35,88
Mon;02;01;2017;13:15;72,26;13,2;12,34;10,34;36,38
Mon;02;01;2017;13:30;70,29;11;13,48;9,62;36,2
Mon;02;01;2017;13:45;71,26;11,6;12,51;11,26;35,89
Mon;02;01;2017;14:00;68,86;11;12,18;9,47;36,21
Mon;02;01;2017;14:15;69,74;11,2;13,4;9,43;35,7
Mon;02;01;2017;14:30;68,74;10,7;12,62;10,56;34,86
Mon;02;01;2017;14:45;69,72;11,4;13,13;10,32;34,87
Mon;02;01;2017;15:00;68,63;10,2;12,89;9,99;35,56
Mon;02;01;2017;15:15;70,2;10,6;12,77;10,91;35,92
Mon;02;01;2017;15:30;65,31;5,1;13,69;10,84;35,68
Mon;02;01;2017;15:45;73,23;14,8;12,35;9,53;36,56
Mon;02;01;2017;16:00;71,5;11,3;12,45;10,66;37,09
Mon;02;01;2017;16:15;69,62;11,2;13,78;9,33;35,31
Mon;02;01;2017;16:30;69,46;10,6;12,32;11,05;35,5
Mon;02;01;2017;16:45;70,67;11,3;12,96;10,47;35,94
Mon;02;01;2017;17:00;68,77;11,4;13,39;9,47;34,52
Mon;02;01;2017;17:15;69,71;10,6;12,53;11,11;35,47
Mon;02;01;2017;17:30;71,34;10,5;12,95;10,49;37,4
Mon;02;01;2017;17:45;69,14;9,4;13,33;10,54;35,87
Mon;02;01;2017;18:00;71,16;11,9;12,48;10,39;36,39
Mon;02;01;2017;18:15;70,53;10,3;13,32;10,12;36,79
Mon;02;01;2017;18:30;72,01;12;13,26;11,83;34,92
Mon;02;01;2017;18:45;66,56;9,9;12,61;9,35;34,7
Mon;02;01;2017;19:00;71,74;12,1;13,16;11,06;35,42
Mon;02;01;2017;19:15;68,16;9,9;12,62;10,65;34,99
Mon;02;01;2017;19:30;69,2;11,5;12,31;10,15;35,24
Mon;02;01;2017;19:45;70,13;10,9;12,76;10,96;35,51
Mon;02;01;2017;20:00;68,7;10,5;12,48;10,23;35,49
Mon;02;01;2017;20:15;71,18;12;12,23;10,74;36,21
Mon;02;01;2017;20:30;68,94;9,6;13,03;10,18;36,13
Mon;02;01;2017;20:45;70,36;12,1;12,09;11,21;34,96
Mon;02;01;2017;21:00;67;10,2;12,25;9,52;35,03
Mon;02;01;2017;21:15;71,5;11,6;13,19;11,19;35,52
Mon;02;01;2017;21:30;68,96;10,6;12,06;10,77;35,53
Mon;02;01;2017;21:45;68,83;11,2;12,06;9,31;36,26
Mon;02;01;2017;22:00;72,87;11,3;13,11;11,86;36,6
Mon;02;01;2017;22:15;67,75;10,2;11,71;10,2;35,63
Mon;02;01;2017;22:30;70,67;11,9;12,97;10,68;35,11
Mon;02;01;2017;22:45;68,41;9,9;12,2;10,61;35,7
Mon;02;01;2017;23:00;70,42;11,9;11,98;11,18;35,37
Mon;02;01;2017;23:15;68,48;10,2;13,37;9,65;35,26
Mon;02;01;2017;23:30;69,36;11,1;11,79;10,78;35,69
