Vodafone - Realtime Data;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;
At: January 31, 2018 11:09 (Europe/Lisbon);;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ AVAC OMCs Report (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Sun;01;01;2017;00:00;46,62;3,16;2,51;4,58;;3,04;4,03;7,4;2,52;1,4;9,1;8,22;0,67
Sun;01;01;2017;00:15;44,45;2,11;2,48;5,08;;3,04;3,55;7,9;2,52;1,11;8,2;8,25;0,22
Sun;01;01;2017;00:30;42,48;1,81;1,93;4,52;;4,03;3,54;7,38;2,52;1,27;7;8,25;0,22
Sun;01;01;2017;00:45;48,97;3,16;2,52;5,13;;3,75;4,26;8,31;2,52;1,63;8,8;8,26;0,65
Sun;01;01;2017;01:00;42,67;1;2,52;4,52;;4,23;3,33;7,3;2,52;0,99;7,8;8,24;0,22
Sun;01;01;2017;01:15;47,31;3,15;2,53;5,12;;4,6;4,46;7,44;2,52;1,39;7,6;8,28;0,22
Sun;01;01;2017;01:30;44,67;1,94;2,55;4,52;;3,7;3,22;7,87;2,52;1,35;8,5;8,28;0,22
Sun;01;01;2017;01:45;45,15;1,58;2,57;5,24;;4,64;3,81;7,04;2,52;1,12;8,1;8,29;0,22
Sun;01;01;2017;02:00;43,3;1,98;2,58;4,47;;3,27;3,85;7,02;2,52;1,19;7,5;8,3;0,63
Sun;01;01;2017;02:15;45,69;3;2,58;5,17;;3,13;3,39;7,56;2,53;1,26;8,53;8,3;0,23
Sun;01;01;2017;02:30;44,55;0,87;2,59;4,47;;4,38;4,18;7,45;2,53;1,44;7,78;8,31;0,56
Sun;01;01;2017;02:45;45,51;3,35;2,56;5,11;;4,39;3,34;6,98;2,53;0,99;7,78;8,27;0,22
Sun;01;01;2017;03:00;43,98;1,36;2,54;4,43;;3,9;4,42;7,37;2,52;1,07;7,9;8,25;0,22
Sun;01;01;2017;03:15;45,55;2,6;2,51;5,07;;4,39;3,25;6,93;2,53;1,61;8,2;8,25;0,22
Sun;01;01;2017;03:30;43,33;2,21;2,5;4,47;;3,15;4,05;7,51;2,53;0,72;7,7;8,26;0,22
Sun;01;01;2017;03:45;43,8;2,39;2,5;5,08;;3,25;3,36;6,99;2,53;1,34;7,9;8,25;0,22
