WiseMetering realtime, exported on November 19, 2016 17:38, by Pedro Castanheira of Vodafone.;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;
;;;;;;;;;;;
weekday;day;month;year;time;EA+ DTCs (KWh);EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ Geral ALF2A7+A8 (KWh)
Fri;01;01;2016;00:00;233,8;39,76;22,22;1,59;25,7;12;132,52
Fri;01;01;2016;00:15;233,57;40,87;21,91;1,57;25,6;10;133,61
Fri;01;01;2016;00:30;234,56;40,48;24,14;1,59;25,4;12;130,95
Fri;01;01;2016;00:45;232,53;39,67;24;1,57;25,6;10;131,69
Fri;01;01;2016;01:00;231,82;40,42;22,08;1,59;25,5;10;132,23
Fri;01;01;2016;01:15;233,31;39,49;24,65;1,58;25,5;12;130,08
Fri;01;01;2016;01:30;229,45;38,1;22,22;1,6;25,5;8;134,03
Fri;01;01;2016;01:45;234,27;40;23,09;1,57;25,7;14;129,91
Fri;01;01;2016;02:00;232,09;42,06;24,68;1,59;25,5;7;131,25
Fri;01;01;2016;02:15;235,69;40,06;22,78;1,57;25,7;13;132,58
Fri;01;01;2016;02:30;229,19;40,65;22,16;1,59;25,3;9;130,49
Fri;01;01;2016;02:45;231,92;40,05;21,99;1,57;25,7;11;131,61
Fri;01;01;2016;03:00;232,08;41,83;21,65;1,59;25,6;11;130,4
Fri;01;01;2016;03:15;234,79;39,99;23,8;1,57;25,4;11;133,02
Fri;01;01;2016;03:30;233,3;40,15;22,93;1,59;25,6;11;132,04
Fri;01;01;2016;03:45;228,49;39,85;22,55;1,57;25,4;9;130,12
Fri;01;01;2016;04:00;239,42;41,3;24,61;1,59;25,6;13;133,33
Fri;01;01;2016;04:15;227,94;39,82;23,03;1,57;25,4;7;131,12
Fri;01;01;2016;04:30;233,61;40,65;22,1;1,6;25,6;13;130,67
Fri;01;01;2016;04:45;231,44;40,81;22,7;1,57;25,4;8;132,96
Fri;01;01;2016;05:00;232,81;40,59;24,09;1,59;25,6;13;127,93
Fri;01;01;2016;05:15;231,34;40,09;23,57;1,58;25,4;9;131,7
Fri;01;01;2016;05:30;234,78;41,16;21,25;1,6;25,6;11;134,18
Fri;01;01;2016;05:45;231,58;40,24;25,1;1,58;25,4;10;129,27
Fri;01;01;2016;06:00;228,58;40,73;20,84;1,6;25,3;10;130,12
Fri;01;01;2016;06:15;230,07;39,83;22,63;1,58;25,4;11;129,63
Fri;01;01;2016;06:30;230,74;41,54;22,65;1,6;25,6;8;131,35
Fri;01;01;2016;06:45;236,38;38,92;24,06;1,58;25,4;13;133,43
Fri;01;01;2016;07:00;230,18;38,09;22,32;1,6;25,4;10;132,76
