Vodafone - Realtime Data;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;
At: January 30, 2018 16:22 (Europe/Lisbon);;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;
;;;;;;;;;;;
weekday;day;month;year;time;EA+ DTCs (KWh);EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ QGBT PT ALF2A7+A8 (KWh)
Sun;01;01;2017;00:00;219,26;39,89;22,63;1,71;26,2;10;118,84
Sun;01;01;2017;00:15;218,82;40,92;21,65;1,72;26,3;10;118,24
Sun;01;01;2017;00:30;219,1;39,87;21,41;1,72;26,5;11;118,61
Sun;01;01;2017;00:45;218,35;39,99;22,88;1,72;26,2;9;118,55
Sun;01;01;2017;01:00;220,22;41,18;21,3;1,71;26,3;12;117,72
Sun;01;01;2017;01:15;215,93;39,49;22,27;1,71;26,5;9;116,96
Sun;01;01;2017;01:30;216,81;39,94;20,99;1,72;26;11;117,16
Sun;01;01;2017;01:45;218,39;40,69;22,06;1,72;26,5;9;118,42
Sun;01;01;2017;02:00;218,98;39,83;21,82;1,72;26,2;10;119,41
Sun;01;01;2017;02:15;220,2;40,89;22,42;1,72;26,3;10;118,87
Sun;01;01;2017;02:30;219,13;40,01;22,09;1,72;26,2;10;119,12
Sun;01;01;2017;02:45;221,38;40,03;22,48;1,71;26,3;10;120,85
Sun;01;01;2017;03:00;217,76;40,92;22,1;1,72;26,5;10;116,52
Sun;01;01;2017;03:15;214,81;39,55;21,11;1,71;26;10;116,43
Sun;01;01;2017;03:30;221,42;40,43;21,85;1,71;26,2;10;121,22
Sun;01;01;2017;03:45;216,42;40,06;22,03;1,71;26;10;116,62
Sun;01;01;2017;04:00;216,3;39,88;21,83;1,72;26,3;10;116,58
Sun;01;01;2017;04:15;217,37;40,79;21,75;1,71;26,2;10;116,91
Sun;01;01;2017;04:30;220,17;39,79;21,87;1,71;26;10;120,79
Sun;01;01;2017;04:45;217,55;39,44;22,66;1,72;26,3;10;117,43
Sun;01;01;2017;05:00;216,71;41,14;21,46;1,71;26;10;116,4
Sun;01;01;2017;05:15;214,56;39,19;22,03;1,72;26;10;115,62
Sun;01;01;2017;05:30;220,23;39,92;22,36;1,71;26;10;120,23
Sun;01;01;2017;05:45;215,91;40,71;20,79;1,72;26;10;116,7
Sun;01;01;2017;06:00;222,21;39,49;22,85;1,72;26,5;10;121,66
Sun;01;01;2017;06:15;220,93;39,99;21,16;1,72;26;10;122,06
Sun;01;01;2017;06:30;217,57;39,62;22,4;1,72;26;10;117,83
Sun;01;01;2017;06:45;215,97;39,32;20,87;1,72;26;10;118,06
Sun;01;01;2017;07:00;222,76;40,47;22,99;1,72;26,5;10;121,08
Sun;01;01;2017;07:15;216,08;38,88;21,68;1,71;26;11;116,81
Sun;01;01;2017;07:30;216,28;39,62;21,49;1,72;26;10;117,46
Sun;01;01;2017;07:45;221,86;40,49;21,74;1,72;26;10;121,92
Sun;01;01;2017;08:00;217,68;39,19;22,47;1,72;26,2;9;119,1
Sun;01;01;2017;08:15;216,23;40,13;22,07;1,72;26;10;116,32
Sun;01;01;2017;08:30;216,73;39,53;20,74;1,72;26,3;10;118,45
Sun;01;01;2017;08:45;217,94;39,41;22,01;1,72;26;10;118,8
Sun;01;01;2017;09:00;218,42;40,46;22,29;1,72;26,2;10;117,75
Sun;01;01;2017;09:15;222,19;39,37;21,85;1,72;26;10;123,25
Sun;01;01;2017;09:30;219,69;38,98;22,89;1,71;26,3;10;119,81
Sun;01;01;2017;09:45;216,24;40,96;21,11;1,71;26;9;117,46
Sun;01;01;2017;10:00;221,06;38,99;22,13;1,72;26,2;11;121,02
Sun;01;01;2017;10:15;216,87;39,37;22,51;1,71;26,3;10;116,98
Sun;01;01;2017;10:30;219,72;40,4;21,2;1,72;26;10;120,41
Sun;01;01;2017;10:45;217,84;39,49;22,11;1,72;26;10;118,52
Sun;01;01;2017;11:00;215,22;39,35;21,26;1,72;26;10;116,9
Sun;01;01;2017;11:15;221,87;40,98;21,45;1,71;26,5;10;121,23
Sun;01;01;2017;11:30;218,35;39,22;23,34;1,72;26;10;118,09
Sun;01;01;2017;11:45;215,6;39,8;20,93;1,72;26;10;117,16
Sun;01;01;2017;12:00;223,97;40,91;22,08;1,72;26,2;10;123,06
Sun;01;01;2017;12:15;222,47;39,3;22,33;1,72;26,3;11;121,83
Sun;01;01;2017;12:30;216,3;40,29;21,22;1,71;26,2;10;116,87
Sun;01;01;2017;12:45;219,4;40,46;23,13;1,72;26,3;10;117,79
Sun;01;01;2017;13:00;217,81;39,52;20,99;1,71;26;10;119,59
Sun;01;01;2017;13:15;218,39;40,64;21,79;1,72;26,5;10;117,74
Sun;01;01;2017;13:30;218,95;40,19;22,16;1,71;26;10;118,88
Sun;01;01;2017;13:45;218,8;39,85;22,15;1,72;26,2;10;118,89
Sun;01;01;2017;14:00;218,81;40,84;21,71;1,72;26,3;10;118,25
Sun;01;01;2017;14:15;218,39;40,16;21,98;1,72;26,2;10;118,34
Sun;01;01;2017;14:30;217,66;39,66;22,89;1,71;26,3;10;117,1
Sun;01;01;2017;14:45;218,75;41,69;21,49;1,71;26,5;10;117,37
Sun;01;01;2017;15:00;218,27;39,93;22,37;1,72;26;11;117,26
Sun;01;01;2017;15:15;217,02;39,8;21,08;1,72;26,2;10;118,23
Sun;01;01;2017;15:30;221,13;40,96;22,67;1,71;26,3;10;119,49
Sun;01;01;2017;15:45;220,27;39,41;22,15;1,72;26,5;10;120,48
Sun;01;01;2017;16:00;216,85;39,99;21,99;1,72;26;10;117,15
Sun;01;01;2017;16:15;220,91;40,98;22,59;1,72;26,5;11;118,13
Sun;01;01;2017;16:30;218,43;39,78;21,07;1,72;26;10;119,87
Sun;01;01;2017;16:45;218,45;39,95;22,51;1,72;26,5;10;117,77
Sun;01;01;2017;17:00;218,15;40,63;21,45;1,72;26,2;10;118,16
