WiseMetering realtime, exported on November 17, 2016 18:05, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ IT OMCs (KWh);EA+ IT BVTP0 (KWh);EA+ IT SNT (KWh);EA+ IT FMC (KWh);EA+ IT MAT (KWh);EA+ IT FNC (KWh);EA+ IT CMB (KWh);EA+ IT PDG (KWh);EA+ IT AVR (KWh);EA+ IT FAR (KWh);EA+ IT ALF1P-1 (KWh);EA+ IT RAN (KWh);EA+ IT PTM (KWh)
Fri;01;01;2016;00:00;263,84;53,51;24,63;16,74;37,78;3,74;15,96;3,77;18,48;8,69;49,97;28,39;2,18
Fri;01;01;2016;00:15;262,98;53,48;24,67;16,84;37,83;3,74;15,95;3,76;18,55;8,67;48,95;28,35;2,17
Fri;01;01;2016;00:30;264,77;53,49;24,63;16,77;38,8;3,74;15,94;3,77;18,51;9,66;48,92;28,35;2,18
Fri;01;01;2016;00:45;262,89;53,42;24,64;16,86;37,8;3,72;15,95;3,77;18,57;8,71;48,89;28,38;2,17
Fri;01;01;2016;01:00;262,52;53,39;24,61;16,74;37,71;3,74;15,93;3,78;18,54;8,67;48,89;28,36;2,18
Fri;01;01;2016;01:15;262,45;53,3;24,64;16,85;37,74;3,72;15,93;3,76;18,56;8,62;48,92;28,25;2,17
Fri;01;01;2016;01:30;263,14;53,32;24,58;16,71;38,76;3,73;15,92;3,77;18,49;8,67;48,77;28,25;2,18
Fri;01;01;2016;01:45;263,7;53,37;24,69;16,78;37,77;3,71;15,92;3,77;18,57;9,69;48,95;28,3;2,2
Fri;01;01;2016;02:00;262,42;53,31;24,58;16,77;37,76;3,72;15,93;3,77;18,55;8,67;48,87;28,3;2,2
Fri;01;01;2016;02:15;264,25;53,3;24,6;16,79;38,76;3,7;15,91;3,77;18,55;8,67;49,78;28,27;2,17
Fri;01;01;2016;02:30;262,23;53,29;24,57;16,79;37,66;3,71;15,91;3,77;18,54;8,67;48,86;28,28;2,18
Fri;01;01;2016;02:45;261,95;53,28;24,61;16,8;37,64;3,7;15,91;3,76;18,45;8,65;48,76;28,24;2,17
Fri;01;01;2016;03:00;263,24;53,32;24,58;16,76;37,63;3,71;15,91;3,77;18,55;9,69;48,87;28,26;2,18
Fri;01;01;2016;03:15;264,38;53,26;24,61;16,88;39,9;3,7;15,92;3,77;18,52;8,64;48,78;28,24;2,17
