WiseMetering realtime, exported on November 19, 2016 17:48, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ OMCs (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Fri;01;01;2016;00:00;370,74;17;63,04;30;24;6;13;14,39;44;44;8,67;26,3;39;4;16,35;21
Fri;01;01;2016;00:15;371,16;17;65,44;30;24;5;13;14,41;43;44;8,58;25,37;39;5;16,35;21
Fri;01;01;2016;00:30;377,83;18;70,03;30;24;6;12,5;14,4;44;45;8,69;24,86;38;5;16,35;21
Fri;01;01;2016;00:45;378,44;18;69,99;31;24;6;13,5;13,87;43;44;9,32;25,4;39;4;16,36;21
Fri;01;01;2016;01:00;379,76;18;70,01;30;24;6;13,5;13,83;45;44;8,18;24,94;39;5;16,32;22
Fri;01;01;2016;01:15;383,68;19;69,99;29;24;6;12,5;13,83;44;45;8,86;30,14;39;5;16,36;21
Fri;01;01;2016;01:30;375,64;19;69,99;29;24;6;13;13,83;43;43;8,98;25,5;38;5;16,33;21
Fri;01;01;2016;01:45;378,57;18;69,97;30;24;6;12,5;13,8;44;45;8,37;25,51;39;5;16,41;21
Fri;01;01;2016;02:00;377,24;19;69,86;30;25;5;12,5;13,79;43;44;9,05;24,74;40;4;16,29;21
Fri;01;01;2016;02:15;376,82;17;69,89;30;24;7;13;13,82;43;44;8,21;25,58;39;5;16,33;21
Fri;01;01;2016;02:30;380,25;18;69,89;28;24;5;14;13,81;44;45;9,1;27,15;39;5;16,31;22
Fri;01;01;2016;02:45;378,86;19;69,87;30;24;7;13;13,81;43;46;8,21;25,61;38;4;16,37;21
Fri;01;01;2016;03:00;377,77;18;69,89;30;24;5;13;13,82;43;46;8,96;24,81;39;5;16,3;21
Fri;01;01;2016;03:15;377,73;19;69,79;29;24;6;12;13,78;43;47;8,48;25,32;38;5;16,35;21
Fri;01;01;2016;03:30;378,85;18;69,82;30;24;6;13;13,82;44;44;8,83;26,06;39;5;16,31;21
Fri;01;01;2016;03:45;380,34;19;69,79;29;24;6;13;13,82;43;46;8,84;27,57;39;4;16,32;21
Fri;01;01;2016;04:00;379,66;19;69,85;29;24;6;13;13,82;44;45;8,78;24,88;39;5;16,34;22
Fri;01;01;2016;04:15;376,49;18;70,36;30;24;6;14;13,77;43;43;8,85;25,21;38;5;16,3;21
Fri;01;01;2016;04:30;382,85;19;71,78;30;24;5;12;13,74;44;45;8,46;28,59;39;5;16,29;21
Fri;01;01;2016;04:45;376,6;18;71,75;28;25;6;13;13,77;44;44;8,7;25,06;38;4;16,32;21
Fri;01;01;2016;05:00;377,96;18;71,71;30;24;6;12,5;13,76;43;44;8,57;25,1;39;5;16,32;21
Fri;01;01;2016;05:15;381,02;20;71,75;29;24;6;12,5;13,74;43;44;8,72;27;39;4;16,32;22
Fri;01;01;2016;05:30;381,8;19;71,74;30;24;7;13;13,73;43;44;8,51;27,49;38;5;16,32;21
Fri;01;01;2016;05:45;378,48;19;71,73;29;24;4;13;13,73;44;44;8,91;24,77;40;5;16,34;21
Fri;01;01;2016;06:00;379,44;19;71,69;29;24;7;14;13,74;43;44;8,33;25,44;38;5;16,24;21
Fri;01;01;2016;06:15;378,97;19;71,72;30;24;5;13;13,79;43,67;44;9,02;25,15;39,33;4;16,3;21
Fri;01;01;2016;06:30;383,04;19;72,17;29;24;6;12;13,78;43,67;44;8,28;29,5;39,33;5;16,32;21
Fri;01;01;2016;06:45;386,67;19;73,13;31;24;6;13;13,78;43,67;47;8,86;24,56;39,33;5;16,34;22
Fri;01;01;2016;07:00;385,64;19;73,24;28;25;6;13;13,8;43,67;49;8,74;26,21;38,67;4;16,32;21
Fri;01;01;2016;07:15;386,41;19;73,18;29;24;6;13;13,86;43,67;48;8,44;27,26;38,67;5;16,34;21
Fri;01;01;2016;07:30;388,94;20;73,02;30;24;6;13;13,88;43,67;49;9,13;26,22;38,67;5;16,36;21
Fri;01;01;2016;07:45;379,66;18;71,03;30;24;5;13;13,57;43;49;8,26;25,49;38;4;16,32;21
Fri;01;01;2016;08:00;384,93;18;70,54;29;24;7;13;13,48;44;49;8,33;26,25;40;5;16,34;21
Fri;01;01;2016;08:15;384,48;18;71,31;29;24;5;12,5;13,51;44;50;8,79;28,03;39;4;16,34;21
Fri;01;01;2016;08:30;390,28;19;72,67;30;24;7;13,5;13,54;43;50;9;28,25;38;4;16,33;22
