Vodafone - Realtime Data;;;;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;;;;
At: January 30, 2018 17:02 (Europe/Lisbon);;;;;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ OMCs (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ Q.INV 1 FAR (KWh);EA+ Q.INV 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ Q.INV1 MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ QGD 1 PTM (KWh);EA+ Q.INV 2 SNT (KWh);EA+ GERAL FMC (KWh)
Sun;01;01;2017;00:00;290,22;11;68,44;27;21;8;15;15,16;;42;7,62;29,97;;7;15,02;23
Sun;01;01;2017;00:15;286,31;12;68,69;27;22;6;14;14,84;;42;7,65;29,09;;6;15,03;22
Sun;01;01;2017;00:30;286,81;11;68,31;25;22;7;14;14,75;;42;8,58;30,15;;7;15,01;22
Sun;01;01;2017;00:45;290,88;11;68,83;28;22;8;15;15,05;;42;8,4;29,61;;6;14,99;22
Sun;01;01;2017;01:00;285,12;12;68,09;26;21;5;14;14,86;;42;8,78;29,41;;7;14,98;22
Sun;01;01;2017;01:15;290,87;12;68,22;25;22;8;15;15,53;;44;9,14;29;;6;14,98;22
Sun;01;01;2017;01:30;289,27;11;68,63;27;22;7;14;14,99;;42;8,22;29,47;;7;14,97;23
Sun;01;01;2017;01:45;288,06;11;67,86;27;22;6;14;15,06;;43;9,1;29,04;;7;15,01;22
Sun;01;01;2017;02:00;287,08;12;67,78;25;21;7;15;15,48;;43;7,8;30,01;;6;15,01;22
Sun;01;01;2017;02:15;287,31;11,33;68,23;27;22;7;14;14,94;;42;7,65;29,19;;7;14,97;22
Sun;01;01;2017;02:30;287,61;11,33;68,14;26;22;6;14,5;15,2;;42;8,79;30,62;;6;15,04;22
Sun;01;01;2017;02:45;289,86;11,33;67,72;26;22;8;14;15,32;;42;8,86;29,63;;7;15;23
Sun;01;01;2017;03:00;284,77;11;68,26;27;21;6;14,5;14,88;;42;8,32;28,79;;6;15,02;22
Sun;01;01;2017;03:15;289,43;12;67,67;26;22;7;14;15,24;;43;8,84;29,74;;7;14,96;22
Sun;01;01;2017;03:30;286,45;12;68,02;26;21;7;15;15,14;;43;7,62;28,69;;6;14,98;22
Sun;01;01;2017;03:45;285,71;11;67,54;26;22;7;14;14,82;;42;7,7;29,71;;7;14,94;22
Sun;01;01;2017;04:00;287,24;11;67,56;27;22;6;14,5;15,02;;43;9,14;29,05;;6;14,97;22
