Meses;CONSUMO_TOTAL ALF1P-1;CONSUMO_TOTAL ALF1P0;CONSUMO_TOTAL ALF2A1;CONSUMO_TOTAL ALF2A7A8;CONSUMO_TOTAL AVR;CONSUMO_TOTAL BVTP0;CONSUMO_TOTAL BVTP1;CONSUMO_TOTAL CMB;CONSUMO_TOTAL FAR;CONSUMO_TOTAL FMC;CONSUMO_TOTAL FNC;CONSUMO_TOTAL MAT;CONSUMO_TOTAL PDG;CONSUMO_TOTAL PTM;CONSUMO_TOTAL RAN;CONSUMO_TOTAL SNT;Total;CONSUMO POR DIA;ACUMULADO
Jan;207235,99;110436,6;65570,76;356360,61;92416,5;205743,99;126901,41;63245,85;42628,98;67423,08;24889,78;126598,0;20724,0;18713,02;94571,99;93504,88;1716965,44;55385,98193548387;1716965,44
Fev;195224,0;99680,42;59661,52;319782,21;84699,24;191183,15;113344,33;55431,64;38428,11;62328,22;22477,68;117754,0;18414,0;17913,01;86125,0;86660,61;1569107,14;54107,142758620685;3286072,58
Mar;219310,99;108188,7;66217,21;354145,23;98244,13;215847,5;125093,83;63417,53;42533,19;71398,0;25073,2;137535,0;20457,0;20293,0;98157,0;102682,55;1768594,06;57051,421290322585;5054666,640000001
Abr;222793,0;107022,25;64276,71;349293,8;105854,07;236640,46;123291,69;66495,0;42226,13;73427,0;24329,44;157025,0;19625,0;20667,0;106253,0;115794,48;1835014,03;61167,134333333335;6889680,670000001
Mai;230337,07;114432,01;66992,13;363013,85;117839,43;253143,02;128375,26;71165,0;44873,9;79325,0;25290,97;169457,98;20552,0;23099,0;115412,0;130270,53;1953579,15;63018,68225806452;8843259,82
Jun;200482,0;111862,0;65603,64;356760,36;118659,58;243378,18;124268,27;72748,0;45376,62;81774,0;22719,92;174794,02;20276,0;26278,0;116470,0;141484,26;1922934,85;64097,82833333334;10766194,67
Jul;173114,0;114418,5;68385,3;367638,21;123494,71;249466,79;127981,59;75006,08;46970,27;84283,49;22611,41;180500,02;21392,01;28022,96;124602,65;147479,43;1955367,42;63076,36838709677;12721562,09
Ago;173337,2;110874,0;68629,9;369298,99;123955,45;249666,85;128315,6;73845,19;48021,95;84169,96;22098,68;179615,97;21505,73;27314,79;125200,77;147680,39;1953531,42;63017,14258064516;14675093,51
Set;167797,99;103688,0;65224,45;350472,97;114518,39;232879,19;120937,14;69793,0;45401,14;78069,0;21143,37;164592,0;20839,0;23794,0;113104,12;131297,59;1823551,35;60785,045000000006;16498644,86
Out;175122,0;106841,7;66585,8;364744,47;119194,81;239525,87;119916,93;71305,54;46751,71;80678,0;21737,14;169620,0;21056,0;23508,0;114876,0;132791,46;1874255,43;60459,85258064516;18372900,29
Nov;153491,07;100125,8;61768,04;343509,75;104159,15;214913,4;112969,43;62172,0;43389,15;71959,0;20228,76;131434,0;20057,0;20597,0;97960,0;102436,5;1661170,05;55372,335;20034070,34
Dez;152569,0;100650,2;62685,8;354322,54;104807,18;212485,07;115265,77;60737,0;43594,33;68939,0;20618,82;128613,0;20533,0;19758,0;96936,0;96015,43;1658530,14;53500,97225806451;21692600,48
