Meses;AVAC ALF1P-1;AVAC ALF1P0;AVAC ALF2A1;AVAC ALF2A7A8;AVAC AVR;AVAC BVTP0;AVAC BVTP1;AVAC CMB;AVAC FAR;AVAC FMC;AVAC FNC;AVAC MAT;AVAC PDG;AVAC PTM;AVAC RAN;AVAC SNT;Total;CONSUMO POR DIA;ACUMULADO
Jan;90068,29;31796,99;30303,17;118930,18;12736,47;32407,45;37510,32;16353,25;10943,79;9120,16;11469,19;33387,15;6320,78;3438,5;50814,15;11840,78;507440,62;16369,052258064516;507440,62
Fev;83656,94;29345,08;30058,59;112145,84;13095,8;23437,26;35320,44;11460,94;10179,29;7759,3;10630,29;28827,09;6010,65;3221,15;46460,33;11729,65;463338,64;15977,194482758621;970779,26
Mar;91934,9;31833,0;33239,33;115940,17;13653,6;25800,98;37905,94;19161,82;10876,44;8320,5;11470,65;32701,91;6492,4;3941,58;51565,38;14663,57;509502,17;16435,553870967742;1480281,43
Abr;88404,98;31087,3;35315,48;111523,47;17327,33;36873,46;37253,28;19669,23;11382,02;10698,57;11323,58;42616,98;6333,44;5188,86;51865,9;24404,47;541268,35;18042,278333333332;2021549,7799999998
Mai;92255,78;33901,6;34705,41;118204,56;26411,08;57768,58;39388,63;16157,36;12429,63;13587,65;11558,91;55590,5;6742,89;6720,4;54410,21;33357,48;613190,67;19780,34419354839;2634740,4499999997
Jun;92497,14;35833,0;31540,43;121368,76;39878,02;82251,9;38984,71;16122,38;12792,13;19853,66;11840,3;72827,97;6744,95;9056,21;56435,5;50538,52;698565,58;23285,519333333334;3333306,03
Jul;99477,24;39846,6;32278,17;131671,63;38638,87;91112,13;40944,56;18036,89;14814,42;25842,06;12622,41;83167,26;7410,67;11451,22;62052,42;65422,79;774789,34;24993,20451612903;4108095,3699999996
Ago;100180,22;40012,61;33207,02;132607,57;37239,35;90408,82;40852,84;17777,53;14840,47;22566,16;13146,51;86679,01;7630,28;11885,64;64878,27;63620,05;777532,35;25081,68870967742;4885627,72
Set;91653,17;35590,5;32373,18;124448,95;29609,92;79342,71;38790,24;16082,74;13697,01;19658,71;12293,12;78313,27;7211,52;9847,82;54262,59;51944,85;695120,3;23170,67666666667;5580748,02
Out;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5580748,02
Nov;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5580748,02
Dez;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5580748,02
